Phi[deg],Theta[deg],dB(GainTotal),Array_Data
-180,-180,17.2821,"0,1,0,0,1,1,0,1,0,0,1,0,1,0,0;1,0,1,1,1,1,1,1,1,1,1,1,0,1,1;0,1,1,1,0,1,1,0,0,0,1,0,0,1,0;1,1,1,1,1,0,1,1,1,0,0,0,1,0,0;1,0,0,1,0,1,1,1,1,1,1,1,1,0,1;1,1,0,0,0,1,1,1,0,1,1,0,0,0,1;0,1,0,1,0,1,0,0,0,0,0,1,0,1,1;0,1,1,0,1,1,0,0,0,0,0,0,1,1,1;0,0,1,1,1,1,1,0,0,0,1,0,1,0,1;0,0,0,0,1,1,0,1,0,0,0,1,1,1,0;0,1,0,1,0,0,1,1,0,0,0,0,0,0,0;0,1,1,0,0,1,1,1,1,1,1,0,1,1,0;1,0,1,1,1,1,1,0,0,1,1,1,0,1,0;1,1,1,0,1,0,0,1,0,0,0,0,1,0,1;1,0,1,1,1,1,1,1,0,0,0,1,1,0,1"
-178,-180,17.2821,
-176,-180,17.2821,
-174,-180,17.2821,
-172,-180,17.2821,
-170,-180,17.2821,
-168,-180,17.2821,
-166,-180,17.2821,
-164,-180,17.2821,
-162,-180,17.2821,
-160,-180,17.2821,
-158,-180,17.2821,
-156,-180,17.2821,
-154,-180,17.2821,
-152,-180,17.2821,
-150,-180,17.2821,
-148,-180,17.2821,
-146,-180,17.2821,
-144,-180,17.2821,
-142,-180,17.2821,
-140,-180,17.2821,
-138,-180,17.2821,
-136,-180,17.2821,
-134,-180,17.2821,
-132,-180,17.2821,
-130,-180,17.2821,
-128,-180,17.2821,
-126,-180,17.2821,
-124,-180,17.2821,
-122,-180,17.2821,
-120,-180,17.2821,
-118,-180,17.2821,
-116,-180,17.2821,
-114,-180,17.2821,
-112,-180,17.2821,
-110,-180,17.2821,
-108,-180,17.2821,
-106,-180,17.2821,
-104,-180,17.2821,
-102,-180,17.2821,
-100,-180,17.2821,
-98,-180,17.2821,
-96,-180,17.2821,
-94,-180,17.2821,
-92,-180,17.2821,
-90,-180,17.2821,
-88,-180,17.2821,
-86,-180,17.2821,
-84,-180,17.2821,
-82,-180,17.2821,
-80,-180,17.2821,
-78,-180,17.2821,
-76,-180,17.2821,
-74,-180,17.2821,
-72,-180,17.2821,
-70,-180,17.2821,
-68,-180,17.2821,
-66,-180,17.2821,
-64,-180,17.2821,
-62,-180,17.2821,
-60,-180,17.2821,
-58,-180,17.2821,
-56,-180,17.2821,
-54,-180,17.2821,
-52,-180,17.2821,
-50,-180,17.2821,
-48,-180,17.2821,
-46,-180,17.2821,
-44,-180,17.2821,
-42,-180,17.2821,
-40,-180,17.2821,
-38,-180,17.2821,
-36,-180,17.2821,
-34,-180,17.2821,
-32,-180,17.2821,
-30,-180,17.2821,
-28,-180,17.2821,
-26,-180,17.2821,
-24,-180,17.2821,
-22,-180,17.2821,
-20,-180,17.2821,
-18,-180,17.2821,
-16,-180,17.2821,
-14,-180,17.2821,
-12,-180,17.2821,
-10,-180,17.2821,
-8,-180,17.2821,
-6,-180,17.2821,
-4,-180,17.2821,
-2,-180,17.2821,
0,-180,17.2821,
2,-180,17.2821,
4,-180,17.2821,
6,-180,17.2821,
8,-180,17.2821,
10,-180,17.2821,
12,-180,17.2821,
14,-180,17.2821,
16,-180,17.2821,
18,-180,17.2821,
20,-180,17.2821,
22,-180,17.2821,
24,-180,17.2821,
26,-180,17.2821,
28,-180,17.2821,
30,-180,17.2821,
32,-180,17.2821,
34,-180,17.2821,
36,-180,17.2821,
38,-180,17.2821,
40,-180,17.2821,
42,-180,17.2821,
44,-180,17.2821,
46,-180,17.2821,
48,-180,17.2821,
50,-180,17.2821,
52,-180,17.2821,
54,-180,17.2821,
56,-180,17.2821,
58,-180,17.2821,
60,-180,17.2821,
62,-180,17.2821,
64,-180,17.2821,
66,-180,17.2821,
68,-180,17.2821,
70,-180,17.2821,
72,-180,17.2821,
74,-180,17.2821,
76,-180,17.2821,
78,-180,17.2821,
80,-180,17.2821,
82,-180,17.2821,
84,-180,17.2821,
86,-180,17.2821,
88,-180,17.2821,
90,-180,17.2821,
92,-180,17.2821,
