"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0255690550339392
2.005,-0.025812467961558
2.01,-0.0260584791846718
2.015,-0.0263071257973958
2.02,-0.0265584450983847
2.025,-0.0268124746003882
2.03,-0.0270692520399969
2.035,-0.0273288153875495
2.04,-0.0275912028572706
2.045,-0.0278564529175649
2.05,-0.0281246043015517
2.055,-0.0283956960177883
2.06,-0.0286697673612165
2.065,-0.0289468579243523
2.07,-0.0292270076086624
2.075,-0.0295102566362316
2.08,-0.0297966455616334
2.085,-0.0300862152840753
2.09,-0.0303790070597991
2.095,-0.0306750625147447
2.1,-0.0309744236574858
2.105,-0.0312771328924651
2.11,-0.0315832330335097
2.115,-0.0318927673176305
2.12,-0.0322057794191692
2.125,-0.032522313464224
2.13,-0.0328424140454219
2.135,-0.0331661262370289
2.14,-0.0334934956103852
2.145,-0.0338245682497198
2.15,-0.0341593907683217
2.155,-0.0344980103250813
2.16,-0.0348404746414102
2.165,-0.0351868320185944
2.17,-0.0355371313555076
2.175,-0.0358914221667758
2.18,-0.0362497546013686
2.185,-0.0366121794616266
2.19,-0.0369787482227501
2.195,-0.037349513052758
2.2,-0.0377245268329139
2.205,-0.0381038431786867
2.21,-0.0384875164611619
2.215,-0.0388756018290361
2.22,-0.0392681552311065
2.225,-0.0396652334393389
2.23,-0.0400668940724909
2.235,-0.0404731956203315
2.24,-0.0408841974684488
2.245,-0.0412999599236802
2.25,-0.041720544240204
2.255,-0.0421460126462302
2.26,-0.0425764283714087
2.265,-0.0430118556749143
2.27,-0.043452359874246
2.275,-0.0438980073747366
2.28,-0.0443488656998365
2.285,-0.0448050035221555
2.29,-0.0452664906953099
2.295,-0.0457333982865726
2.3,-0.0462057986103594
2.305,-0.0466837652625982
2.31,-0.0471673731559651
2.315,-0.0476566985560489
2.32,-0.0481518191184268
2.325,-0.0486528139267429
2.33,-0.0491597635317384
2.335,-0.0496727499913424
2.34,-0.0501918569117694
2.345,-0.0507171694897457
2.35,-0.0512487745557893
2.355,-0.051786760618686
2.36,-0.0523312179111004
2.365,-0.0528822384364153
2.37,-0.0534399160168131
2.375,-0.0540043463426361
2.38,-0.0545756270230437
2.385,-0.0551538576380619
2.39,-0.0557391397919907
2.395,-0.0563315771682675
2.4,-0.0569312755857899
2.405,-0.0575383430567732
2.41,-0.0581528898461597
2.415,-0.0587750285326387
2.42,-0.0594048740713233
2.425,-0.0600425438581359
2.43,-0.0606881577959301
2.435,-0.0613418383624495
2.44,-0.0620037106801101
2.445,-0.0626739025877303
2.45,-0.0633525447142027
2.455,-0.0640397705542168
2.46,-0.0647357165460489
2.465,-0.0654405221515364
2.47,-0.0661543299382355
2.475,-0.0668772856638715
2.48,-0.0676095383631527
2.485,-0.0683512404369797
2.49,-0.0691025477441784
2.495,-0.0698636196957769
2.5,-0.0706346193519377
2.505,-0.0714157135216251
2.51,-0.0722070728650623
2.515,-0.0730088719990948
2.52,-0.0738212896055481
2.525,-0.0746445085426299
2.53,-0.0754787159595219
2.535,-0.0763241034142299
2.54,-0.0771808669947954
2.545,-0.0780492074439757
2.55,-0.0789293302875067
2.555,-0.0798214459660346
2.56,-0.0807257699708567
2.565,-0.0816425229835899
2.57,-0.0825719310198457
2.575,-0.0835142255771081
2.58,-0.0844696437868684
2.585,-0.0854384285712246
2.59,-0.0864208288040103
2.595,-0.0874170994766678
2.6,-0.0884275018689577
2.605,-0.089452303724676
2.61,-0.0904917794325708
2.615,-0.0915462102125633
2.62,-0.0926158843074644
2.625,-0.0937010971804121
2.63,-0.0948021517181298
2.635,-0.0959193584402196
2.64,-0.0970530357147402
2.645,-0.0982035099801775
2.65,-0.0993711159740805
2.655,-0.100556196968564
2.66,-0.101759105012864
2.665,-0.102980201183226
2.67,-0.104219855840327
2.675,-0.105478448894484
2.68,-0.106756370078912
2.685,-0.108054019231291
2.69,-0.109371806583882
2.695,-0.110710153062532
2.7,-0.112069490594802
2.705,-0.113450262427545
2.71,-0.114852923454242
2.715,-0.116277940552414
2.72,-0.11772579293145
2.725,-0.119196972491164
2.73,-0.120691984191494
2.735,-0.122211346433661
2.74,-0.123755591453177
2.745,-0.125325265725148
2.75,-0.126920930382178
2.755,-0.128543161645421
2.76,-0.130192551269114
2.765,-0.131869706999111
2.77,-0.133575253045845
2.775,-0.135309830572252
2.78,-0.137074098197088
2.785,-0.138868732514238
2.79,-0.140694428628517
2.795,-0.142551900708496
2.8,-0.144441882557003
2.805,-0.146365128199812
2.81,-0.148322412493226
2.815,-0.150314531751099
2.82,-0.152342304392069
2.825,-0.154406571607598
2.83,-0.156508198051577
2.835,-0.15864807255224
2.84,-0.160827108847112
2.845,-0.163046246341823
2.85,-0.165306450893573
2.855,-0.167608715620129
2.86,-0.169954061735211
2.865,-0.172343539411151
2.87,-0.174778228669839
2.875,-0.177259240302846
2.88,-0.179787716821778
2.885,-0.18236483343992
2.89,-0.184991799086188
2.895,-0.187669857452574
2.9,-0.190400288076211
2.905,-0.193184407457234
2.91,-0.196023570213726
2.915,-0.198919170275002
2.92,-0.201872642114525
2.925,-0.20488546202393
2.93,-0.207959149429438
2.935,-0.211095268252257
2.94,-0.214295428314379
2.945,-0.217561286791455
2.95,-0.220894549714269
2.955,-0.224296973520557
2.96,-0.227770366658876
2.965,-0.231316591246348
2.97,-0.234937564782088
2.975,-0.238635261918274
2.98,-0.242411716290803
2.985,-0.246269022411615
2.99,-0.250209337624756
2.995,-0.25423488412838
3,-0.25834795106492
