"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0369209854550297
2.005,-0.0373320968961186
2.01,-0.0377459844422026
2.015,-0.0381626741432428
2.02,-0.038582192666301
2.025,-0.0390045673039332
2.03,-0.0394298259827777
2.035,-0.039857997272325
2.04,-0.0402891103938431
2.045,-0.0407231952295495
2.05,-0.0411602823319207
2.055,-0.0416004029332278
2.06,-0.0420435889552696
2.065,-0.0424898730193044
2.07,-0.042939288456203
2.075,-0.0433918693167822
2.08,-0.0438476503823994
2.085,-0.0443066671757371
2.09,-0.0447689559718181
2.095,-0.0452345538092512
2.1,-0.0457034985017256
2.105,-0.04617582864973
2.11,-0.0466515836524995
2.115,-0.0471308037202591
2.12,-0.0476135298866727
2.125,-0.0480998040215822
2.13,-0.0485896688439941
2.135,-0.0490831679353662
2.14,-0.049580345753119
2.145,-0.0500812476444903
2.15,-0.050585919860632
2.155,-0.051094409571031
2.16,-0.0516067648782249
2.165,-0.0521230348328003
2.17,-0.0526432694487684
2.175,-0.0531675197191959
2.18,-0.0536958376322006
2.185,-0.0542282761872967
2.19,-0.0547648894120536
2.195,-0.0553057323791296
2.2,-0.0558508612236702
2.205,-0.0564003331610558
2.21,-0.0569542065050628
2.215,-0.0575125406863763
2.22,-0.058075396271528
2.225,-0.0586428349822357
2.23,-0.0592149197151486
2.235,-0.0597917145620373
2.24,-0.0603732848304123
2.245,-0.0609596970645912
2.25,-0.0615510190672361
2.255,-0.0621473199213566
2.26,-0.0627486700127887
2.265,-0.0633551410531984
2.27,-0.0639668061035487
2.275,-0.0645837395981468
2.28,-0.0652060173691755
2.285,-0.0658337166718042
2.29,-0.0664669162098609
2.295,-0.067105696162074
2.3,-0.0677501382089198
2.305,-0.0684003255600689
2.31,-0.0690563429824837
2.315,-0.069718276829131
2.32,-0.070386215068373
2.325,-0.0710602473140431
2.33,-0.0717404648562058
2.335,-0.0724269606926519
2.34,-0.0731198295611215
2.345,-0.0738191679722804
2.35,-0.074525074243506
2.355,-0.0752376485334365
2.36,-0.0759569928773805
2.365,-0.0766832112235595
2.37,-0.0774164094702281
2.375,-0.0781566955036972
2.38,-0.0789041792372719
2.385,-0.0796589726511773
2.39,-0.0804211898334148
2.395,-0.0811909470216834
2.4,-0.0819683626463018
2.405,-0.0827535573742277
2.41,-0.0835466541541772
2.415,-0.0843477782628784
2.42,-0.0851570573525212
2.425,-0.0859746214993806
2.43,-0.0868006032537347
2.435,-0.0876351376910352
2.44,-0.0884783624644282
2.445,-0.0893304178586454
2.45,-0.0901914468452899
2.455,-0.0910615951396087
2.46,-0.0919410112587703
2.465,-0.0928298465816686
2.47,-0.0937282554103832
2.475,-0.0946363950332593
2.48,-0.0955544257897212
2.485,-0.0964825111368518
2.49,-0.0974208177178262
2.495,-0.0983695154321929
2.5,-0.0993287775081595
2.505,-0.10029878057688
2.51,-0.10127970474883
2.515,-0.102271733692367
2.52,-0.103275054714516
2.525,-0.104289858844071
2.53,-0.105316340917113
2.535,-0.106354699664998
2.54,-0.107405137804924
2.545,-0.108467862133158
2.55,-0.109543083621019
2.555,-0.110631017513729
2.56,-0.111731883432228
2.565,-0.11284590547804
2.57,-0.113973312341349
2.575,-0.115114337412342
2.58,-0.116269218896016
2.585,-0.117438199930492
2.59,-0.118621528709038
2.595,-0.119819458605906
2.6,-0.121032248306132
2.605,-0.122260161939456
2.61,-0.123503469218509
2.615,-0.124762445581447
2.62,-0.126037372339189
2.625,-0.12732853682745
2.63,-0.128636232563728
2.635,-0.129960759409489
2.64,-0.131302423737707
2.645,-0.13266153860601
2.65,-0.134038423935603
2.655,-0.135433406696265
2.66,-0.136846821097612
2.665,-0.138279008786911
2.67,-0.139730319053671
2.675,-0.141201109041353
2.68,-0.142691743966414
2.685,-0.144202597345039
2.69,-0.145734051227872
2.695,-0.14728649644304
2.7,-0.148860332847877
2.705,-0.150455969589644
2.71,-0.152073825375682
2.715,-0.153714328753362
2.72,-0.155377918400236
2.725,-0.157065043424864
2.73,-0.158776163678729
2.735,-0.16051175007974
2.74,-0.162272284947807
2.745,-0.164058262353015
2.75,-0.165870188476915
2.755,-0.167708581987559
2.76,-0.169573974428798
2.765,-0.17146691062452
2.77,-0.173387949098458
2.775,-0.175337662510247
2.78,-0.177316638108438
2.785,-0.179325478201228
2.79,-0.181364800645676
2.795,-0.183435239356193
2.8,-0.1855374448332
2.805,-0.187672084712802
2.81,-0.189839844338429
2.815,-0.192041427355404
2.82,-0.194277556329431
2.825,-0.196548973390091
2.83,-0.198856440900416
2.835,-0.201200742153705
2.84,-0.203582682098755
2.845,-0.206003088094804
2.85,-0.208462810697396
2.855,-0.210962724476587
2.86,-0.213503728868882
2.865,-0.216086749064333
2.87,-0.218712736930302
2.875,-0.22138267197352
2.88,-0.224097562341952
2.885,-0.226858445868268
2.89,-0.229666391156558
2.895,-0.232522498714093
2.9,-0.235427902130034
2.905,-0.238383769302866
2.91,-0.241391303718589
2.915,-0.244451745781601
2.92,-0.247566374200272
2.925,-0.250736507429304
2.93,-0.25396350517091
2.935,-0.257248769936928
2.94,-0.260593748673938
2.945,-0.263999934453534
2.95,-0.26746886822973
2.955,-0.27100214066562
2.96,-0.27460139403121
2.965,-0.278268324174299
2.97,-0.282004682566282
2.975,-0.28581227842437
2.98,-0.289692980911833
2.985,-0.29364872141738
2.99,-0.297681495914734
2.995,-0.301793367402993
3,-0.305986468428056
