"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0938624827926681
2.005,-0.0980779127590254
2.01,-0.102577042402344
2.015,-0.107385049646833
2.02,-0.112529917689077
2.025,-0.118042813793003
2.03,-0.123958528459777
2.035,-0.1303159861128
2.04,-0.137158840781573
2.045,-0.144536173166663
2.05,-0.152503309068346
2.055,-0.16112278365237
2.06,-0.170465481653963
2.065,-0.180611990705335
2.07,-0.19165421393315
2.075,-0.203697299363784
2.08,-0.216861958229509
2.085,-0.231287262965426
2.09,-0.247134039834942
2.095,-0.264589002486393
2.1,-0.283869813718805
2.105,-0.305231316584951
2.11,-0.328973247163054
2.115,-0.35544983606364
2.12,-0.385081832580014
2.125,-0.418371656304971
2.13,-0.455922612802516
2.135,-0.498463426180017
2.14,-0.546879775571971
2.145,-0.602255121967322
2.15,-0.665923943584947
2.155,-0.739541656935098
2.16,-0.825177119766865
2.165,-0.9254358749723
2.17,-1.04362544782848
2.175,-1.18397836641305
2.18,-1.35195449229624
2.185,-1.55465201568507
2.19,-1.8013659880056
2.195,-2.10434317923383
2.2,-2.47978744333417
2.205,-2.94915591929057
2.21,-3.54071044721759
2.215,-4.2910209832378
2.22,-5.24523682970264
2.225,-6.4519749659104
2.23,-7.93845494227708
2.235,-9.62004188133361
2.24,-11.0642288717187
2.245,-11.3985180110161
2.25,-10.3530117805274
2.255,-8.73291342306537
2.26,-7.18283969482439
2.265,-5.89157413523455
2.27,-4.86049696968795
2.275,-4.04580507852491
2.28,-3.40123992241435
2.285,-2.88810429502085
2.29,-2.47619355909523
2.295,-2.14250327500694
2.3,-1.86964352503893
2.305,-1.64446477626701
2.31,-1.45698152198725
2.315,-1.29956244538305
2.32,-1.16633141896732
2.325,-1.05272715688708
2.33,-0.955179592871237
2.335,-0.870871313164733
2.34,-0.797560798458026
2.345,-0.733450640267101
2.35,-0.677088604692133
2.355,-0.627292812417493
2.36,-0.583094733985339
2.365,-0.543695434105013
2.37,-0.508431738201288
2.375,-0.476749882703206
2.38,-0.448184850071572
2.385,-0.422344052426487
2.39,-0.398894364651566
2.395,-0.377551754781276
2.4,-0.358072941575137
2.405,-0.340248644348059
2.41,-0.323898091110362
2.415,-0.308864527003573
2.42,-0.295011522471858
2.425,-0.282219924341835
2.43,-0.270385326455969
2.435,-0.259415962241123
2.44,-0.249230941434895
2.445,-0.239758768466758
2.45,-0.230936091631078
2.455,-0.222706640801781
2.46,-0.215020317349398
2.465,-0.207832403217593
2.47,-0.201102856755093
2.475,-0.194795661029845
2.48,-0.188878187169903
2.485,-0.18332053487312
2.49,-0.178094824683774
2.495,-0.173174460560607
2.5,-0.168533478050046
2.505,-0.164146236973777
2.51,-0.159987813600338
2.515,-0.156035288902445
2.52,-0.152269577322512
2.525,-0.148676800596831
2.53,-0.145248216370808
2.535,-0.141978629201825
2.54,-0.138864217461484
2.545,-0.135900848651629
2.55,-0.133083329490436
2.555,-0.130405409959493
2.56,-0.127860146431171
2.565,-0.125440320045154
2.57,-0.123138767918623
2.575,-0.120948596651158
2.58,-0.1188632972427
2.585,-0.116876792168917
2.59,-0.114983441210638
2.595,-0.113178024757313
2.6,-0.111455716364274
2.605,-0.10981205141738
2.61,-0.108242895618284
2.615,-0.106744415133016
2.62,-0.1053130491886
2.625,-0.103945485333788
2.63,-0.102638637293182
2.635,-0.101389625214171
2.64,-0.100195758059993
2.645,-0.0990545178988163
2.65,-0.0979635458553454
2.655,-0.0969206295158691
2.66,-0.0959236916037412
2.665,-0.094970779767184
2.67,-0.0940600573434295
2.675,-0.0931897949826849
2.68,-0.0923583630319303
2.685,-0.0915642245926472
2.69,-0.090805929178336
2.695,-0.0900821069077894
2.7,-0.0893914631783654
2.705,-0.088732773770774
2.71,-0.0881048803427542
2.715,-0.0875066862743375
2.72,-0.0869371528315849
2.725,-0.0863952956196849
2.73,-0.0858801812993033
2.735,-0.0853909245430901
2.74,-0.0849266852115694
2.745,-0.0844866657298648
2.75,-0.0840701086484963
2.755,-0.0836762943732077
2.76,-0.0833045390502006
2.765,-0.0829541925944344
2.77,-0.0826246368498487
2.775,-0.0823152838712853
2.78,-0.0820255743188959
2.785,-0.0817549759566209
2.79,-0.0815029822469515
2.795,-0.0812691110350271
2.8,-0.0810529033155546
2.805,-0.0808539220766284
2.81,-0.0806717512150947
2.815,-0.0805059945183433
2.82,-0.0803562747080714
2.825,-0.0802222325416832
2.83,-0.0801035259674846
2.835,-0.0799998293300617
2.84,-0.07991083262251
2.845,-0.0798362407824464
2.85,-0.0797757730289875
2.855,-0.0797291622380068
2.86,-0.0796961543533078
2.865,-0.0796765078313692
2.87,-0.0796699931176357
2.875,-0.0796763921523726
2.88,-0.0796954979042525
2.885,-0.0797271139300566
2.89,-0.0797710539588312
2.895,-0.0798271414991356
2.9,-0.0798952094679442
2.905,-0.0799750998399917
2.91,-0.0800666633163411
2.915,-0.0801697590110953
2.92,-0.080284254155213
2.925,-0.0804100238164623
2.93,-0.0805469506346257
2.935,-0.080694924571109
2.94,-0.0808538426721522
2.945,-0.0810236088449384
2.95,-0.0812041336458802
2.955,-0.0813953340804526
2.96,-0.0815971334139684
2.965,-0.0818094609927094
2.97,-0.0820322520749114
2.975,-0.0822654476710705
2.98,-0.0825089943931281
2.985,-0.0827628443120691
2.99,-0.0830269548235489
2.995,-0.083301288521123
3,-0.0835858130767472
