"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0142912222654954
2.005,-0.0143472361626949
2.01,-0.0144036568899385
2.015,-0.0144604912176109
2.02,-0.0145177458762441
2.025,-0.0145754275572339
2.03,-0.0146335429136134
2.035,-0.0146920985607666
2.04,-0.014751101077194
2.045,-0.0148105570052374
2.05,-0.0148704728518462
2.055,-0.0149308550892963
2.06,-0.0149917101559683
2.065,-0.0150530444570777
2.07,-0.015114864365433
2.075,-0.0151771762221934
2.08,-0.0152399863376171
2.085,-0.0153033009918201
2.09,-0.0153671264355476
2.095,-0.0154314688909273
2.1,-0.0154963345522381
2.105,-0.0155617295866742
2.11,-0.015627660135127
2.115,-0.0156941323129563
2.12,-0.0157611522107638
2.125,-0.0158287258951833
2.13,-0.015896859409653
2.135,-0.0159655587752219
2.14,-0.0160348299913344
2.145,-0.0161046790366199
2.15,-0.0161751118697095
2.155,-0.016246134430033
2.16,-0.0163177526386323
2.165,-0.0163899723989659
2.17,-0.0164627995977503
2.175,-0.0165362401057655
2.18,-0.0166102997786858
2.185,-0.0166849844579334
2.19,-0.0167602999714948
2.195,-0.0168362521347836
2.2,-0.0169128467514881
2.205,-0.0169900896144237
2.21,-0.0170679865064028
2.215,-0.0171465432011053
2.22,-0.0172257654639456
2.225,-0.0173056590529691
2.23,-0.017386229719732
2.235,-0.0174674832101981
2.24,-0.0175494252656447
2.245,-0.0176320616235769
2.25,-0.0177153980186358
2.255,-0.0177994401835285
2.26,-0.0178841938499632
2.265,-0.0179696647495852
2.27,-0.0180558586149281
2.275,-0.0181427811803718
2.28,-0.0182304381831035
2.285,-0.0183188353640868
2.29,-0.0184079784690614
2.295,-0.0184978732495145
2.3,-0.0185885254636891
2.305,-0.0186799408775956
2.31,-0.0187721252660199
2.315,-0.0188650844135598
2.32,-0.0189588241156621
2.325,-0.0190533501796689
2.33,-0.0191486684258658
2.335,-0.0192447846885647
2.34,-0.019341704817172
2.345,-0.0194394346772764
2.35,-0.019537980151756
2.355,-0.0196373471418758
2.36,-0.0197375415684226
2.365,-0.019838569372824
2.37,-0.0199404365183108
2.375,-0.02004314899105
2.38,-0.020146712801338
2.385,-0.0202511339847536
2.39,-0.0203564186033709
2.395,-0.0204625727469518
2.4,-0.020569602534184
2.405,-0.0206775141138734
2.41,-0.020786313666228
2.415,-0.0208960074040878
2.42,-0.0210066015742169
2.425,-0.0211181024585614
2.43,-0.0212305163755724
2.435,-0.0213438496815057
2.44,-0.0214581087717533
2.445,-0.0215733000821801
2.45,-0.0216894300904897
2.455,-0.0218065053175907
2.46,-0.0219245323289817
2.465,-0.0220435177361574
2.47,-0.0221634681980286
2.475,-0.0222843904223538
2.48,-0.0224062911671891
2.485,-0.0225291772423643
2.49,-0.0226530555109596
2.495,-0.0227779328908075
2.5,-0.0229038163560164
2.505,-0.023030712938502
2.51,-0.023158629729552
2.515,-0.0232875738813805
2.52,-0.0234175526087379
2.525,-0.0235485731905118
2.53,-0.0236806429713495
2.535,-0.0238137693633226
2.54,-0.0239479598475818
2.545,-0.0240832219760413
2.55,-0.0242195633731014
2.555,-0.0243569917373616
2.56,-0.0244955148433699
2.565,-0.024635140543407
2.57,-0.0247758767692603
2.575,-0.0249177315340354
2.58,-0.0250607129340109
2.585,-0.0252048291504708
2.59,-0.0253500884515966
2.595,-0.025496499194366
2.6,-0.0256440698264751
2.605,-0.0257928088882924
2.61,-0.0259427250148241
2.615,-0.0260938269377215
2.62,-0.0262461234872899
2.625,-0.0263996235945353
2.63,-0.0265543362932442
2.635,-0.0267102707220829
2.64,-0.0268674361267029
2.645,-0.0270258418619025
2.65,-0.0271854973938052
2.655,-0.0273464123020528
2.66,-0.0275085962820444
2.665,-0.0276720591471908
2.67,-0.0278368108311995
2.675,-0.0280028613903911
2.68,-0.02817022100605
2.685,-0.0283388999867866
2.69,-0.0285089087709456
2.695,-0.0286802579290479
2.7,-0.028852958166244
2.705,-0.0290270203248188
2.71,-0.029202455386704
2.715,-0.0293792744760618
2.72,-0.0295574888618556
2.725,-0.0297371099604888
2.73,-0.0299181493384517
2.735,-0.0301006187150265
2.74,-0.0302845299650047
2.745,-0.0304698951214533
2.75,-0.0306567263785096
2.755,-0.0308450360942216
2.76,-0.0310348367933986
2.765,-0.031226141170548
2.77,-0.0314189620927899
2.775,-0.0316133126028535
2.78,-0.0318092059220955
2.785,-0.0320066554535545
2.79,-0.032205674785066
2.795,-0.032406277692376
2.8,-0.0326084781423414
2.805,-0.0328122902961378
2.81,-0.0330177285125386
2.815,-0.0332248073511992
2.82,-0.0334335415760243
2.825,-0.0336439461585479
2.83,-0.033856036281375
2.835,-0.0340698273416665
2.84,-0.0342853349546505
2.845,-0.0345025749572199
2.85,-0.0347215634115285
2.855,-0.0349423166086755
2.86,-0.0351648510724083
2.865,-0.0353891835628971
2.87,-0.0356153310805438
2.875,-0.0358433108698478
2.88,-0.036073140423321
2.885,-0.0363048374854565
2.89,-0.0365384200567433
2.895,-0.0367739063977433
2.9,-0.0370113150332159
2.905,-0.0372506647563044
2.91,-0.0374919746327621
2.915,-0.0377352640052547
2.92,-0.0379805524977083
2.925,-0.0382278600197182
2.93,-0.0384772067710094
2.935,-0.0387286132459686
2.94,-0.038982100238232
2.945,-0.0392376888453328
2.95,-0.0394954004734049
2.955,-0.0397552568419641
2.96,-0.0400172799887377
2.965,-0.0402814922745781
2.97,-0.0405479163884156
2.975,-0.040816575352304
2.98,-0.0410874925265178
2.985,-0.0413606916147207
2.99,-0.0416361966692139
2.995,-0.041914032096241
3,-0.0421942226613675
