"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0605634690315753
2.005,-0.0624883588024973
2.01,-0.0645016690862688
2.015,-0.0666087224159385
2.02,-0.068815242846455
2.025,-0.0711273924703626
2.03,-0.0735518118337334
2.035,-0.07609566473232
2.04,-0.0787666879351444
2.045,-0.0815732464602711
2.05,-0.0845243951175211
2.055,-0.0876299471373331
2.06,-0.0909005508267079
2.065,-0.0943477753350139
2.07,-0.0979842067784452
2.075,-0.101823556166391
2.08,-0.105880780801535
2.085,-0.110172221094563
2.09,-0.114715755052292
2.095,-0.119530973074067
2.1,-0.12463937613799
2.105,-0.130064600990126
2.11,-0.135832676584296
2.115,-0.141972316779981
2.12,-0.148515255218021
2.125,-0.155496629393124
2.13,-0.162955422270228
2.135,-0.170934971402466
2.14,-0.179483557468088
2.145,-0.188655086536262
2.15,-0.198509883303947
2.155,-0.209115616152487
2.16,-0.220548379326549
2.165,-0.232893963059357
2.17,-0.24624934934213
2.175,-0.260724479629209
2.18,-0.276444351561105
2.185,-0.293551515398707
2.19,-0.312209058109835
2.195,-0.332604185010844
2.2,-0.354952536966616
2.205,-0.379503417289471
2.21,-0.406546149190174
2.215,-0.436417845336935
2.22,-0.469512950385932
2.225,-0.50629502153274
2.23,-0.547311349763205
2.235,-0.593211207316442
2.24,-0.644768751132592
2.245,-0.702911940234187
2.25,-0.768759268395938
2.255,-0.843666715901521
2.26,-0.92928814721479
2.265,-1.02765351188678
2.27,-1.14127076725324
2.275,-1.27325960956771
2.28,-1.42752812927047
2.285,-1.60900776852001
2.29,-1.82396801446919
2.295,-2.08044098368633
2.3,-2.38879888091309
2.305,-2.76254677916942
2.31,-3.21942400225541
2.315,-3.78295879835543
2.32,-4.48471053888805
2.325,-5.3675896836349
2.33,-6.49087815481406
2.335,-7.93760453579721
2.34,-9.82224662301024
2.345,-12.2721563232942
2.35,-15.1728745478596
2.355,-16.8747093660711
2.36,-15.1501259966149
2.365,-12.2976569733688
2.37,-9.9040320354061
2.375,-8.06644030931652
2.38,-6.65622926891121
2.385,-5.56001418708245
2.39,-4.69624666322204
2.395,-4.00714076706576
2.4,-3.45116213494546
2.405,-2.9979423598561
2.41,-2.62493831383687
2.415,-2.31519824280228
2.42,-2.05583074783784
2.425,-1.83693251932278
2.43,-1.65082423188524
2.435,-1.49149845277922
2.44,-1.3542161499129
2.445,-1.23520886811034
2.45,-1.13145692523378
2.455,-1.04052284089204
2.46,-0.960425248451915
2.465,-0.889542721242449
2.47,-0.826539873527584
2.475,-0.770310170646585
2.48,-0.719931363318713
2.485,-0.674630526355014
2.49,-0.633756453975616
2.495,-0.596757727216714
2.5,-0.563165182691683
2.505,-0.532577817918199
2.51,-0.504651396091997
2.515,-0.479089183672705
2.52,-0.455634382597124
2.525,-0.434063916299085
2.53,-0.41418330294997
2.535,-0.395822406260048
2.54,-0.378831898077647
2.545,-0.363080301057958
2.55,-0.348451506200842
2.555,-0.334842680839435
2.56,-0.322162499024694
2.565,-0.310329639196343
2.57,-0.299271504320954
2.575,-0.28892312789364
2.58,-0.279226235789471
2.585,-0.270128439257318
2.59,-0.261582538640791
2.595,-0.253545920895601
2.6,-0.245980036813169
2.605,-0.238849946183976
2.61,-0.23212392104251
2.615,-0.225773098707829
2.62,-0.219771177633906
2.625,-0.214094150162297
2.63,-0.208720067167109
2.635,-0.20362883033157
2.64,-0.198802008422641
2.645,-0.194222674456987
2.65,-0.189875261095217
2.655,-0.185745431975847
2.66,-0.181819967017673
2.665,-0.178086659988467
2.67,-0.174534226867029
2.675,-0.171152223721075
2.68,-0.167930972990745
2.685,-0.164861497210592
2.69,-0.161935459326119
2.695,-0.159145108866991
2.7,-0.156483233330173
2.705,-0.15394311420566
2.71,-0.151518487145662
2.715,-0.149203505837698
2.72,-0.146992709193646
2.725,-0.144880991511944
2.73,-0.142863575309352
2.735,-0.140935986553113
2.74,-0.139094032054466
2.745,-0.137333778810897
2.75,-0.135651535107644
2.755,-0.134043833209587
2.76,-0.132507413492519
2.765,-0.131039209878787
2.77,-0.129636336456344
2.775,-0.128296075172758
2.78,-0.127015864506707
2.785,-0.125793289029379
2.79,-0.124626069776912
2.795,-0.123512055362735
2.8,-0.122449213765685
2.805,-0.121435624735938
2.81,-0.12046947276629
2.815,-0.119549040581332
2.82,-0.118672703101475
2.825,-0.117838921842798
2.83,-0.11704623971721
2.835,-0.116293276200696
2.84,-0.115578722840307
2.845,-0.114901339073095
2.85,-0.114259948332684
2.855,-0.11365343442114
2.86,-0.113080738125858
2.865,-0.112540854062849
2.87,-0.112032827729397
2.875,-0.111555752750539
2.88,-0.111108768305012
2.885,-0.11069105671762
2.89,-0.11030184120596
2.895,-0.10994038377039
2.9,-0.10960598321717
2.905,-0.109297973305287
2.91,-0.109015721008454
2.915,-0.108758624884241
2.92,-0.108526113543031
2.925,-0.108317644210081
2.93,-0.10813270137434
2.935,-0.107970795518303
2.94,-0.107831461923581
2.945,-0.107714259547133
2.95,-0.107618769963715
2.955,-0.10754459637015
2.96,-0.107491362647622
2.965,-0.107458712478224
2.97,-0.10744630851244
2.975,-0.107453831584358
2.98,-0.107480979971738
2.985,-0.107527468698146
2.99,-0.107593028874677
2.995,-0.107677407078867
3,-0.107780364768601
