"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.386812378978833
2.005,-0.514360640416171
2.01,-0.716472120330107
2.015,-1.06129198654169
2.02,-1.70986766151735
2.025,-3.09957979565752
2.03,-6.657500406259
2.035,-18.3010418660506
2.04,-8.33411232257601
2.045,-3.72832949464358
2.05,-2.01734376980846
2.055,-1.24143228741717
2.06,-0.836554775560464
2.065,-0.602078726838456
2.07,-0.455211607356771
2.075,-0.357515656241587
2.08,-0.28938864490549
2.085,-0.240051740347162
2.09,-0.203203844264036
2.095,-0.174970982528366
2.1,-0.152868959018749
2.105,-0.135247004319065
2.11,-0.120974213345972
2.115,-0.10925513787767
2.12,-0.099517266133114
2.125,-0.0913401213353403
2.13,-0.0844093021657905
2.135,-0.0784859337151795
2.14,-0.0733859017958068
2.145,-0.0689654508839866
2.15,-0.065111012752009
2.155,-0.0617319038982507
2.16,-0.0587550035343851
2.165,-0.0561208214964424
2.17,-0.0537805563348318
2.175,-0.0516938686082911
2.18,-0.0498271773861977
2.185,-0.0481523440396621
2.19,-0.0466456458617642
2.195,-0.0452869687993797
2.2,-0.0440591674125959
2.205,-0.0429475536001321
2.21,-0.0419394853022716
2.215,-0.0410240334368493
2.22,-0.0401917105038785
2.225,-0.0394342481387245
2.23,-0.0387444137718215
2.235,-0.0381158587251356
2.24,-0.0375429917278438
2.245,-0.0370208730997114
2.25,-0.0365451258274366
2.255,-0.0361118605178484
2.26,-0.0357176118047091
2.265,-0.0353592842520611
2.27,-0.0350341061655474
2.275,-0.0347395900162038
2.28,-0.0344734984153071
2.285,-0.0342338147669326
2.29,-0.0340187178765713
2.295,-0.0338265599171132
2.3,-0.0336558472537198
2.305,-0.0335052237107655
2.31,-0.0333734559314024
2.315,-0.0332594205355192
2.32,-0.0331620928276718
2.325,-0.033080536844578
2.33,-0.0330138965633698
2.335,-0.0329613881182772
2.34,-0.0329222928954939
2.345,-0.0328959513947633
2.35,-0.0328817577617257
2.355,-0.0328791549085641
2.36,-0.0328876301516278
2.365,-0.0329067113043549
2.37,-0.0329359631719441
2.375,-0.032974984401295
2.38,-0.0330234046456299
2.385,-0.0330808820084051
2.39,-0.0331471007355559
2.395,-0.0332217691288965
2.4,-0.033304617656826
2.405,-0.0333953972413749
2.41,-0.033493877703068
2.415,-0.0335998463472557
2.42,-0.0337131066774869
2.425,-0.0338334772230813
2.43,-0.0339607904695572
2.435,-0.0340948918817897
2.44,-0.034235639010915
2.445,-0.0343829006769582
2.45,-0.034536556219981
2.455,-0.0346964948134313
2.46,-0.0348626148338435
2.465,-0.0350348232818489
2.47,-0.0352130352498123
2.475,-0.0353971734319657
2.48,-0.03558716767333
2.485,-0.0357829545539751
2.49,-0.035984477005702
2.495,-0.0361916839582775
2.5,-0.0364045300128333
2.505,-0.0366229751401422
2.51,-0.036846984401732
2.515,-0.0370765276920047
2.52,-0.0373115794996798
2.525,-0.0375521186870477
2.53,-0.0377981282856035
2.535,-0.0380495953068694
2.54,-0.038306510567188
2.545,-0.0385688685254741
2.55,-0.0388366671329472
2.555,-0.0391099076939853
2.56,-0.0393885947372896
2.565,-0.0396727358966121
2.57,-0.0399623418004068
2.575,-0.0402574259697638
2.58,-0.0405580047240711
2.585,-0.0408640970938723
2.59,-0.0411757247404841
2.595,-0.0414929118818729
2.6,-0.0418156852244533
2.605,-0.0421440739003929
2.61,-0.0424781094101223
2.615,-0.0428178255696814
2.62,-0.043163258462684
2.625,-0.0435144463965893
2.63,-0.0438714298630315
2.635,-0.0442342515020169
2.64,-0.0446029560697553
2.645,-0.0449775904099502
2.65,-0.0453582034283366
2.655,-0.0457448460703747
2.66,-0.0461375713018573
2.665,-0.0465364340923876
2.67,-0.0469414914015149
2.675,-0.04735280216749
2.68,-0.0477704272984693
2.685,-0.0481944296661127
2.69,-0.0486248741014541
2.695,-0.0490618273929867
2.7,-0.0495053582868871
2.705,-0.0499555374892775
2.71,-0.0504124376705123
2.715,-0.0508761334713774
2.72,-0.0513467015112133
2.725,-0.0518242203978552
2.73,-0.0523087707393989
2.735,-0.0528004351577051
2.74,-0.0532992983036718
2.745,-0.0538054468741782
2.75,-0.0543189696307397
2.755,-0.0548399574197912
2.76,-0.0553685031946395
2.765,-0.055904702039027
2.77,-0.0564486511923052
2.775,-0.057000450076238
2.78,-0.0575602003233951
2.785,-0.0581280058071193
2.79,-0.0587039726731413
2.795,-0.0592882093727588
2.8,-0.0598808266976355
2.805,-0.0604819378162092
2.81,-0.061091658311732
2.815,-0.0617101062219345
2.82,-0.0623374020803518
2.825,-0.0629736689593013
2.83,-0.0636190325145632
2.835,-0.064273621031747
2.84,-0.0649375654744114
2.845,-0.0656109995339134
2.85,-0.0662940596810472
2.855,-0.0669868852195002
2.86,-0.067689618341136
2.865,-0.0684024041831742
2.87,-0.0691253908872424
2.875,-0.0698587296604197
2.88,-0.0706025748382243
2.885,-0.0713570839496622
2.89,-0.0721224177843207
2.895,-0.0728987404616012
2.9,-0.073686219502098
2.905,-0.0744850259012043
2.91,-0.0752953342049729
2.915,-0.0761173225883165
2.92,-0.0769511729355603
2.925,-0.0777970709234566
2.93,-0.0786552061066828
2.935,-0.0795257720059007
2.94,-0.0804089661984547
2.945,-0.0813049904117577
2.95,-0.0822140506194477
2.955,-0.0831363571403797
2.96,-0.0840721247405549
2.965,-0.0850215727380299
2.97,-0.0859849251109068
2.975,-0.0869624106085026
2.98,-0.0879542628657461
2.985,-0.0889607205209505
2.99,-0.0899820273369991
2.995,-0.0910184323260615
3,-0.0920701898779755
