"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0386561060816534
2.005,-0.0393406772597713
2.01,-0.0400401073603062
2.015,-0.0407548088128506
2.02,-0.041485207890282
2.025,-0.042231745308273
2.03,-0.0429948768541981
2.035,-0.0437750740471384
2.04,-0.044572824830742
2.045,-0.0453886343008022
2.05,-0.0462230254695654
2.055,-0.0470765400689111
2.06,-0.0479497393946504
2.065,-0.048843205194374
2.07,-0.0497575406014331
2.075,-0.0506933711177931
2.08,-0.0516513456486925
2.085,-0.0526321375922748
2.09,-0.0536364459874871
2.095,-0.0546649967238631
2.1,-0.0557185438170163
2.105,-0.0567978707539128
2.11,-0.0579037919123091
2.115,-0.0590371540590705
2.12,-0.0601988379323492
2.125,-0.061389759913051
2.13,-0.0626108737913317
2.135,-0.0638631726343287
2.14,-0.0651476907617971
2.145,-0.0664655058367552
2.15,-0.0678177410788549
2.155,-0.0692055676087013
2.16,-0.0706302069320248
2.165,-0.0720929335732568
2.17,-0.0735950778687948
2.175,-0.075138028931076
2.18,-0.0767232377954159
2.185,-0.0783522207625062
2.19,-0.0800265629505648
2.195,-0.0817479220721515
2.2,-0.0835180324519402
2.205,-0.0853387093031006
2.21,-0.0872118532813171
2.215,-0.0891394553371038
2.22,-0.0911236018888378
2.225,-0.093166480340734
2.23,-0.0952703849721824
2.235,-0.0974377232270344
2.24,-0.0996710224339491
2.245,-0.101972936991704
2.25,-0.10434625605625
2.255,-0.106793911769697
2.26,-0.109318988074971
2.265,-0.111924730163917
2.27,-0.114614554610956
2.275,-0.117392060249317
2.28,-0.120261039852144
2.285,-0.123225492686709
2.29,-0.126289638016485
2.295,-0.129457929633048
2.3,-0.132735071507753
2.305,-0.13612603466202
2.31,-0.139636075364886
2.315,-0.143270754777396
2.32,-0.147035960175574
2.325,-0.150937927897205
2.33,-0.154983268172798
2.335,-0.159178992017805
2.34,-0.16353254038202
2.345,-0.16805181577308
2.35,-0.172745216594391
2.355,-0.177621674464236
2.36,-0.182690694812249
2.365,-0.187962401082674
2.37,-0.193447582911127
2.375,-0.199157748683498
2.38,-0.205105182933112
2.385,-0.211303009085562
2.39,-0.217765258121207
2.395,-0.22450694379352
2.4,-0.231544145119207
2.405,-0.2388940969437
2.41,-0.246575289485838
2.415,-0.254607577879171
2.42,-0.263012302857074
2.425,-0.271812423876863
2.43,-0.28103266614736
2.435,-0.290699683218084
2.44,-0.300842237010526
2.445,-0.311491397427078
2.45,-0.322680763966917
2.455,-0.334446712116368
2.46,-0.346828667671883
2.465,-0.359869412605199
2.47,-0.373615426603228
2.475,-0.388117269021897
2.48,-0.403430006698244
2.485,-0.419613693886185
2.49,-0.436733911538849
2.495,-0.454862374279654
2.5,-0.474077614714407
2.505,-0.49446575627365
2.51,-0.516121387580662
2.515,-0.539148553467329
2.52,-0.563661880269349
2.525,-0.589787855998522
2.53,-0.617666289503378
2.535,-0.647451976899726
2.54,-0.679316608512367
2.545,-0.713450955480245
2.55,-0.750067382236788
2.555,-0.789402739526209
2.56,-0.831721702751259
2.565,-0.877320632631593
2.57,-0.926532049833686
2.575,-0.979729832968761
2.58,-1.03733527083658
2.585,-1.09982412588553
2.59,-1.16773489765371
2.595,-1.24167851383745
2.6,-1.32234972437759
2.605,-1.41054053286903
2.61,-1.5071560727216
2.615,-1.61323342690149
2.62,-1.72996400532154
2.625,-1.85872024078134
2.63,-2.00108755385829
2.635,-2.15890278549908
2.64,-2.33430062746313
2.645,-2.52977003223721
2.65,-2.74822321335299
2.655,-2.99308074608412
2.66,-3.26837759591351
2.665,-3.57889688213538
2.67,-3.93034123363379
2.675,-4.32955640207033
2.68,-4.78482954738319
2.685,-5.30629736504306
2.69,-5.90652063791308
2.695,-6.60131841282972
2.7,-7.41101852799691
2.705,-8.36239171691834
2.71,-9.49172220320097
2.715,-10.8497282601927
2.72,-12.5090617066858
2.725,-14.5722095575177
2.73,-17.1519110581656
2.735,-20.1092727473186
2.74,-21.7706826084415
2.745,-19.9914167388292
2.75,-17.0648700876938
2.755,-14.5428233751586
2.76,-12.5313238761113
2.765,-10.9155101746714
2.77,-9.59423261237618
2.775,-8.49604837713385
2.78,-7.57109468934079
2.785,-6.78371241219671
2.79,-6.10762651452098
2.795,-5.52293197208981
2.8,-5.01418728269084
2.805,-4.56917595760251
2.81,-4.17807679029236
2.815,-3.83289056543414
2.82,-3.52703223822794
2.825,-3.25503302013055
2.83,-3.0123175727997
2.835,-2.79503394379815
2.84,-2.59992148619523
2.845,-2.42420676824571
2.85,-2.26552053252382
2.855,-2.12183076739083
2.86,-1.9913882999202
2.865,-1.87268224546514
2.87,-1.76440330069223
2.875,-1.66541333538432
2.88,-1.57472008184703
2.885,-1.49145597720034
2.89,-1.4148604083206
2.895,-1.34426475873346
2.9,-1.27907977310295
2.905,-1.21878484640373
2.91,-1.16291891735823
2.915,-1.11107270362124
2.92,-1.06288206273359
2.925,-1.01802230048395
2.93,-0.976203278868854
2.935,-0.937165200764083
2.94,-0.900674968829027
2.945,-0.86652303293888
2.95,-0.834520654269515
2.955,-0.804497525598347
2.96,-0.776299696872732
2.965,-0.749787762989378
2.97,-0.724835277309944
2.975,-0.701327359940893
2.98,-0.679159474418202
2.985,-0.658236350312429
2.99,-0.638471032533186
2.995,-0.619784040866313
3,-0.602102625607137
