"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0182450067136576
2.005,-0.0183433242375099
2.01,-0.0184421311059018
2.015,-0.0185414318584657
2.02,-0.0186412310712148
2.025,-0.0187415333569562
2.03,-0.0188423433657032
2.035,-0.0189436657850743
2.04,-0.0190455053407257
2.045,-0.0191478667967598
2.05,-0.0192507549561542
2.055,-0.0193541746611819
2.06,-0.0194581307938565
2.065,-0.0195626282763446
2.07,-0.0196676720714168
2.075,-0.0197732671828965
2.08,-0.0198794186560856
2.085,-0.0199861315782384
2.09,-0.0200934110789932
2.095,-0.0202012623308515
2.1,-0.0203096905496328
2.105,-0.0204187009949453
2.11,-0.0205282989706526
2.115,-0.020638489825367
2.12,-0.0207492789529161
2.125,-0.020860671792855
2.13,-0.0209726738309359
2.135,-0.021085290599626
2.14,-0.02119852767861
2.145,-0.0213123906953001
2.15,-0.0214268853253664
2.155,-0.021542017293242
2.16,-0.0216577923726823
2.165,-0.0217742163872842
2.17,-0.0218912952110414
2.175,-0.0220090347689018
2.18,-0.022127441037327
2.185,-0.0222465200448662
2.19,-0.022366277872729
2.195,-0.0224867206553852
2.2,-0.0226078545811516
2.205,-0.0227296858928029
2.21,-0.0228522208881956
2.215,-0.0229754659208856
2.22,-0.0230994274007691
2.225,-0.0232241117947356
2.23,-0.0233495256273272
2.235,-0.0234756754814015
2.24,-0.0236025679988408
2.245,-0.0237302098812301
2.25,-0.0238586078905738
2.255,-0.0239877688500278
2.26,-0.0241176996446483
2.265,-0.024248407222127
2.27,-0.0243798985935901
2.275,-0.0245121808343752
2.28,-0.0246452610848507
2.285,-0.0247791465512392
2.29,-0.0249138445064624
2.295,-0.0250493622910245
2.3,-0.0251857073138841
2.305,-0.0253228870533928
2.31,-0.0254609090582104
2.315,-0.0255997809482898
2.32,-0.0257395104158491
2.325,-0.0258801052264115
2.33,-0.026021573219835
2.335,-0.0261639223114071
2.34,-0.0263071604929555
2.345,-0.0264512958339911
2.35,-0.0265963364829052
2.355,-0.0267422906681803
2.36,-0.0268891666996656
2.365,-0.027036972969887
2.37,-0.0271857179553997
2.375,-0.0273354102181987
2.38,-0.0274860584071675
2.385,-0.0276376712595963
2.39,-0.0277902576027558
2.395,-0.0279438263555256
2.4,-0.0280983865300919
2.405,-0.0282539472337228
2.41,-0.0284105176706076
2.415,-0.0285681071437886
2.42,-0.0287267250571576
2.425,-0.0288863809175638
