"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0338908813067688
2.005,-0.0342641209017188
2.01,-0.034640040894842
2.015,-0.0350186533333849
2.02,-0.0353999708910071
2.025,-0.035784006873137
2.03,-0.0361707752225071
2.035,-0.0365602905248113
2.04,-0.0369525680145073
2.045,-0.0373476235807824
2.05,-0.0377454737736508
2.055,-0.0381461358102236
2.06,-0.0385496275810909
2.065,-0.0389559676569142
2.07,-0.0393651752951113
2.075,-0.0397772704467532
2.08,-0.0401922737635827
2.085,-0.0406102066052095
2.09,-0.041031091046453
2.095,-0.0414549498848888
2.1,-0.0418818066484958
2.105,-0.0423116856035333
2.11,-0.0427446117625582
2.115,-0.0431806108926181
2.12,-0.0436197095236141
2.125,-0.0440619349568702
2.13,-0.044507315273832
2.135,-0.044955879344998
2.14,-0.04540765683901
2.145,-0.0458626782319203
2.15,-0.0463209748166912
2.155,-0.0467825787128282
2.16,-0.0472475228762693
2.165,-0.0477158411094311
2.17,-0.0481875680714759
2.175,-0.0486627392887812
2.18,-0.0491413911656097
2.185,-0.0496235609950156
2.19,-0.0501092869699342
2.195,-0.0505986081945071
2.2,-0.0510915646956465
2.205,-0.0515881974347967
2.21,-0.0520885483199362
2.215,-0.0525926602178364
2.22,-0.0531005769665281
2.225,-0.0536123433880323
2.23,-0.0541280053013277
2.235,-0.054647609535587
2.24,-0.0551712039436503
2.245,-0.0556988374157724
2.25,-0.0562305598936449
2.255,-0.0567664223846752
2.26,-0.0573064769765516
2.265,-0.0578507768521017
2.27,-0.0583993763044189
2.275,-0.0589523307523061
2.28,-0.0595096967560112
2.285,-0.060071532033276
2.29,-0.0606378954756789
2.295,-0.0612088471653473
2.3,-0.0617844483919313
2.305,-0.06236476166999
2.31,-0.0629498507566391
2.315,-0.0635397806696303
2.32,-0.0641346177057227
2.325,-0.0647344294594704
2.33,-0.0653392848423512
2.335,-0.0659492541022972
2.34,-0.0665644088436323
2.345,-0.0671848220473773
2.35,-0.0678105680919977
2.355,-0.0684417227745717
2.36,-0.0690783633323776
2.365,-0.0697205684649438
2.37,-0.0703684183565384
2.375,-0.0710219946991439
2.38,-0.0716813807158899
2.385,-0.0723466611850184
2.39,-0.0730179224642914
2.395,-0.0736952525159922
2.4,-0.0743787409323975
2.405,-0.0750684789618393
2.41,-0.0757645595353036
2.415,-0.0764670772936301
2.42,-0.07717612861529
2.425,-0.0778918116447829
2.43,-0.0786142263216734
2.435,-0.0793434744102546
2.44,-0.0800796595299084
2.445,-0.0808228871861268
2.45,-0.081573264802259
2.455,-0.0823309017519869
2.46,-0.0830959093925425
2.465,-0.0838684010987163
2.47,-0.0846484922976616
2.475,-0.0854363005045157
2.48,-0.0862319453588914
2.485,-0.0870355486622346
2.49,-0.0878472344161005
2.495,-0.0886671288613555
2.5,-0.0894953605183814
2.505,-0.090332060228238
2.51,-0.0911773611949052
2.515,-0.0920313990285812
2.52,-0.0928943117900875
2.525,-0.0937662400364311
2.53,-0.0946473268675635
2.535,-0.0955377179743674
2.54,-0.0964375616879183
2.545,-0.0973470090300864
2.55,-0.0982662137654955
2.555,-0.0991953324549159
2.56,-0.10013452451015
2.565,-0.101083952250429
2.57,-0.102043780960427
2.575,-0.103014178949921
2.58,-0.103995317615164
2.585,-0.104987371502076
2.59,-0.105990518371261
2.595,-0.107004939264992
2.6,-0.108030818576187
2.605,-0.109068344119478
2.61,-0.110117707204495
2.615,-0.111179102711388
2.62,-0.11225272916874
2.625,-0.113338788833938
2.63,-0.114437487776125
2.635,-0.115549035961839
2.64,-0.116673647343445
2.645,-0.117811539950509
2.65,-0.118962935984206
2.655,-0.120128061914939
2.66,-0.121307148583277
2.665,-0.122500431304373
2.67,-0.123708149976052
2.675,-0.124930549190678
2.68,-0.126167878351025
2.685,-0.127420391790316
2.69,-0.128688348896641
2.695,-0.129972014241927
2.7,-0.131271657715735
2.705,-0.132587554664054
2.71,-0.13391998603338
2.715,-0.135269238520317
2.72,-0.136635604726971
2.725,-0.138019383322436
2.73,-0.139420879210646
2.735,-0.140840403704977
2.74,-0.142278274709844
2.745,-0.143734816909755
2.75,-0.145210361966085
2.755,-0.146705248722121
2.76,-0.14821982341664
2.765,-0.149754439906586
2.77,-0.151309459899283
2.775,-0.152885253194688
2.78,-0.154482197938208
2.785,-0.156100680884688
2.79,-0.157741097674116
2.795,-0.159403853119741
2.8,-0.161089361509223
2.805,-0.162798046919582
2.81,-0.164530343546679
2.815,-0.16628669605004
2.82,-0.168067559913904
2.825,-0.169873401825368
2.83,-0.171704700070641
2.835,-0.173561944950411
2.84,-0.175445639215414
2.845,-0.177356298523399
2.85,-0.179294451918703
2.855,-0.181260642335748
2.86,-0.183255427127896
2.865,-0.185279378623097
2.87,-0.187333084707996
2.875,-0.189417149442106
2.88,-0.191532193703912
2.885,-0.193678855870792
2.89,-0.195857792534803
2.895,-0.198069679256541
2.9,-0.200315211359357
2.905,-0.202595104766431
2.91,-0.204910096883342
2.915,-0.207260947528974
2.92,-0.209648439917721
2.925,-0.212073381696255
2.93,-0.21453660603825
2.935,-0.217038972800766
2.94,-0.219581369746127
2.945,-0.222164713833582
2.95,-0.224789952585104
2.955,-0.227458065530168
2.96,-0.230170065734589
2.965,-0.232927001418858
2.97,-0.235729957671821
2.975,-0.238580058265914
2.98,-0.24147846758064
2.985,-0.244426392641404
2.99,-0.247425085281325
2.995,-0.250475844434202
3,-0.253580018567349
