"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0163953928854077
2.005,-0.0164979390725951
2.01,-0.0166010513289211
2.015,-0.0167047446626419
2.02,-0.0168090340153025
2.025,-0.0169139342636719
2.03,-0.0170194602216986
2.035,-0.0171256266424609
2.04,-0.017232448220113
2.045,-0.0173399395918734
2.05,-0.0174481153399684
2.055,-0.0175569899936447
2.06,-0.0176665780311436
2.065,-0.0177768938817062
2.07,-0.0178879519275813
2.075,-0.0179997665060729
2.08,-0.0181123519115484
2.085,-0.018225722397521
2.09,-0.0183398921786906
2.095,-0.0184548754330512
2.1,-0.0185706863039661
2.105,-0.0186873389023115
2.11,-0.0188048473085872
2.115,-0.018923225575091
2.12,-0.0190424877280779
2.125,-0.019162647769967
2.13,-0.0192837196815588
2.135,-0.019405717424264
2.14,-0.019528654942388
2.145,-0.0196525461654031
2.15,-0.0197774050102713
2.155,-0.0199032453837969
2.16,-0.0200300811849771
2.165,-0.0201579263074193
2.17,-0.0202867946417568
2.175,-0.0204167000781287
2.18,-0.0205476565086518
2.185,-0.0206796778299575
2.19,-0.0208127779457572
2.195,-0.0209469707694262
2.2,-0.0210822702266456
2.205,-0.0212186902580674
2.21,-0.0213562448220306
2.215,-0.0214949478973028
2.22,-0.0216348134858798
2.225,-0.0217758556158103
2.23,-0.0219180883440785
2.235,-0.0220615257595247
2.24,-0.0222061819858145
2.245,-0.0223520711844599
2.25,-0.0224992075578746
2.255,-0.022647605352504
2.26,-0.0227972788619725
2.265,-0.0229482424303316
2.27,-0.0231005104553142
2.275,-0.023254097391671
2.28,-0.0234090177545683
2.285,-0.0235652861230274
2.29,-0.0237229171434382
2.295,-0.0238819255331311
2.3,-0.0240423260840068
2.305,-0.0242041336662462
2.31,-0.0243673632320707
2.315,-0.0245320298195855
2.32,-0.0246981485566752
2.325,-0.0248657346650009
2.33,-0.0250348034640404
2.335,-0.025205370375225
2.34,-0.025377450926144
2.345,-0.0255510607548301
2.35,-0.025726215614142
2.355,-0.0259029313761945
2.36,-0.0260812240369248
2.365,-0.0262611097206916
2.37,-0.0264426046850129
2.375,-0.0266257253253647
2.38,-0.026810488180085
2.385,-0.0269969099353756
2.39,-0.0271850074304018
2.395,-0.0273747976624827
2.4,-0.0275662977924073
2.405,-0.0277595251498416
2.41,-0.0279544972388298
2.415,-0.0281512317434502
2.42,-0.0283497465335364
2.425,-0.0285500596705452
2.43,-0.0287521894135314
2.435,-0.0289561542252598
2.44,-0.0291619727784082
2.445,-0.0293696639619436
2.45,-0.0295792468875796
2.455,-0.029790740896424
2.46,-0.030004165565701
2.465,-0.0302195407156718
2.47,-0.0304368864166474
2.475,-0.0306562229961956
2.48,-0.0308775710464504
2.485,-0.0311009514316173
2.49,-0.0313263852956067
2.495,-0.0315538940698397
2.5,-0.0317834994812165
2.505,-0.0320152235602557
2.51,-0.0322490886493947
2.515,-0.0324851174114826
2.52,-0.0327233328384385
2.525,-0.0329637582601019
2.53,-0.0332064173532619
2.535,-0.0334513341509066
2.54,-0.0336985330516178
2.545,-0.0339480388292317
2.55,-0.0341998766426453
2.555,-0.0344540720458851
2.56,-0.034710650998351
2.565,-0.0349696398753082
2.57,-0.0352310654785935
2.575,-0.0354949550475543
2.58,-0.0357613362702274
2.585,-0.0360302372947541
2.59,-0.0363016867410512
2.595,-0.0365757137127248
2.6,-0.0368523478092645
2.605,-0.0371316191384684
2.61,-0.0374135583291694
2.615,-0.0376981965442375
2.62,-0.0379855654938511
2.625,-0.0382756974490567
2.63,-0.0385686252556591
2.635,-0.0388643823483789
2.64,-0.0391630027653369
2.645,-0.039464521162867
2.65,-0.0397689728306367
2.655,-0.040076393707119
2.66,-0.0403868203953938
2.665,-0.0407002901793052
2.67,-0.0410168410399812
2.675,-0.041336511672715
2.68,-0.0416593415042107
2.685,-0.0419853707102414
2.69,-0.0423146402336736
2.695,-0.0426471918029068
2.7,-0.0429830679507262
2.705,-0.0433223120335633
2.71,-0.0436649682512221
2.715,-0.0440110816669897
2.72,-0.0443606982282678
2.725,-0.0447138647876109
2.73,-0.0450706291242756
2.735,-0.0454310399662273
2.74,-0.0457951470126788
2.745,-0.0461630009570929
2.75,-0.0465346535107531
2.755,-0.0469101574268285
2.76,-0.0472895665250226
2.765,-0.0476729357167348
2.77,-0.0480603210308459
2.775,-0.0484517796400603
2.78,-0.0488473698878488
2.785,-0.0492471513160145
2.79,-0.0496511846929067
2.795,-0.0500595320422326
2.8,-0.0504722566725841
2.805,-0.0508894232076135
2.81,-0.0513110976168971
2.815,-0.0517373472475298
2.82,-0.0521682408564358
2.825,-0.0526038486434348
2.83,-0.0530442422850446
2.835,-0.0534894949691149
2.84,-0.0539396814302081
2.845,-0.0543948779858566
2.85,-0.0548551625736056
2.855,-0.0553206147889703
2.86,-0.0557913159242448
2.865,-0.0562673490082226
2.87,-0.056748798846857
2.875,-0.0572357520648537
2.88,-0.0577282971482656
2.885,-0.0582265244880412
2.89,-0.0587305264246613
2.895,-0.0592403972937508
2.9,-0.0597562334728405
2.905,-0.0602781334291574
2.91,-0.0608061977686128
2.915,-0.0613405292859022
2.92,-0.06188123301581
2.925,-0.0624284162857237
2.93,-0.062982188769416
2.935,-0.0635426625420805
2.94,-0.0641099521366782
2.945,-0.0646841746016687
2.95,-0.0652654495600605
2.955,-0.0658538992699338
2.96,-0.0664496486863489
2.965,-0.067052825524815
2.97,-0.0676635603262197
2.975,-0.0682819865233477
2.98,-0.0689082405090095
2.985,-0.069542461705805
2.99,-0.0701847926375675
2.995,-0.0708353790025411
3,-0.0714943697483415
