"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0931079254685878
2.005,-0.0961630713415858
2.01,-0.0993569759904794
2.015,-0.102697569448847
2.02,-0.106193354902762
2.025,-0.109853458346232
2.03,-0.113687683275707
2.035,-0.117706571010935
2.04,-0.121921467306816
2.045,-0.126344596009749
2.05,-0.130989140614048
2.055,-0.135869334691528
2.06,-0.141000562302924
2.065,-0.146399469656515
2.07,-0.152084089460704
2.075,-0.158073979627744
2.08,-0.164390378230481
2.085,-0.171056376898925
2.09,-0.178097115176094
2.095,-0.185539998741801
2.1,-0.193414944869053
2.105,-0.201754659014091
2.11,-0.21059494707215
2.115,-0.21997506857653
2.12,-0.229938137000433
2.125,-0.240531574367382
2.13,-0.251807628620295
2.135,-0.263823963683034
2.14,-0.276644333921962
2.145,-0.290339356841274
2.15,-0.304987400401628
2.155,-0.32067560443228
2.16,-0.337501059330835
2.165,-0.355572169759572
2.17,-0.375010236536843
2.175,-0.395951296617025
2.18,-0.418548269242682
2.185,-0.442973466402078
2.19,-0.469421538095799
2.195,-0.498112938190502
2.2,-0.529298015558224
2.205,-0.563261858710405
2.21,-0.600330051443366
2.215,-0.640875533661465
2.22,-0.68532680751899
2.225,-0.734177786874767
2.23,-0.787999661077155
2.235,-0.847455236550978
2.24,-0.913316337063524
2.245,-0.986484993087092
2.25,-1.06801934172489
2.255,-1.15916540352285
2.26,-1.2613962173926
2.265,-1.37646022147512
2.27,-1.50644129536629
2.275,-1.6538335680945
2.28,-1.82163500379926
2.285,-2.01346498703321
2.29,-2.23371276970795
2.295,-2.48772591455025
2.3,-2.78205110875059
2.305,-3.12474448809176
2.31,-3.52577585965126
2.315,-3.99756252110917
2.32,-4.5556861591751
2.325,-5.21987335981709
2.33,-6.01535583510024
2.335,-6.97474694951422
2.34,-8.14044296464848
2.345,-9.56664030910698
2.35,-11.315314115567
2.355,-13.4174367700908
2.36,-15.673892487113
2.365,-17.0815399969901
2.37,-16.3133475532057
2.375,-14.2011249855177
2.38,-12.0498545111775
2.385,-10.2299359560643
2.39,-8.74472355762449
2.395,-7.53384716357529
2.4,-6.53960772101445
2.405,-5.71634107299889
2.41,-5.0291088097219
2.415,-4.45114684214634
2.42,-3.96174867533856
2.425,-3.54471466195226
2.43,-3.18723994790571
2.435,-2.87911121800269
2.44,-2.61211758736715
2.445,-2.37961156225983
2.45,-2.17617709893221
2.455,-1.99737555917777
2.46,-1.83954929924693
2.465,-1.69966851886159
2.47,-1.57521096897494
2.475,-1.46406686214569
2.48,-1.36446327085041
2.485,-1.2749036995892
2.49,-1.19411954367012
2.495,-1.12103091076064
2.5,-1.05471485454748
2.505,-0.994379504193227
2.51,-0.939342904774064
2.515,-0.88901563845153
2.52,-0.842886492693168
2.525,-0.800510594378143
2.53,-0.761499547513957
2.535,-0.725513205363863
2.54,-0.692252780949664
2.545,-0.661455057638896
2.55,-0.632887507277028
2.555,-0.606344159712966
2.56,-0.581642096614213
2.565,-0.558618465742403
2.57,-0.537127930575069
2.575,-0.517040485262047
2.58,-0.498239577134322
2.585,-0.48062048892009
2.59,-0.464088940923843
2.595,-0.448559880050325
2.6,-0.43395642799245
2.605,-0.420208965377688
2.61,-0.407254332362851
2.615,-0.395035129227588
2.62,-0.383499103058973
2.625,-0.372598608736913
2.63,-0.362290134199219
2.635,-0.352533881446664
2.64,-0.343293395992972
2.645,-0.334535238512543
2.65,-0.326228693323632
2.655,-0.318345509093436
2.66,-0.310859667786894
2.665,-0.303747178421436
2.67,-0.296985892650396
2.675,-0.290555339591441
2.68,-0.28443657765326
2.685,-0.27861206140292
2.69,-0.273065521764997
2.695,-0.267781858057784
2.7,-0.262747040556913
2.705,-0.257948022436819
2.71,-0.253372660079103
2.715,-0.249009640857466
2.72,-0.244848417613563
2.725,-0.240879149129582
2.73,-0.237092645983113
2.735,-0.233480321239515
2.74,-0.230034145498287
2.745,-0.226746605863406
2.75,-0.22361066845482
2.755,-0.220619744119754
2.76,-0.217767657039067
2.765,-0.215048615956115
2.77,-0.212457187784327
2.775,-0.209988273374738
2.78,-0.207637085247326
2.785,-0.205399127109882
2.79,-0.203270175005754
2.795,-0.201246259947713
2.8,-0.199323651909092
2.805,-0.197498845056065
2.81,-0.195768544115963
2.815,-0.194129651786741
2.82,-0.192579257101535
2.825,-0.191114624670481
2.83,-0.18973318472905
2.835,-0.188432523928826
2.84,-0.187210376812394
2.845,-0.186064617919362
2.85,-0.184993254475318
2.855,-0.183994419619788
2.86,-0.183066366133206
2.865,-0.182207460626412
2.87,-0.181416178159406
2.875,-0.180691097259011
2.88,-0.180030895307693
2.885,-0.179434344278225
2.89,-0.178900306791099
2.895,-0.178427732473487
2.9,-0.178015654600506
2.905,-0.177663187001114
2.91,-0.177369521212508
2.915,-0.177133923868383
2.92,-0.176955734307533
2.925,-0.176834362390654
2.93,-0.176769286514123
2.935,-0.176760051810683
2.94,-0.17680626852779
2.945,-0.176907610575309
2.95,-0.177063814235025
2.955,-0.177274677025193
2.96,-0.177540056714023
2.965,-0.177859870476728
2.97,-0.178234094191263
2.975,-0.178662761868596
2.98,-0.17914596521379
2.985,-0.179683853314755
2.99,-0.180276632456021
2.995,-0.180924566055338
3,-0.181627974721403
