"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0171440976851989
2.005,-0.0172771195906292
2.01,-0.0174118484379159
2.015,-0.01754830877986
2.02,-0.0176865257120954
2.025,-0.0178265248869582
2.03,-0.017968332527777
2.035,-0.0181119754436315
2.04,-0.0182574810445869
2.045,-0.018404877357383
2.05,-0.0185541930416576
2.055,-0.0187054574066914
2.06,-0.0188587004286617
2.065,-0.019013952768488
2.07,-0.0191712457902592
2.075,-0.0193306115802306
2.08,-0.019492082966486
2.085,-0.0196556935392176
2.09,-0.019821477671687
2.095,-0.0199894705418994
2.1,-0.020159708154968
2.105,-0.0203322273662669
2.11,-0.0205070659053213
2.115,-0.020684262400555
2.12,-0.0208638564048358
2.125,-0.0210458884219169
2.13,-0.0212303999337806
2.135,-0.0214174334289155
2.14,-0.0216070324315911
2.145,-0.0217992415321261
2.15,-0.0219941064182345
2.155,-0.0221916739074565
2.16,-0.0223919919807498
2.165,-0.0225951098172453
2.17,-0.0228010778302732
2.175,-0.0230099477046478
2.18,-0.0232217724353061
2.185,-0.023436606367349
2.19,-0.0236545052375074
2.195,-0.0238755262171626
2.2,-0.0240997279568984
2.205,-0.0243271706327358
2.21,-0.0245579159940456
2.215,-0.0247920274132678
2.22,-0.0250295699374659
2.225,-0.0252706103418479
2.23,-0.0255152171852882
2.235,-0.0257634608679573
2.24,-0.0260154136911688
2.245,-0.0262711499195065
2.25,-0.0265307458453485
2.255,-0.026794279855907
2.26,-0.0270618325028621
2.265,-0.0273334865747488
2.27,-0.0276093271721683
2.275,-0.0278894417859995
2.28,-0.0281739203787234
2.285,-0.0284628554689964
2.29,-0.0287563422196304
2.295,-0.0290544785291452
2.3,-0.0293573651270483
2.305,-0.0296651056729987
2.31,-0.029977806860073
2.315,-0.0302955785223069
2.32,-0.0306185337467121
2.325,-0.0309467889899756
2.33,-0.0312804642000955
2.335,-0.031619682943167
2.34,-0.0319645725355481
2.345,-0.0323152641817437
2.35,-0.0326718931181709
2.355,-0.0330345987632308
2.36,-0.0334035248738718
2.365,-0.0337788197090737
2.37,-0.0341606362005192
2.375,-0.0345491321308791
2.38,-0.0349444703200501
2.385,-0.0353468188197923
2.39,-0.0357563511171643
2.395,-0.0361732463472209
2.4,-0.0365976895155034
2.405,-0.0370298717307439
2.41,-0.0374699904484024
2.415,-0.0379182497255921
2.42,-0.0383748604879754
2.425,-0.0388400408093032
2.43,-0.0393140162042824
2.435,-0.0397970199354752
2.44,-0.0402892933350356
2.445,-0.040791086142072
2.45,-0.0413026568565035
2.455,-0.0418242731103964
2.46,-0.0423562120576533
2.465,-0.0428987607832197
2.47,-0.0434522167328399
2.475,-0.0440168881645714
2.48,-0.0445930946233342
2.485,-0.0451811674398231
2.49,-0.045781450255215
2.495,-0.0463942995732065
2.5,-0.0470200853410231
2.505,-0.0476591915611046
2.51,-0.0483120169353689
2.515,-0.0489789755440098
2.52,-0.0496604975609503
2.525,-0.0503570300082631
2.53,-0.0510690375519007
2.535,-0.0517970033414332
2.54,-0.0525414298965034
2.545,-0.0533028400430196
2.55,-0.0540817779022486
2.555,-0.0548788099362864
2.56,-0.0556945260535319
2.565,-0.0565295407781626
2.57,-0.0573844944878198
2.575,-0.0582600547240735
2.58,-0.0591569175805984
2.585,-0.0600758091743138
2.59,-0.0610174872051755
2.595,-0.0619827426107592
2.6,-0.0629724013222395
2.605,-0.063987326128868
2.61,-0.0650284186586511
2.615,-0.066096621483544
2.62,-0.0671929203581301
2.625,-0.0683183466014678
2.63,-0.069473979632648
2.635,-0.0706609496714067
2.64,-0.071880440616125
2.645,-0.0731336931126183
2.65,-0.0744220078281292
2.655,-0.0757467489463833
2.66,-0.0771093479007567
2.665,-0.0785113073641729
2.67,-0.0799542055160151
2.675,-0.0814397006081022
2.68,-0.0829695358537866
2.685,-0.0845455446664076
2.69,-0.0861696562757612
2.695,-0.0878439017538765
2.7,-0.089570420484361
2.705,-0.0913514671127476
2.71,-0.0931894190189347
2.715,-0.095086784356737
2.72,-0.0970462107099006
2.725,-0.0990704944189202
2.73,-0.101162590638307
2.735,-0.103325624189956
2.74,-0.105562901285034
2.745,-0.107877922194129
2.75,-0.110274394953777
2.755,-0.112756250206705
2.76,-0.115327657283472
2.765,-0.11799304164478
2.77,-0.120757103816631
2.775,-0.123624839965132
2.78,-0.126601564273965
2.785,-0.129692933305953
2.79,-0.132904972550794
2.795,-0.136244105384281
2.8,-0.139717184690655
2.805,-0.143331527429376
2.81,-0.14709495246131
2.815,-0.151015821987305
2.82,-0.155103086995539
2.825,-0.159366337163117
2.83,-0.163815855713394
2.835,-0.168462679794478
2.84,-0.173318667017207
2.845,-0.178396568874501
2.85,-0.183710111859604
2.855,-0.189274087210629
2.86,-0.195104450335189
2.865,-0.201218431114481
2.87,-0.207634656454221
2.875,-0.214373286644233
2.88,-0.22145616731373
2.885,-0.228906999030678
2.89,-0.236751526898017
2.895,-0.245017752853951
2.9,-0.253736173797921
2.905,-0.26294004914883
2.91,-0.27266570201118
2.915,-0.282952858794087
2.92,-0.293845032916979
2.925,-0.305389959167859
2.93,-0.317640086384002
2.935,-0.330653137435652
2.94,-0.344492747053622
2.945,-0.359229189903605
2.95,-0.374940213538244
2.955,-0.391711993531263
2.96,-0.409640231314421
2.965,-0.42883141911883
2.97,-0.449404301117959
2.975,-0.471491565568471
2.98,-0.495241809681547
2.985,-0.520821827426589
2.99,-0.548419280841643
2.995,-0.578245828168605
3,-0.610540797839212
