"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0482787509625846
2.005,-0.0494970765073979
2.01,-0.0507609148168302
2.015,-0.0520723886523421
2.02,-0.0534337476636282
2.025,-0.0548473774318656
2.03,-0.0563158092683351
2.035,-0.0578417308407472
2.04,-0.0594279977076887
2.045,-0.0610776458502339
2.05,-0.0627939052997804
2.055,-0.0645802149722792
2.06,-0.0664402388315303
2.065,-0.0683778835183783
2.07,-0.0703973175985717
2.075,-0.0725029926000736
2.08,-0.0746996660310283
2.085,-0.0769924265927439
2.09,-0.0793867218282423
2.095,-0.0818883884768756
2.1,-0.0845036858395311
2.105,-0.0872393324976336
2.11,-0.0901025467736639
2.115,-0.093101091371508
2.12,-0.0962433226932456
2.125,-0.0995382453957064
2.13,-0.102995572827134
2.135,-0.106625794072789
2.14,-0.110440248440788
2.145,-0.114451208337851
2.15,-0.118671971622003
2.155,-0.123116964678783
2.16,-0.127801857653267
2.165,-0.132743693486944
2.17,-0.137961032661869
2.175,-0.143474115851457
2.18,-0.14930504702607
2.185,-0.155477999972256
2.19,-0.162019451669143
2.195,-0.168958446538845
2.2,-0.176326896268071
2.205,-0.184159920706811
2.21,-0.192496236314643
2.215,-0.201378599778353
2.22,-0.210854315807289
2.225,-0.220975819775563
2.23,-0.231801347885345
2.235,-0.243395709950673
2.24,-0.255831182843988
2.245,-0.269188546228638
2.25,-0.283558286573224
2.255,-0.299042000799315
2.26,-0.315754037495453
2.265,-0.333823421745437
2.27,-0.353396119657861
2.275,-0.374637711145269
2.28,-0.397736555022052
2.285,-0.422907549886471
2.29,-0.450396618572372
2.295,-0.480486074550025
2.3,-0.513501067262393
2.305,-0.549817352248105
2.31,-0.589870693920227
2.315,-0.634168287776035
2.32,-0.683302689405076
2.325,-0.737968866087956
2.33,-0.798985150843088
2.335,-0.867319088288668
2.34,-0.944119428734846
2.345,-1.03075586598696
2.35,-1.12886854193865
2.355,-1.24042987433122
2.36,-1.36782191743237
2.365,-1.51393324286537
2.37,-1.68228020739214
2.375,-1.87715837634395
2.38,-2.10383059360458
2.385,-2.36875827381077
2.39,-2.67988093863696
2.395,-3.04694363152325
2.4,-3.48185767816958
2.405,-3.99904569220347
2.41,-4.61563813264395
2.415,-5.35118259930155
2.42,-6.22600509871516
2.425,-7.25602489865579
2.43,-8.43853772753756
2.435,-9.71702108062597
2.44,-10.9116464164558
2.445,-11.6636868105981
2.45,-11.6137899722196
2.455,-10.8017386090628
2.46,-9.61307553619539
2.465,-8.37808875756369
2.47,-7.24952291825415
2.475,-6.27085443671122
2.48,-5.44014689636205
2.485,-4.74052558747203
2.49,-4.15216069965622
2.495,-3.65650394668196
2.5,-3.23752742638491
2.505,-2.88184739059195
2.51,-2.57846426702976
2.515,-2.31840203482206
2.52,-2.09435378241977
2.525,-1.90036978828788
2.53,-1.73159621708495
2.535,-1.58406163096951
2.54,-1.45450488072395
2.545,-1.34023732059018
2.55,-1.2390328512086
2.555,-1.14904023757504
2.56,-1.06871313195954
2.565,-0.996754120369711
2.57,-0.932069863657989
2.575,-0.873735019621187
2.58,-0.820963125300091
2.585,-0.773083008714464
2.59,-0.729519605699045
2.595,-0.689778297302639
2.6,-0.653432070527772
2.605,-0.620110951471081
2.61,-0.589493274258165
2.615,-0.561298438673964
2.62,-0.535280879615991
2.625,-0.511225026741132
2.63,-0.488941076260828
2.635,-0.468261431333204
2.64,-0.449037694890538
2.645,-0.431138120562789
2.65,-0.414445444804758
2.655,-0.398855037331904
2.66,-0.384273318238655
2.665,-0.370616399277225
2.67,-0.357808914155113
2.675,-0.3457830087128
2.68,-0.334477466743003
2.685,-0.323836951224665
2.69,-0.313811344041277
2.695,-0.304355169969147
2.7,-0.295427092966928
2.705,-0.286989474659885
2.71,-0.27900798646075
2.715,-0.271451268061075
2.72,-0.264290626107152
2.725,-0.257499767781177
2.73,-0.251054564770393
2.735,-0.244932843749821
2.74,-0.239114200047695
2.745,-0.233579831623294
2.75,-0.22831239087826
2.755,-0.223295852155826
2.76,-0.218515393066926
2.765,-0.213957288025684
2.77,-0.209608812585428
2.775,-0.205458157345985
2.78,-0.201494350357306
2.785,-0.197707187077995
2.79,-0.194087167062459
2.795,-0.190625436650395
2.8,-0.187313737018937
2.805,-0.184144357033255
2.81,-0.181110090397045
2.815,-0.178204196661722
2.82,-0.175420365703209
2.825,-0.172752685319162
2.83,-0.170195611637938
2.835,-0.167743942064491
2.84,-0.165392790518125
2.845,-0.163137564743306
2.85,-0.160973945497878
2.855,-0.158897867443547
2.86,-0.156905501581569
2.865,-0.154993239092759
2.87,-0.153157676455062
2.875,-0.151395601724773
2.88,-0.149703981878683
2.885,-0.148079951124509
2.89,-0.14652080009601
2.895,-0.145023965857149
2.9,-0.143587022646888
2.905,-0.142207673302622
2.91,-0.14088374130602
2.915,-0.139613163400259
2.92,-0.138393982732233
2.925,-0.137224342477552
2.93,-0.136102479909948
2.935,-0.135026720880005
2.94,-0.133995474671304
2.945,-0.133007229204836
2.95,-0.132060546564977
2.955,-0.131154058822668
2.96,-0.130286464133462
2.965,-0.129456523090006
2.97,-0.12866305531016
2.975,-0.127904936243553
2.98,-0.127181094180781
2.985,-0.126490507450673
2.99,-0.12583220179228
2.995,-0.125205247889227
3,-0.124608759055148
