"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0422640826258543
2.005,-0.0429782032988151
2.01,-0.0437059146773102
2.015,-0.0444475200449525
2.02,-0.045203331819691
2.025,-0.0459736718906691
2.03,-0.0467588719693853
2.035,-0.0475592739558837
2.04,-0.0483752303207031
2.045,-0.049207104503356
2.05,-0.0500552713281449
2.055,-0.0509201174382211
2.06,-0.051802041748723
2.065,-0.0527014559200269
2.07,-0.0536187848520768
2.075,-0.0545544672009003
2.08,-0.0555089559184315
2.085,-0.0564827188168261
2.09,-0.0574762391585899
2.095,-0.0584900162737951
2.1,-0.0595245662058745
2.105,-0.0605804223874741
2.11,-0.0616581363479397
2.115,-0.0627582784541859
2.12,-0.0638814386866963
2.125,-0.0650282274525769
2.13,-0.0661992764376975
2.135,-0.0673952395000485
2.14,-0.0686167936065975
2.145,-0.0698646398160871
2.15,-0.0711395043102976
2.155,-0.0724421394765681
2.16,-0.0737733250444611
2.165,-0.0751338692796451
2.17,-0.0765246102383251
2.175,-0.0779464170857117
2.18,-0.0794001914822667
2.185,-0.0808868690417306
2.19,-0.082407420865127
2.195,-0.0839628551553499
2.2,-0.0855542189171067
2.205,-0.0871825997474102
2.21,-0.0888491277221297
2.215,-0.0905549773844858
2.22,-0.0923013698417987
2.225,-0.0940895749772463
2.23,-0.0959209137837797
2.235,-0.0977967608279999
2.24,-0.099718546852221
2.245,-0.101687761523575
2.25,-0.103705956339706
2.255,-0.105774747701205
2.26,-0.107895820161751
2.265,-0.110070929867728
2.27,-0.112301908199915
2.275,-0.114590665630859
2.28,-0.116939195812502
2.285,-0.119349579909828
2.29,-0.12182399119741
2.295,-0.124364699937142
2.3,-0.126974078556787
2.305,-0.129654607150571
2.31,-0.132408879324734
2.315,-0.135239608412745
2.32,-0.138149634086927
2.325,-0.141141929395392
2.33,-0.144219608255596
2.335,-0.147385933438289
2.34,-0.150644325078694
2.345,-0.15399836975456
2.35,-0.157451830174352
2.355,-0.161008655522407
2.36,-0.164672992511957
2.365,-0.168449197201389
2.37,-0.172341847633943
2.375,-0.176355757366461
2.38,-0.180495989958574
2.385,-0.184767874500259
2.39,-0.189177022262733
2.395,-0.193729344565564
2.4,-0.198431071961392
2.405,-0.203288774849258
2.41,-0.208309385637994
2.415,-0.213500222592759
2.42,-0.218869015510615
2.425,-0.224423933385277
2.43,-0.23017361423692
2.435,-0.236127197300348
2.44,-0.242294357784288
2.445,-0.24868534443601
2.45,-0.255311020169598
2.455,-0.262182906042668
2.46,-0.269313228896231
2.465,-0.276714973005497
2.47,-0.284401936126413
2.475,-0.292388790364209
2.48,-0.300691148336505
2.485,-0.309325635155428
2.49,-0.318309966811456
2.495,-0.327663035606969
2.5,-0.337405003360997
2.505,-0.347557403189278
2.51,-0.358143250756848
2.515,-0.369187166005365
2.52,-0.380715506475957
2.525,-0.392756513482376
2.53,-0.405340472540985
2.535,-0.418499889635952
2.54,-0.432269685093121
2.545,-0.446687407057603
2.55,-0.461793466822096
2.555,-0.477631398540148
2.56,-0.49424814618569
2.565,-0.511694380994191
2.57,-0.530024853047946
2.575,-0.549298781157439
2.58,-0.569580285751593
2.585,-0.590938870133663
2.59,-0.613449956199842
2.595,-0.637195481569779
2.6,-0.662264566060598
2.605,-0.688754256570107
2.61,-0.716770360746096
2.615,-0.746428381336607
2.62,-0.777854564876584
2.625,-0.811187080410629
2.63,-0.84657734632988
2.635,-0.884191526171943
2.64,-0.924212217467091
2.645,-0.966840361495721
2.65,-1.01229740625286
2.655,-1.06082776011712
2.66,-1.11270157984272
2.665,-1.16821794371342
2.67,-1.22770846923946
2.675,-1.29154144491514
2.68,-1.36012655762855
2.685,-1.43392031175552
2.69,-1.51343225332747
2.695,-1.59923213364359
2.7,-1.6919581722311
2.705,-1.79232661037291
2.71,-1.90114278518016
2.715,-2.01931400266255
2.72,-2.1478645496045
2.725,-2.28795326275764
2.73,-2.44089417631276
2.735,-2.60818090411822
2.74,-2.7915155953648
2.745,-2.99284355187872
2.75,-3.21439494257676
2.755,-3.45873554313633
2.76,-3.72882913939663
2.765,-4.02811527575651
2.77,-4.36060758691589
2.775,-4.73102031756475
2.78,-5.14493429694565
2.785,-5.60901941564166
2.79,-6.13133997370209
2.795,-6.72178466635943
2.8,-7.39268909676522
2.805,-8.15976436043244
2.81,-9.04352760042091
2.815,-10.0715836057959
2.82,-11.2823974645723
2.825,-12.7317415705213
2.83,-14.5038396844599
2.835,-16.7288187285087
2.84,-19.5878443158384
2.845,-23.055522310893
2.85,-24.9258750686585
2.855,-22.3593701206032
2.86,-18.9900098753088
2.865,-16.301261903658
2.87,-14.2069426826249
2.875,-12.5327611381036
2.88,-11.159483239049
2.885,-10.009849141629
2.89,-9.03228763517818
2.895,-8.19094374885239
2.9,-7.45991535510854
2.905,-6.8198569438004
2.91,-6.25590734262831
2.915,-5.75637830656859
2.92,-5.31189543132596
2.925,-4.91481714005503
2.93,-4.5588300726762
2.935,-4.23865967438636
2.94,-3.94985806345267
2.945,-3.68864505570886
2.95,-3.4517866221598
2.955,-3.23650029522381
2.96,-3.04038038079699
2.965,-2.86133800904328
2.97,-2.69755250106747
2.975,-2.54743150520925
2.98,-2.4095780289674
2.985,-2.28276296351036
2.99,-2.16590203334302
2.995,-2.05803634690624
3,-1.95831590301193
