"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.110519931555816
2.005,-0.117519462900518
2.01,-0.125212281220667
2.015,-0.133690955871402
2.02,-0.143063772080611
2.025,-0.153458005330207
2.03,-0.165024011266801
2.035,-0.177940369286395
2.04,-0.192420398246967
2.045,-0.208720473971323
2.05,-0.227150733735642
2.055,-0.248088972756233
2.06,-0.271998851807615
2.065,-0.299453989246258
2.07,-0.331170175394926
2.075,-0.368048932714689
2.08,-0.411237126234901
2.085,-0.462209586407799
2.09,-0.522885199629876
2.095,-0.595792409993349
2.1,-0.684308836955781
2.105,-0.793013927045238
2.11,-0.928216993985262
2.115,-1.09876226989823
2.12,-1.31727942039993
2.125,-1.60216346596282
2.13,-1.98077089756551
2.135,-2.49468280698274
2.14,-3.20856409538652
2.145,-4.22550209075024
2.15,-5.71465301484707
2.155,-7.96242431730377
2.16,-11.4294901226305
2.165,-15.7939280513689
2.17,-14.416247916661
2.175,-10.1258041987464
2.18,-7.19346618024172
2.185,-5.28462404706504
2.19,-4.00185611913191
2.195,-3.11193487882986
2.2,-2.47682970936561
2.205,-2.01190959222697
2.21,-1.66367336838611
2.215,-1.39738730516043
2.22,-1.18994707414578
2.225,-1.02563185497278
2.23,-0.893515754198383
2.235,-0.785853971434409
2.24,-0.697055182837379
2.245,-0.623013858262363
2.25,-0.560668008501683
2.255,-0.507700850598288
2.26,-0.46233605733356
2.265,-0.423194938203199
2.27,-0.389195293802823
2.275,-0.359478757590009
2.28,-0.33335790286618
2.285,-0.310277256558021
2.29,-0.289784227381648
2.295,-0.271507190049338
2.3,-0.255138794946207
2.305,-0.240423135436748
2.31,-0.227145792415946
2.315,-0.21512604572764
2.32,-0.204210732395522
2.325,-0.194269367226107
2.33,-0.185190238969578
2.335,-0.176877266190692
2.34,-0.169247449065936
2.345,-0.162228791855029
2.35,-0.155758599549814
2.355,-0.149782073832314
2.36,-0.144251149864894
2.365,-0.139123527946758
2.37,-0.134361863685857
2.375,-0.12993308777249
2.38,-0.125807832229558
2.385,-0.121959944546673
2.39,-0.118366074673974
2.395,-0.115005322676908
2.4,-0.111858937101714
2.405,-0.108910055899659
2.41,-0.106143483203391
2.415,-0.103545496415699
2.42,-0.101103679017255
2.425,-0.0988067752708259
2.43,-0.0966445636299087
2.435,-0.0946077461776271
2.44,-0.0926878518488321
2.445,-0.0908771515419824
2.45,-0.0891685835215131
2.455,-0.0875556877569895
2.46,-0.0860325480514281
2.465,-0.0845937409849269
2.47,-0.0832342908472693
2.475,-0.0819496298589977
2.48,-0.0807355630890617
2.485,-0.0795882375716181
2.49,-0.0785041152079421
2.495,-0.0774799491143891
2.5,-0.076512763145958
2.505,-0.0755998343898367
2.51,-0.0747386784859297
2.515,-0.0739270376943723
2.52,-0.0731628716953221
2.525,-0.0724443511762099
2.53,-0.0717698543385302
2.535,-0.0711379665427512
2.54,-0.0705474834081333
2.545,-0.0699974177958421
2.55,-0.0694870112288744
2.555,-0.0690157504372495
2.56,-0.068583389851277
2.565,-0.0681899809753857
2.57,-0.0678359096111239
2.575,-0.0675219417663085
2.58,-0.0672492786128209
2.585,-0.0670196197217225
2.59,-0.0668352314507703
2.595,-0.0666990128206688
2.6,-0.0666145428803419
2.605,-0.0665860788673593
2.61,-0.0666184496799925
2.615,-0.0667167497063623
2.62,-0.0668856806850156
2.625,-0.0671283192361785
2.63,-0.0674440359198007
2.635,-0.0678253467296481
2.64,-0.0682538210523105
2.645,-0.068696042831231
2.65,-0.0691020550257522
2.655,-0.0694098996396715
2.66,-0.0695587295433744
2.665,-0.0695077847513705
2.67,-0.069251891248125
2.675,-0.068823455345128
2.68,-0.0682795410876328
2.685,-0.067682677095763
2.69,-0.0670857587121586
2.695,-0.06652549828953
2.7,-0.0660228403588366
2.705,-0.0655866883741831
2.71,-0.0652181329849757
2.715,-0.064913871473338
2.72,-0.064668537759443
2.725,-0.0644761149573519
2.73,-0.0643307074727025
2.735,-0.0642269123758016
2.74,-0.0641599594234421
2.745,-0.0641257272854962
2.75,-0.064120699666698
2.755,-0.0641418969773054
2.76,-0.0641868023925433
2.765,-0.0642532915117345
2.77,-0.0643395695345348
2.775,-0.0644441170915203
2.78,-0.0645656444978086
2.785,-0.0647030535979836
2.79,-0.0648554061730232
2.795,-0.0650218978821147
2.8,-0.0652018368039894
2.805,-0.0653946257663343
2.81,-0.0655997477787743
2.815,-0.0658167540019173
2.82,-0.0660452537869377
2.825,-0.0662849064062251
2.83,-0.0665354141668853
2.835,-0.0667965166572513
2.84,-0.0670679859238547
2.845,-0.0673496224145541
2.85,-0.0676412515544648
2.855,-0.0679427208460399
2.86,-0.0682538974048275
2.865,-0.0685746658584392
2.87,-0.068904926549431
2.875,-0.0692445939932408
2.88,-0.0695935955509857
2.885,-0.0699518702837691
2.89,-0.0703193679609446
2.895,-0.0706960481993246
2.9,-0.0710818797141216
2.905,-0.071476839665654
2.91,-0.0718809130882165
2.915,-0.0722940923898606
2.92,-0.0727163769134364
2.925,-0.0731477725507914
2.93,-0.0735882914032334
2.935,-0.0740379514823582
2.94,-0.0744967764462605
2.945,-0.0749647953667863
2.95,-0.0754420425241944
2.955,-0.075928557225972
2.96,-0.0764243836471681
2.965,-0.0769295706897723
2.97,-0.0774441718591855
2.975,-0.0779682451558809
2.98,-0.0785018529808407
2.985,-0.0790450620533029
2.99,-0.0795979433396681
2.995,-0.0801605719925541
3,-0.0807330272990475
