"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0281366586278236
2.005,-0.0284503470285009
2.01,-0.0287675310679788
2.015,-0.0290882468117457
2.02,-0.0294125313574944
2.025,-0.0297404228532551
2.03,-0.0300719605160403
2.035,-0.0304071846510088
2.04,-0.0307461366711497
2.045,-0.0310888591175158
2.05,-0.0314353956800024
2.055,-0.0317857912187211
2.06,-0.0321400917859348
2.065,-0.0324983446486108
2.07,-0.032860598311607
2.075,-0.0332269025414671
2.08,-0.0335973083908835
2.085,-0.0339718682238549
2.09,-0.0343506357415012
2.095,-0.0347336660086178
2.1,-0.0351210154809515
2.105,-0.0355127420332446
2.11,-0.0359089049880227
2.115,-0.0363095651452299
2.12,-0.0367147848126406
2.125,-0.037124627837158
2.13,-0.037539159636951
2.135,-0.0379584472345067
2.14,-0.0383825592906202
2.145,-0.038811566139303
2.15,-0.0392455398237233
2.155,-0.0396845541331085
2.16,-0.040128684640726
2.165,-0.0405780087429327
2.17,-0.0410326056993335
2.175,-0.0414925566740773
2.18,-0.041957944778347
2.185,-0.0424288551140631
2.19,-0.0429053748188475
2.195,-0.0433875931122728
2.2,-0.0438756013434746
2.205,-0.0443694930401277
2.21,-0.0448693639588537
2.215,-0.0453753121371179
2.22,-0.0458874379466284
2.225,-0.046405844148328
2.23,-0.0469306359490035
2.235,-0.0474619210595733
2.24,-0.0479998097551238
2.245,-0.0485444149367318
2.25,-0.0490958521951446
2.255,-0.049654239876391
2.26,-0.0502196991493638
2.265,-0.0507923540754626
2.27,-0.051372331680375
2.275,-0.0519597620280393
2.28,-0.0525547782968925
2.285,-0.0531575168584765
2.29,-0.0537681173584881
2.295,-0.0543867228003413
2.3,-0.0550134796313683
2.305,-0.0556485378317188
2.31,-0.0562920510060626
2.315,-0.056944176478216
2.32,-0.0576050753887884
2.325,-0.0582749127959416
2.33,-0.058953857779387
2.335,-0.0596420835477814
2.34,-0.0603397675495662
2.345,-0.061047091587445
2.35,-0.0617642419366288
2.355,-0.0624914094669384
2.36,-0.0632287897689884
2.365,-0.0639765832845414
2.37,-0.0647349954412397
2.375,-0.0655042367918436
2.38,-0.0662845231581783
2.385,-0.0670760757799773
2.39,-0.0678791214687636
2.395,-0.0686938927670575
2.4,-0.0695206281130111
2.405,-0.0703595720107758
2.41,-0.0712109752067916
2.415,-0.0720750948722357
2.42,-0.0729521947918725
2.425,-0.0738425455596057
2.43,-0.0747464247809436
2.435,-0.0756641172827082
2.44,-0.0765959153302653
2.445,-0.077542118852603
2.45,-0.0785030356755431
2.455,-0.0794789817635033
2.46,-0.0804702814700665
2.465,-0.0814772677978194
2.47,-0.0825002826678254
2.475,-0.0835396771991024
2.48,-0.0845958119985932
2.485,-0.0856690574620527
2.49,-0.086759794086328
2.495,-0.0878684127935256
2.5,-0.0889953152675884
2.505,-0.0901409143038556
2.51,-0.0913056341721058
2.515,-0.0924899109937911
2.52,-0.0936941931340043
2.525,-0.0949189416088902
2.53,-0.0961646305092028
2.535,-0.0974317474406978
2.54,-0.098720793982204
2.545,-0.10003228616212
2.55,-0.101366754954217
2.555,-0.102724746793669
2.56,-0.104106824114213
2.565,-0.10551356590745
2.57,-0.106945568305372
2.575,-0.10840344518715
2.58,-0.10988782881141
2.585,-0.111399370475193
2.59,-0.11293874120089
2.595,-0.114506632452523
2.6,-0.116103756882809
2.605,-0.117730849112528
2.61,-0.119388666543781
2.615,-0.121077990208843
2.62,-0.122799625656377
2.625,-0.124554403876943
2.63,-0.126343182269712
2.635,-0.128166845652565
2.64,-0.130026307317768
2.645,-0.131922510135588
2.65,-0.133856427708326
2.655,-0.135829065577433
2.66,-0.137841462486451
2.665,-0.139894691702816
2.67,-0.141989862401551
2.675,-0.144128121114251
2.68,-0.146310653246844
2.685,-0.148538684669849
2.69,-0.150813483385111
2.695,-0.153136361273206
2.7,-0.155508675925953
2.705,-0.157931832568799
2.71,-0.160407286078084
2.715,-0.162936543098538
2.72,-0.165521164266688
2.725,-0.168162766546221
2.73,-0.170863025681733
2.735,-0.173623678777681
2.74,-0.176446527009888
2.745,-0.179333438477251
2.75,-0.182286351202041
2.755,-0.185307276287507
2.76,-0.188398301242242
2.765,-0.191561593481294
2.77,-0.194799404014773
2.775,-0.198114071335305
2.78,-0.201508025516597
2.785,-0.204983792536124
2.79,-0.208543998835865
2.795,-0.212191376136007
2.8,-0.215928766517582
2.805,-0.219759127791055
2.81,-0.223685539169209
2.815,-0.227711207263853
2.82,-0.231839472427418
2.825,-0.23607381546186
2.83,-0.240417864719104
2.835,-0.244875403618933
2.84,-0.249450378612107
2.845,-0.254146907618712
2.85,-0.258969288973799
2.855,-0.263922010914953
2.86,-0.269009761648948
2.865,-0.274237440037536
2.87,-0.279610166945521
2.875,-0.285133297297564
2.88,-0.290812432893806
2.885,-0.296653436038396
2.89,-0.302662444039199
2.895,-0.308845884641671
2.9,-0.315210492464968
2.905,-0.321763326513775
2.91,-0.328511788845448
2.915,-0.335463644478501
2.92,-0.342627042635639
2.925,-0.350010539422298
2.93,-0.357623122050102
2.935,-0.36547423472391
2.94,-0.373573806321237
2.945,-0.381932280003872
2.95,-0.390560644913584
2.955,-0.399470470117031
2.96,-0.408673940979501
2.965,-0.418183898162878
2.97,-0.428013879460721
2.975,-0.438178164702321
2.98,-0.448691823978602
2.985,-0.459570769465619
2.99,-0.470831811146796
2.995,-0.482492716762654
3,-0.494572276347441
