"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.939350267605351
2.005,-0.774299510986885
2.01,-0.649063581438343
2.015,-0.552165390521145
2.02,-0.4758811563292
2.025,-0.414891526521427
2.03,-0.365453942120098
2.035,-0.324883120034339
2.04,-0.291217573900485
2.045,-0.263000935996589
2.05,-0.239135651880191
2.055,-0.218783244703162
2.06,-0.20129513214333
2.065,-0.186163855766591
2.07,-0.172988182016705
2.075,-0.16144778068017
2.08,-0.151284614521916
2.085,-0.142289096895756
2.09,-0.134289680630445
2.095,-0.127144946068416
2.1,-0.120737529899158
2.105,-0.114969424183999
2.11,-0.109758305374249
2.115,-0.105034644781455
2.12,-0.100739417107066
2.125,-0.0968222704371562
2.13,-0.0932400550618637
2.135,-0.089955633347203
2.14,-0.0869369112634533
2.145,-0.0841560458688632
2.15,-0.0815887933349911
2.155,-0.0792139698869131
2.16,-0.0770130039684011
2.165,-0.074969562499671
2.17,-0.0730692376168379
2.175,-0.071299283020225
2.18,-0.0696483912001651
2.185,-0.0681065044935109
2.19,-0.0666646542561886
2.195,-0.065314823496205
2.2,-0.0640498291576473
2.205,-0.0628632209254042
2.21,-0.0617491939679694
2.215,-0.0607025134794328
2.22,-0.0597184492423857
2.225,-0.0587927187282832
2.23,-0.0579214374932243
2.235,-0.0571010758259882
2.24,-0.0563284207692463
2.245,-0.0556005427709698
2.25,-0.0549147663361449
2.255,-0.0542686441432985
2.26,-0.0536599341692622
2.265,-0.0530865794319573
2.27,-0.0525466900167017
2.275,-0.0520385270987064
2.28,-0.0515604887142421
2.285,-0.051111097066825
2.29,-0.0506889871836044
2.295,-0.050292896761568
2.3,-0.0499216570643503
2.305,-0.0495741847482658
2.31,-0.049249474511795
2.315,-0.0489465924759233
2.32,-0.0486646702143463
2.325,-0.0484028993623609
2.33,-0.0481605267419657
2.335,-0.0479368499480816
2.34,-0.0477312133473342
2.345,-0.0475430044464961
2.35,-0.0473716505925887
2.355,-0.0472166159710083
2.36,-0.0470773988717496
2.365,-0.0469535291972379
2.37,-0.0468445661880337
2.375,-0.0467500963453815
2.38,-0.0466697315317493
2.385,-0.0466031072325302
2.39,-0.0465498809638783
2.395,-0.0465097308131007
2.4,-0.046482354099582
2.405,-0.0464674661452676
2.41,-0.046464799144972
2.415,-0.0464741011276815
2.42,-0.0464951350008787
2.425,-0.0465276776707282
2.43,-0.0465715192316517
2.435,-0.0466264622193931
2.44,-0.0466923209223165
2.445,-0.0467689207460608
2.45,-0.0468560976272515
2.455,-0.0469536974922506
2.46,-0.047061575757372
2.465,-0.0471795968673026
2.47,-0.0473076338686813
2.475,-0.0474455680162014
2.48,-0.0475932884086862
2.485,-0.0477506916529234
2.49,-0.0479176815531712
2.495,-0.04809416882443
2.5,-0.0482800708278012
2.505,-0.0484753113263114
2.51,-0.0486798202597447
2.515,-0.0488935335372108
2.52,-0.0491163928461641
2.525,-0.0493483454768209
2.53,-0.0495893441608746
2.535,-0.0498393469236575
2.54,-0.0500983169487972
2.545,-0.050366222454631
2.55,-0.0506430365816174
2.555,-0.0509287372900735
2.56,-0.051223307267648
2.565,-0.0515267338458918
2.57,-0.0518390089254828
2.575,-0.0521601289095687
2.58,-0.052490094644784
2.585,-0.0528289113695468
2.59,-0.053176588669263
2.595,-0.0535331404380591
2.6,-0.0538985848467556
2.605,-0.0542729443167632
2.61,-0.0546562454996344
2.615,-0.0550485192620382
2.62,-0.0554498006758973
2.625,-0.0558601290135038
2.63,-0.0562795477474095
2.635,-0.0567081045548967
2.64,-0.0571458513269098
2.645,-0.0575928441812453
2.65,-0.0580491434799045
2.655,-0.0585148138504843
2.66,-0.0589899242114484
2.665,-0.0594745478012445
2.67,-0.0599687622111355
2.675,-0.0604726494216515
2.68,-0.0609862958426321
2.685,-0.0615097923567578
2.69,-0.0620432343665188
2.695,-0.0625867218445967
2.7,-0.0631403593875816
2.705,-0.0637042562729984
2.71,-0.0642785265196441
2.715,-0.0648632889511507
2.72,-0.0654586672628067
2.725,-0.0660647900916149
2.73,-0.0666817910895411
2.735,-0.0673098090000121
2.74,-0.0679489877376031
2.745,-0.0685994764709512
2.75,-0.0692614297089252
2.755,-0.0699350073900067
2.76,-0.0706203749749631
2.765,-0.071317703542791
2.77,-0.0720271698899824
2.775,-0.0727489566331257
2.78,-0.073483252314881
2.785,-0.0742302515133855
2.79,-0.0749901549550762
2.795,-0.0757631696310402
2.8,-0.0765495089168917
2.805,-0.0773493926962499
2.81,-0.0781630474878351
2.815,-0.078990706576321
2.82,-0.0798326101468858
2.825,-0.0806890054236317
2.83,-0.0815601468118694
2.835,-0.0824462960443798
2.84,-0.0833477223316921
2.845,-0.0842647025164639
2.85,-0.0851975212320721
2.855,-0.0861464710654345
2.86,-0.0871118527241973
2.865,-0.0880939752083695
2.87,-0.0890931559864626
2.875,-0.0901097211762643
2.88,-0.0911440057303256
2.885,-0.0921963536262804
2.89,-0.0932671180620628
2.895,-0.0943566616561585
2.9,-0.0954653566530184
2.905,-0.0965935851336894
2.91,-0.0977417392318292
2.915,-0.098910221355215
2.92,-0.100099444412844
2.925,-0.101309832047796
2.93,-0.102541818875938
2.935,-0.103795850730661
2.94,-0.105072384913723
2.945,-0.106371890452404
2.95,-0.107694848363076
2.955,-0.109041751921343
2.96,-0.110413106938916
2.965,-0.111809432047382
2.97,-0.113231258988992
2.975,-0.114679132914704
2.98,-0.116153612689552
2.985,-0.117655271205623
2.99,-0.119184695702719
2.995,-0.120742488096963
3,-0.122329265317482
