"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0332394406130883
2.005,-0.0337871310732677
2.01,-0.0343479899886607
2.015,-0.0349223284351648
2.02,-0.035510469806452
2.025,-0.0361127503283361
2.03,-0.0367295195990943
2.035,-0.0373611411573023
2.04,-0.0380079930786946
2.045,-0.0386704686037781
2.05,-0.0393489767979841
2.055,-0.0400439432462915
2.06,-0.0407558107843219
2.065,-0.0414850402681501
2.07,-0.042232111385106
2.075,-0.0429975235080902
2.08,-0.0437817965960311
2.085,-0.0445854721433695
2.09,-0.0454091141815645
2.095,-0.0462533103358997
2.1,-0.0471186729410661
2.105,-0.0480058402192764
2.11,-0.0489154775248513
2.115,-0.0498482786596304
2.12,-0.0508049672637747
2.125,-0.0517862982869054
2.13,-0.0527930595448803
2.135,-0.0538260733679152
2.14,-0.0548861983461679
2.145,-0.0559743311793954
2.15,-0.0570914086377453
2.155,-0.0582384096413781
2.16,-0.0594163574671037
2.165,-0.0606263220909371
2.17,-0.0618694226761715
2.175,-0.0631468302172893
2.18,-0.0644597703509009
2.185,-0.0658095263457814
2.19,-0.0671974422851202
2.195,-0.0686249264550388
2.2,-0.0700934549548287
2.205,-0.0716045755453899
2.21,-0.0731599117539814
2.215,-0.074761167254781
2.22,-0.0764101305465271
2.225,-0.0781086799503032
2.23,-0.0798587889525985
2.235,-0.0816625319209853
2.24,-0.0835220902221452
2.245,-0.0854397587748147
2.25,-0.0874179530729818
2.255,-0.0894592167180897
2.26,-0.0915662295025116
2.265,-0.0937418160905667
2.27,-0.095988955347706
2.275,-0.0983107903733967
2.28,-0.100710639298487
2.285,-0.103192006913965
2.29,-0.105758597204399
2.295,-0.108414326866862
2.3,-0.111163339904125
2.305,-0.114010023390092
2.31,-0.116959024515392
2.315,-0.12001526903239
2.32,-0.123183981231327
2.325,-0.126470705593427
2.33,-0.129881330282329
2.335,-0.133422112652928
2.34,-0.137099706976232
2.345,-0.140921194601067
2.35,-0.144894116798268
2.355,-0.149026510560892
2.36,-0.153326947665597
2.365,-0.157804577335854
2.37,-0.162469172887818
2.375,-0.167331182785164
2.38,-0.17240178658079
2.385,-0.177692956281606
2.39,-0.183217523739262
2.395,-0.188989254745097
2.4,-0.195022930593963
2.405,-0.201334437979857
2.41,-0.20794086819887
2.415,-0.214860626763832
2.42,-0.22211355468285
2.425,-0.229721062823809
2.43,-0.237706280982462
2.435,-0.246094223497202
2.44,-0.254911973514088
2.445,-0.26418888830711
2.45,-0.273956828408169
2.455,-0.284250413707248
2.46,-0.295107310155731
2.465,-0.306568551256885
2.47,-0.318678899171462
2.475,-0.331487251020291
2.48,-0.34504709685058
2.485,-0.359417036772872
2.49,-0.374661366001757
2.495,-0.390850737981359
2.5,-0.408062917490728
2.505,-0.426383637657899
2.51,-0.445907577229804
2.515,-0.466739477328014
2.52,-0.488995420365002
2.525,-0.512804297921619
2.53,-0.53830949934107
2.535,-0.565670858758898
2.54,-0.59506690548679
2.545,-0.626697471378022
2.55,-0.660786719369257
2.555,-0.697586670247931
2.56,-0.737381320373801
2.565,-0.780491462262269
2.57,-0.82728034346411
2.575,-0.878160328122669
2.58,-0.933600761314645
2.585,-0.994137280517072
2.59,-1.06038287351255
2.595,-1.13304105061794
2.6,-1.21292158503943
2.605,-1.3009593833484
2.61,-1.3982371851237
2.615,-1.50601296565975
2.62,-1.62575314068706
2.625,-1.75917296486598
2.63,-1.90828590197821
2.635,-2.07546426258044
2.64,-2.26351411354507
2.645,-2.47576845739505
2.65,-2.71620411135971
2.655,-2.98958984476909
2.66,-3.30167660318251
2.665,-3.65944584199583
2.67,-4.07144052555634
2.675,-4.5482178384465
2.68,-5.10298809125296
2.685,-5.75255050921445
2.69,-6.51872371536198
2.695,-7.43064005084536
2.7,-8.52862635233033
2.705,-9.87116192592476
2.71,-11.5481479116168
2.715,-13.7075807457308
2.72,-16.6069502467876
2.725,-20.6160459122948
2.73,-24.3872422722439
2.735,-21.6163409708345
2.74,-17.4047957356672
2.745,-14.333830757225
2.75,-12.074225026188
2.755,-10.3371038343999
2.76,-8.9564617755801
2.765,-7.83294498902047
2.77,-6.90289629863556
2.775,-6.12302183792378
2.78,-5.46243500886295
2.785,-4.89826247163097
2.79,-4.41306856147633
2.795,-3.99326223666842
2.8,-3.62806350168687
2.805,-3.30880407383336
2.81,-3.02843673983035
2.815,-2.78118039380831
2.82,-2.56225658998974
2.825,-2.36768987232147
2.83,-2.19415383426235
2.835,-2.03885077410323
2.84,-1.89941653804987
2.845,-1.77384456809554
2.85,-1.66042479746708
2.855,-1.55769415723889
2.86,-1.46439625009325
2.865,-1.37944831995189
2.87,-1.30191406818511
2.875,-1.23098118309691
2.88,-1.16594268926556
2.885,-1.10618140751944
2.89,-1.05115695914354
2.895,-1.00039485954776
2.9,-0.953477334504494
2.905,-0.910035561658422
2.91,-0.869743095425334
2.915,-0.832310277732111
2.92,-0.797479472676855
2.925,-0.765020991933575
2.93,-0.734729601006304
2.935,-0.706421515359742
2.94,-0.679931810885398
2.945,-0.655112185788862
2.95,-0.6318290213473
2.955,-0.609961697518353
2.96,-0.58940112642657
2.965,-0.570048472587033
2.97,-0.551814033570163
2.975,-0.534616258845072
2.98,-0.518380887906359
2.985,-0.503040191607963
2.99,-0.488532302993129
2.995,-0.474800625899436
3,-0.461793311296149
