"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0421999116077679
2.005,-0.0428502492177233
2.01,-0.0435109747002365
2.015,-0.0441822994894549
2.02,-0.0448644401803412
2.025,-0.0455576187033948
2.03,-0.0462620625057572
2.035,-0.0469780047389367
2.04,-0.0477056844534432
2.045,-0.04844534680063
2.05,-0.0491972432420422
2.055,-0.0499616317666044
2.06,-0.0507387771159786
2.065,-0.0515289510184407
2.07,-0.0523324324316775
2.075,-0.0531495077948408
2.08,-0.0539804712903322
2.085,-0.054825625115689
2.09,-0.055685279766054
2.095,-0.0565597543277068
2.1,-0.0574493767831298
2.105,-0.0583544843281406
2.11,-0.0592754237016561
2.115,-0.0602125515286273
2.12,-0.0611662346768022
2.125,-0.0621368506278913
2.13,-0.0631247878638712
2.135,-0.0641304462690775
2.14,-0.0651542375488476
2.145,-0.0661965856655201
2.15,-0.0672579272925791
2.155,-0.0683387122878097
2.16,-0.0694394041864072
2.165,-0.0705604807149797
2.17,-0.071702434327466
2.175,-0.0728657727640245
2.18,-0.074051019634058
2.185,-0.0752587150245175
2.19,-0.0764894161347892
2.195,-0.0777436979394537
2.2,-0.0790221538803454
2.205,-0.0803253965893865
2.21,-0.0816540586437638
2.215,-0.0830087933550871
2.22,-0.0843902755943125
2.225,-0.0857992026542725
2.23,-0.0872362951517551
2.235,-0.0887022979712123
2.24,-0.0901979812523531
2.245,-0.0917241414238592
2.25,-0.093281602285767
2.255,-0.0948712161431116
2.26,-0.0964938649935874
2.265,-0.0981504617722209
2.27,-0.0998419516561217
2.275,-0.101569313432709
2.28,-0.103333560934861
2.285,-0.105135744546793
2.29,-0.106976952784641
2.295,-0.10885831395595
2.3,-0.110780997902647
2.305,-0.11274621783222
2.31,-0.114755232242265
2.315,-0.116809346943827
2.32,-0.118909917189339
2.325,-0.121058349911333
2.33,-0.123256106078534
2.335,-0.12550470317635
2.34,-0.127805717819302
2.345,-0.130160788503379
2.35,-0.132571618506929
2.355,-0.135039978949213
2.36,-0.137567712016432
2.365,-0.140156734365722
2.37,-0.142809040718319
2.375,-0.145526707653931
2.38,-0.148311897619157
2.385,-0.151166863163801
2.39,-0.154093951419858
2.395,-0.157095608839052
2.4,-0.160174386205987
2.405,-0.163332943945251
2.41,-0.1665740577421
2.415,-0.169900624497977
2.42,-0.173315668643545
2.425,-0.176822348833847
2.43,-0.180423965051909
2.435,-0.184123966149312
2.44,-0.187925957854367
2.445,-0.191833711281037
2.45,-0.195851171974287
2.455,-0.19998246953053
2.46,-0.204231927834811
2.465,-0.208604075959904
2.47,-0.213103659776107
2.475,-0.217735654324581
2.48,-0.22250527701157
2.485,-0.227418001685476
2.49,-0.232479573664267
2.495,-0.237696025786251
2.5,-0.243073695563675
2.505,-0.248619243525483
2.51,-0.254339672843144
2.515,-0.260242350341775
2.52,-0.266335029007885
2.525,-0.272625872115139
2.53,-0.279123479100522
2.535,-0.285836913335386
2.54,-0.292775731949311
2.545,-0.299950017879303
2.55,-0.307370414333179
2.555,-0.315048161873863
2.56,-0.32299513835108
2.565,-0.331223901928875
2.57,-0.339747737481524
2.575,-0.348580706657257
2.58,-0.357737701938884
2.585,-0.36723450506338
2.59,-0.377087850199106
2.595,-0.387315492319887
2.6,-0.397936281260514
2.605,-0.408970241988428
2.61,-0.420438661682481
2.615,-0.432364184272125
2.62,-0.444770913160195
2.625,-0.457684522930303
2.63,-0.471132380927055
2.635,-0.485143679694809
2.64,-0.499749581369839
2.645,-0.514983375243327
2.65,-0.530880649849983
2.655,-0.547479481091447
2.66,-0.564820638077238
2.665,-0.582947808561309
2.67,-0.601907846072364
2.675,-0.621751041084086
2.68,-0.642531418851611
2.685,-0.664307066856785
2.69,-0.687140495162623
2.695,-0.711099033382137
2.7,-0.736255268425781
2.705,-0.762687527711837
2.71,-0.790480413115078
2.715,-0.819725391600333
2.72,-0.850521449251317
2.725,-0.88297581627516
2.73,-0.917204771554495
2.735,-0.953334536451115
2.74,-0.991502268858578
2.745,-1.03185716998103
2.75,-1.07456171801127
2.755,-1.11979304482621
2.76,-1.16774447405384
2.765,-1.2186272414389
2.77,-1.27267242140336
2.775,-1.33013308712899
2.78,-1.3912867354663
2.785,-1.45643801259675
2.79,-1.52592178176607
2.795,-1.600106580719
2.8,-1.67939852389094
2.805,-1.76424571319203
2.81,-1.85514323166609
2.815,-1.95263880682438
2.82,-2.05733924557254
2.825,-2.16991776107334
2.83,-2.29112233456309
2.835,-2.42178528334623
2.84,-2.56283424167995
2.845,-2.71530480643884
2.85,-2.88035515765473
2.855,-3.05928303991246
2.86,-3.25354559065691
2.865,-3.4647826348741
2.87,-3.69484424521952
2.875,-3.94582361061222
2.88,-4.22009659011544
2.885,-4.52036978836119
2.89,-4.84973962355524
2.895,-5.21176573702662
2.9,-5.61056330349764
2.905,-6.05092045183363
2.91,-6.53844920254002
2.915,-7.07978109545336
2.92,-7.68282172319027
2.925,-8.35708039188283
2.93,-9.11408777884173
2.935,-9.9678926110232
2.94,-10.9355487811567
2.945,-12.0372483101868
2.95,-13.2949579004639
2.955,-14.7259508152087
2.96,-16.3202912135273
2.965,-17.9737373596972
2.97,-19.3438363718187
2.975,-19.8110954729795
2.98,-19.0731860187496
2.985,-17.6027739349958
2.99,-15.9713559053797
2.995,-14.4418895759245
3,-13.0827434391949
