"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.00243934608124603
2.005,-0.00244634906585359
2.01,-0.00245332606162986
2.015,-0.00246027764452833
2.02,-0.0024672043865892
2.025,-0.00247410685599055
2.03,-0.00248098561709166
2.035,-0.00248784123048029
2.04,-0.00249467425302275
2.045,-0.00250148523790831
2.05,-0.00250827473469349
2.055,-0.00251504328934257
2.06,-0.00252179144428256
2.065,-0.00252851973843881
2.07,-0.00253522870727941
2.075,-0.00254191888285567
2.08,-0.00254859079384644
2.085,-0.00255524496560441
2.09,-0.00256188192018019
2.095,-0.00256850217638499
2.1,-0.00257510624981473
2.105,-0.0025816946528905
2.11,-0.00258826789490486
2.115,-0.00259482648205654
2.12,-0.0026013709174784
2.125,-0.00260790170129529
2.13,-0.00261441933064039
2.135,-0.00262092429970253
2.14,-0.0026274170997618
2.145,-0.00263389821921751
2.15,-0.00264036814363067
2.155,-0.00264682735575767
2.16,-0.0026532763355802
2.165,-0.00265971556034094
2.17,-0.00266614550458014
2.175,-0.00267256664015593
2.18,-0.0026789794362983
2.185,-0.00268538435961582
2.19,-0.00269178187415158
2.195,-0.00269817244139285
2.2,-0.00270455652031252
2.205,-0.00271093456740284
2.21,-0.00271730703669378
2.215,-0.00272367437979734
2.22,-0.00273003704592203
2.225,-0.00273639548190567
2.23,-0.00274275013225491
2.235,-0.00274910143915871
2.24,-0.00275544984252214
2.245,-0.00276179577999238
2.25,-0.00276813968699342
2.255,-0.00277448199673477
2.26,-0.00278082314025776
2.265,-0.00278716354644995
2.27,-0.00279350364207218
2.275,-0.00279984385178555
2.28,-0.00280618459818131
2.285,-0.00281252630178665
2.29,-0.00281886938111489
2.295,-0.00282521425267503
2.3,-0.00283156133099499
2.305,-0.00283791102864469
2.31,-0.00284426375626888
2.315,-0.00285061992260159
2.32,-0.00285697993448637
2.325,-0.00286334419690428
2.33,-0.00286971311299799
2.335,-0.00287608708408432
2.34,-0.00288246650968029
2.345,-0.00288885178753394
2.35,-0.00289524331362634
2.355,-0.00290164148220525
2.36,-0.00290804668580351
2.365,-0.0029144593152593
2.37,-0.0029208797597296
2.375,-0.00292730840672009
2.38,-0.00293374564210065
2.385,-0.00294019185011685
2.39,-0.00294664741341894
2.395,-0.00295311271307244
2.4,-0.00295958812859288
2.405,-0.0029660740379419
2.41,-0.00297257081755045
2.415,-0.00297907884235641
2.42,-0.00298559848579488
2.425,-0.00299213011983491
2.43,-0.00299867411498622
2.435,-0.00300523084031751
2.44,-0.00301180066348062
2.445,-0.00301838395071435
2.45,-0.0030249810668715
2.455,-0.00303159237542944
2.46,-0.00303821823851235
2.465,-0.00304485901689312
2.47,-0.00305151507002423
2.475,-0.00305818675604738
2.48,-0.0030648744318051
2.485,-0.00307157845285615
2.49,-0.00307829917349485
2.495,-0.00308503694676648
2.5,-0.0030917921244731
2.505,-0.00309856505719284
2.51,-0.00310535609429531
2.515,-0.00311216558395805
2.52,-0.00311899387316843
2.525,-0.00312584130774873
2.53,-0.00313270823236772
2.535,-0.00313959499054649
2.54,-0.00314650192468445
2.545,-0.00315342937605647
2.55,-0.00316037768483311
2.555,-0.003167347190099
2.56,-0.00317433822985858
2.565,-0.00318135114104677
2.57,-0.00318838625954339
2.575,-0.00319544392018864
2.58,-0.00320252445678404
2.585,-0.0032096282021214
2.59,-0.00321675548797799
2.595,-0.00322390664513776
2.6,-0.00323108200339233
2.605,-0.00323828189156604
2.61,-0.00324550663751601
2.615,-0.00325275656814753
2.62,-0.00326003200942567
2.625,-0.00326733328637816
2.63,-0.00327466072311471
2.635,-0.0032820146428357
2.64,-0.00328939536783891
2.645,-0.00329680321952823
2.65,-0.00330423851843199
2.655,-0.00331170158420104
2.66,-0.00331919273563191
2.665,-0.00332671229066296
2.67,-0.00333426056639462
2.675,-0.00334183787908945
2.68,-0.00334944454418655
2.685,-0.00335708087631609
2.69,-0.00336474718929255
