"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.00259068763919099
2.005,-0.00260140511284245
2.01,-0.00261199192800342
2.015,-0.00262245037020635
2.02,-0.00263278270972085
2.025,-0.0026429912017289
2.03,-0.00265307808654139
2.035,-0.00266304558977046
2.04,-0.00267289592252777
2.045,-0.00268263128160354
2.05,-0.00269225384965143
2.055,-0.00270176579536561
2.06,-0.00271116927367236
2.065,-0.00272046642588703
2.07,-0.00272965937989594
2.075,-0.00273875025032971
2.08,-0.00274774113872792
2.085,-0.00275663413370949
2.09,-0.00276543131112482
2.095,-0.00277413473423875
2.1,-0.00278274645387016
2.105,-0.00279126850855955
2.11,-0.00279970292472692
2.115,-0.00280805171681527
2.12,-0.00281631688745243
2.125,-0.00282450042759444
2.13,-0.00283260431667494
2.135,-0.00284063052275052
2.14,-0.00284858100264907
2.145,-0.00285645770209495
2.15,-0.0028642625558718
2.155,-0.00287199748794291
2.16,-0.00287966441159958
2.165,-0.0028872652295834
2.17,-0.00289480183422597
2.175,-0.00290227610758566
2.18,-0.00290968992155936
2.185,-0.00291704513802985
2.19,-0.00292434360897468
2.195,-0.00293158717660394
2.2,-0.00293877767347391
2.205,-0.0029459169226046
2.21,-0.00295300673761564
2.215,-0.00296004892282644
2.22,-0.00296704527338145
2.225,-0.00297399757535615
2.23,-0.0029809076058891
2.235,-0.00298777713326764
2.24,-0.00299460791705991
2.245,-0.00300140170821609
2.25,-0.00300816024916566
2.255,-0.00301488527393984
2.26,-0.00302157850826795
2.265,-0.00302824166968051
2.27,-0.0030348764676124
2.275,-0.00304148460350306
2.28,-0.00304806777089581
2.285,-0.00305462765553321
2.29,-0.00306116593546511
2.295,-0.00306768428111796
2.3,-0.00307418435542789
2.305,-0.00308066781389468
2.31,-0.00308713630470034
2.315,-0.00309359146878912
2.32,-0.00310003493995235
2.325,-0.00310646834493067
2.33,-0.00311289330348144
2.335,-0.00311931142849165
2.34,-0.00312572432603763
2.345,-0.00313213359547959
2.35,-0.00313854082954161
2.355,-0.00314494761440332
2.36,-0.00315135552976057
2.365,-0.00315776614892772
2.37,-0.00316418103889647
2.375,-0.00317060176042646
2.38,-0.0031770298681196
2.385,-0.00318346691048854
2.39,-0.00318991443003863
2.395,-0.00319637396333739
2.4,-0.00320284704109652
2.405,-0.003209335188223
2.41,-0.0032158399239156
2.415,-0.003222362761715
2.42,-0.00322890520958199
2.425,-0.00323546876996883
2.43,-0.00324205493987331
2.435,-0.00324866521092268
2.44,-0.00325530106941613
2.445,-0.00326196399642031
2.45,-0.00326865546780889
2.455,-0.00327537695433208
2.46,-0.00328212992167935
2.465,-0.00328891583054696
2.47,-0.0032957361366911
2.475,-0.00330259229099062
2.48,-0.0033094857395059
2.485,-0.00331641792353869
2.49,-0.00332339027968623
2.495,-0.00333040423990492
2.5,-0.00333746123156151
2.505,-0.00334456267748526
2.51,-0.00335170999603164
2.515,-0.00335890460113448
2.52,-0.00336614790234948
2.525,-0.00337344130492271
2.53,-0.0033807862098312
2.535,-0.00338818401383419
2.54,-0.00339563610953773
2.545,-0.00340314388542958
2.55,-0.00341070872593035
2.555,-0.00341833201145338
2.56,-0.00342601511843863
2.565,-0.00343375941941925
2.57,-0.00344156628304682
2.575,-0.00344943707414924
2.58,-0.00345737315378488
2.585,-0.00346537587927256
2.59,-0.00347344660423794
2.595,-0.00348158667867631
2.6,-0.0034897974489691
2.605,-0.00349808025794856
2.61,-0.00350643644492686
2.615,-0.00351486734575305
2.62,-0.00352337429283249
2.625,-0.00353195861518866
2.63,-0.0035406216385009
2.635,-0.00354936468512574
2.64,-0.00355818907415778
2.645,-0.00356709612146161
2.65,-0.00357608713971054
2.655,-0.0035851634384166
2.66,-0.00359432632397889
2.665,-0.00360357709972421
2.67,-0.00361291706592164
2.675,-0.00362234751984537
2.68,-0.00363186975579895
2.685,-0.00364148506513852
2.69,-0.00365119473633089
2.695,-0.003661000054969
2.7,-0.0036709023038223
2.705,-0.00368090276284937
2.71,-0.00369100270925306
2.715,-0.00370120341749505
2.72,-0.00371150615934139
2.725,-0.00372191220389249
2.73,-0.00373242281759771
2.735,-0.0037430392643125
2.74,-0.00375376280531097
2.745,-0.00376459469932857
2.75,-0.00377553620257567
2.755,-0.00378658856878308
2.76,-0.00379775304922437
2.765,-0.0038090308927392
2.77,-0.00382042334577876
2.775,-0.00383193165241365
2.78,-0.00384355705437845
2.785,-0.00385530079108049
2.79,-0.00386716409965312
2.795,-0.00387914821495485
2.8,-0.0038912543696149
2.805,-0.00390348379405164
2.81,-0.00391583771649691
2.815,-0.00392831736302893
2.82,-0.00394092395758603
2.825,-0.00395365872200341
2.83,-0.00396652287603073
2.835,-0.00397951763735346
2.84,-0.00399264422162876
2.845,-0.00400590384248949
2.85,-0.00401929771159361
2.855,-0.00403282703862046
2.86,-0.00404649303131247
2.865,-0.00406029689548782
2.87,-0.0040742398350657
2.875,-0.00408832305208972
2.88,-0.00410254774674534
2.885,-0.00411691511738522
2.89,-0.00413142636054771
2.895,-0.00414608267097823
2.9,-0.00416088524164976
2.905,-0.00417583526378323
2.91,-0.00419093392687092
2.915,-0.00420618241868819
2.92,-0.00422158192531392
2.925,-0.00423713363116644
2.93,-0.00425283871899597
2.935,-0.00426869836992534
2.94,-0.00428471376345212
2.945,-0.00430088607748258
2.95,-0.00431721648833864
2.955,-0.00433370617077834
2.96,-0.00435035629800954
2.965,-0.00436716804172098
2.97,-0.0043841425720854
2.975,-0.00440128105777614
2.98,-0.00441858466599724
2.985,-0.00443605456248658
2.99,-0.0044536919115382
2.995,-0.00447149787601516
3,-0.00448947361736894
