"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0372122148383959
2.005,-0.0376532800850069
2.01,-0.0380981120867976
2.015,-0.0385467366970627
2.02,-0.0389991805696556
2.025,-0.0394554711683724
2.03,-0.0399156367765492
2.035,-0.040379706506886
2.04,-0.040847710311513
2.045,-0.0413196789922633
2.05,-0.0417956442112239
2.055,-0.0422756385014894
2.06,-0.0427596952781727
2.065,-0.0432478488496861
2.07,-0.0437401344292258
2.075,-0.0442365881465656
2.08,-0.0447372470600714
2.085,-0.0452421491689812
2.09,-0.0457513334259945
2.095,-0.0462648397500681
2.1,-0.0467827090395465
2.105,-0.0473049831855374
2.11,-0.0478317050855848
2.115,-0.0483629186576382
2.12,-0.0488986688543014
2.125,-0.0494390016774018
2.13,-0.0499839641928369
2.135,-0.0505336045457572
2.14,-0.0510879719760589
2.145,-0.0516471168341783
2.15,-0.0522110905972446
2.155,-0.0527799458855423
2.16,-0.053353736479309
2.165,-0.0539325173359035
2.17,-0.0545163446073065
2.175,-0.0551052756579709
2.18,-0.0556993690830505
2.185,-0.0562986847270021
2.19,-0.0569032837025451
2.195,-0.0575132284100329
2.2,-0.0581285825571882
2.205,-0.0587494111792631
2.21,-0.0593757806595804
2.215,-0.0600077587505137
2.22,-0.0606454145948798
2.225,-0.0612888187477491
2.23,-0.0619380431987223
2.235,-0.0625931613946324
2.24,-0.0632542482627133
2.245,-0.0639213802342331
2.25,-0.0645946352685945
2.255,-0.0652740928779427
2.26,-0.0659598341522312
2.265,-0.0666519417848298
2.27,-0.06735050009862
2.275,-0.0680555950726226
2.28,-0.0687673143691782
2.285,-0.0694857473616424
2.29,-0.0702109851626729
2.295,-0.0709431206530587
2.3,-0.071682248511153
2.305,-0.0724284652428837
2.31,-0.0731818692123776
2.315,-0.0739425606732116
2.32,-0.0747106418002888
2.325,-0.0754862167223511
2.33,-0.0762693915551718
2.335,-0.0770602744354174
2.34,-0.0778589755551912
2.345,-0.0786656071972813
2.35,-0.0794802837711433
2.355,-0.0803031218496034
2.36,-0.0811342402063218
2.365,-0.0819737598540173
2.37,-0.0828218040834935
2.375,-0.0836784985034576
2.38,-0.0845439710811454
2.385,-0.0854183521838364
2.39,-0.0863017746211715
2.395,-0.0871943736883883
2.4,-0.0880962872104408
2.405,-0.0890076555870479
2.41,-0.0899286218386782
2.415,-0.0908593316534969
2.42,-0.091799933435318
2.425,-0.0927505783525344
2.43,-0.0937114203881143
2.435,-0.0946826163906447
2.44,-0.0956643261264435
2.445,-0.096656712332817
2.45,-0.0976599407724204
2.455,-0.0986741802887979
2.46,-0.0996996028631211
2.465,-0.100736383672142
2.47,-0.101784701147406
2.475,-0.102844737035735
2.48,-0.103916676461048
2.485,-0.105000707987512
2.49,-0.106097023684086
2.495,-0.107205819190477
2.5,-0.108327293784561
2.505,-0.109461650451279
2.51,-0.110609095953079
2.515,-0.111769840901915
2.52,-0.112944099832865
2.525,-0.114132091279402
2.53,-0.115334037850342
2.535,-0.116550166308562
2.54,-0.117780707651487
2.545,-0.119025897193407
2.55,-0.120285974649693
2.555,-0.121561184222941
2.56,-0.122851774691091
2.565,-0.124157999497617
2.57,-0.125480116843783
2.575,-0.126818389783073
2.58,-0.128173086317835
2.585,-0.129544479498189
2.59,-0.130932847523306
2.595,-0.13233847384506
2.6,-0.133761647274172
2.605,-0.13520266208891
2.61,-0.136661818146398
2.615,-0.138139420996619
2.62,-0.139635781999195
2.625,-0.141151218443029
2.63,-0.142686053668878
2.635,-0.144240617194961
2.64,-0.145815244845669
2.645,-0.147410278883505
2.65,-0.149026068144311
2.655,-0.150662968175926
2.66,-0.152321341380319
2.665,-0.154001557159376
2.67,-0.155703992064396
2.675,-0.157429029949442
2.68,-0.159177062128649
2.685,-0.160948487537625
2.69,-0.162743712899077
2.695,-0.164563152892771
2.7,-0.166407230330005
2.705,-0.1682763763327
2.71,-0.170171030517284
2.715,-0.172091641183504
2.72,-0.174038665508354
2.725,-0.176012569745255
2.73,-0.178013829428667
2.735,-0.180042929584361
2.74,-0.182100364945437
2.745,-0.184186640174392
2.75,-0.186302270091364
2.755,-0.188447779908782
2.76,-0.190623705472663
2.765,-0.192830593510736
2.77,-0.195069001887673
2.775,-0.197339499867625
2.78,-0.199642668384344
2.785,-0.201979100319171
2.79,-0.204349400787074
2.795,-0.206754187431156
2.8,-0.20919409072577
2.805,-0.211669754288676
2.81,-0.214181835202479
2.815,-0.216731004345677
2.82,-0.219317946733693
2.825,-0.221943361870214
2.83,-0.224607964109184
2.835,-0.227312483027878
2.84,-0.230057663811377
2.845,-0.232844267648894
2.85,-0.235673072142363
2.855,-0.238544871727656
2.86,-0.241460478108979
2.865,-0.244420720706802
2.87,-0.247426447119814
2.875,-0.250478523601456
2.88,-0.253577835551403
2.885,-0.256725288022629
2.89,-0.259921806244467
2.895,-0.263168336162279
2.9,-0.266465844994241
2.905,-0.269815321805765
2.91,-0.273217778102226
2.915,-0.276674248440422
2.92,-0.280185791059446
2.925,-0.283753488531525
2.93,-0.287378448433363
2.935,-0.291061804038637
2.94,-0.294804715032135
2.945,-0.298608368246171
2.95,-0.302473978419784
2.955,-0.306402788981233
2.96,-0.310396072854367
2.965,-0.3144551332892
2.97,-0.318581304717256
2.975,-0.322775953631982
2.98,-0.327040479494549
2.985,-0.331376315665248
2.99,-0.335784930360713
2.995,-0.340267827636894
3,-0.344826548397768
