"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0168930440576028
2.005,-0.0170185514327924
2.01,-0.0171443416787457
2.015,-0.0172704536104326
2.02,-0.0173969257379237
2.025,-0.0175237962712086
2.03,-0.0176511031250261
2.035,-0.0177788839236734
2.04,-0.0179071760058293
2.045,-0.018036016429378
2.05,-0.0181654419762541
2.055,-0.0182954891572869
2.06,-0.0184261942170653
2.065,-0.018557593138832
2.07,-0.0186897216493746
2.075,-0.018822615223959
2.08,-0.0189563090913121
2.085,-0.019090838238576
2.09,-0.0192262374163672
2.095,-0.0193625411438112
2.1,-0.0194997837136811
2.105,-0.0196379991975212
2.11,-0.019777221450859
2.115,-0.0199174841184568
2.12,-0.0200588206396305
2.125,-0.0202012642535969
2.13,-0.0203448480049245
2.135,-0.0204896047490279
2.14,-0.020635567157736
2.145,-0.0207827677249476
2.15,-0.020931238772354
2.155,-0.0210810124552535
2.16,-0.0212321207684446
2.165,-0.0213845955522321
2.17,-0.021538468498506
2.175,-0.0216937711569385
2.18,-0.0218505349412837
2.185,-0.0220087911357904
2.19,-0.0221685709017266
2.195,-0.0223299052840334
2.2,-0.0224928252180935
2.205,-0.022657361536649
2.21,-0.0228235449768396
2.215,-0.0229914061874016
2.22,-0.0231609757359985
2.225,-0.0233322841167109
2.23,-0.0235053617577084
2.235,-0.0236802390290496
2.24,-0.0238569462506985
2.245,-0.0240355137006804
2.25,-0.0242159716234551
2.255,-0.0243983502384741
2.26,-0.0245826797489345
2.265,-0.0247689903507376
2.27,-0.0249573122416758
2.275,-0.0251476756308425
2.28,-0.0253401107482464
2.285,-0.0255346478547123
2.29,-0.0257313172519732
2.295,-0.0259301492930799
2.3,-0.0261311743930137
2.305,-0.0263344230396213
2.31,-0.0265399258048154
2.315,-0.0267477133560569
2.32,-0.0269578164681601
2.325,-0.0271702660354071
2.33,-0.0273850930839708
2.335,-0.0276023287846902
2.34,-0.0278220044661888
2.345,-0.0280441516283359
2.35,-0.0282688019561006
2.355,-0.0284959873337632
2.36,-0.0287257398595432
2.365,-0.0289580918606187
2.37,-0.0291930759085638
2.375,-0.0294307248352438
2.38,-0.0296710717491284
2.385,-0.0299141500520946
2.39,-0.0301599934566833
2.395,-0.0304086360038699
2.4,-0.0306601120813421
2.405,-0.0309144564422899
2.41,-0.0311717042247629
2.415,-0.0314318909715607
2.42,-0.0316950526507293
2.425,-0.0319612256766463
2.43,-0.0322304469317161
2.435,-0.0325027537887241
2.44,-0.0327781841338216
2.445,-0.0330567763902223
2.45,-0.033338569542574
2.455,-0.0336236031620782
2.46,-0.0339119174323435
2.465,-0.0342035531760292
2.47,-0.0344985518822533
2.475,-0.0347969557348839
2.48,-0.035098807641615
2.485,-0.0354041512639849
2.49,-0.0357130310482541
2.495,-0.0360254922572499
2.5,-0.0363415810031743
2.505,-0.036661344281406
2.51,-0.0369848300053505
2.515,-0.0373120870423311
2.52,-0.037643165250631
2.525,-0.0379781155176088
2.53,-0.038316989799061
2.535,-0.0386598411597504
