"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0652820404608673
2.005,-0.067142197621301
2.01,-0.0690778292784717
2.015,-0.0710927679170907
2.02,-0.0731910957392717
2.025,-0.0753771641876711
2.03,-0.0776556152597191
2.035,-0.0800314048018205
2.04,-0.0825098279949134
2.045,-0.0850965472684606
2.05,-0.0877976229088393
2.055,-0.0906195466612097
2.06,-0.0935692786614206
2.065,-0.09665428807751
2.07,-0.0998825978891938
2.075,-0.103262834289903
2.08,-0.106804281260108
2.085,-0.110516940934477
2.09,-0.114411600470327
2.095,-0.118499906222573
2.1,-0.122794446143448
2.105,-0.127308841455895
2.11,-0.13205784880103
2.115,-0.137057474236068
2.12,-0.142325100663918
2.125,-0.147879630514554
2.13,-0.15374164577756
2.135,-0.159933587812376
2.14,-0.166479959747041
2.145,-0.173407554728277
2.15,-0.180745713819353
2.155,-0.188526617972925
2.16,-0.196785619254164
2.165,-0.205561617378605
2.17,-0.214897488688801
2.175,-0.224840575960295
2.18,-0.235443248944781
2.185,-0.246763547381855
2.19,-0.258865920408337
2.195,-0.271822078950027
2.2,-0.285711980900799
2.205,-0.300624972809076
2.21,-0.316661116567259
2.215,-0.333932735442999
2.22,-0.352566220963553
2.225,-0.372704150996726
2.23,-0.394507780283497
2.235,-0.418159978201648
2.24,-0.443868705356513
2.245,-0.471871141573584
2.25,-0.502438604120542
2.255,-0.535882427941099
2.26,-0.572561021172609
2.265,-0.612888361599351
2.27,-0.657344265989584
2.275,-0.706486848358874
2.28,-0.760967690060378
2.285,-0.821550380546463
2.29,-0.889133260660585
2.295,-0.964777420370713
2.3,-1.04974128216416
2.305,-1.14552345443639
2.31,-1.2539159826479
2.315,-1.37707067697143
2.32,-1.51758186821523
2.325,-1.6785897439835
2.33,-1.86390932517048
2.335,-2.07819108591445
2.34,-2.32712000931163
2.345,-2.61766006918741
2.35,-2.95834974868973
2.355,-3.35964899525387
2.36,-3.83432363055889
2.365,-4.39781645231984
2.37,-5.0684607544181
2.375,-5.86714928169169
2.38,-6.81542558476683
2.385,-7.92923053462757
2.39,-9.20110949095203
2.395,-10.5549644050579
2.4,-11.7588159941445
2.405,-12.3825025588907
2.41,-12.091512417981
2.415,-11.0676456190777
2.42,-9.76304776403823
2.425,-8.48077866210233
2.43,-7.33760841069845
2.435,-6.35688619474294
2.44,-5.52775822760076
2.445,-4.8298585803122
2.45,-4.24221447455987
2.455,-3.74608817314167
2.46,-3.32561195664935
2.465,-2.96765770092743
2.47,-2.661475744797
2.475,-2.39829959073922
2.48,-2.17098483587164
2.485,-1.97370152833293
2.49,-1.80168049203384
2.495,-1.65100764712408
2.5,-1.51845870919771
2.505,-1.40136691055262
2.51,-1.29751731118693
2.515,-1.20506233612708
2.52,-1.12245418057702
2.525,-1.04839059308668
2.53,-0.981771266525605
2.535,-0.921662648448345
2.54,-0.867269446077401
2.545,-0.817911467391708
2.55,-0.773004727673912
2.555,-0.732045976514175
2.56,-0.694599976969068
2.565,-0.66028900697909
2.57,-0.628784161679181
2.575,-0.599798120491921
2.58,-0.573079110015841
2.585,-0.548405846706029
2.59,-0.525583285289259
2.595,-0.504439032163108
2.6,-0.484820309561577
2.605,-0.46659137747555
2.61,-0.449631337321681
2.615,-0.433832255035481
2.62,-0.419097552310408
2.625,-0.40534062365234
2.63,-0.392483644190681
2.635,-0.380456539117061
2.64,-0.369196090473248
2.645,-0.358645160991056
2.65,-0.348752017964198
2.655,-0.339469742838761
2.66,-0.330755714450612
2.665,-0.322571155700634
2.67,-0.314880735010263
2.675,-0.307652215196453
2.68,-0.300856143491424
2.685,-0.294465577345196
2.69,-0.288455841417677
2.695,-0.282804311816293
2.7,-0.277490224184828
2.705,-0.272494502715703
2.71,-0.2677996075548
2.715,-0.263389398406524
2.72,-0.259249012436022
2.725,-0.255364754813428
2.73,-0.25172400045779
2.735,-0.248315105721407
2.74,-0.245127328913232
2.745,-0.242150758696387
2.75,-0.239376249512885
2.755,-0.236795363291221
2.76,-0.234400316781401
2.765,-0.232183933939648
2.77,-0.230139602852645
2.775,-0.228261236750311
2.78,-0.226543238707991
2.785,-0.224980469684377
2.79,-0.223568219581407
2.795,-0.222302181047734
2.8,-0.221178425778347
2.805,-0.220193383090432
2.81,-0.219343820579979
2.815,-0.218626826685236
2.82,-0.218039795002411
2.825,-0.217580410216144
2.83,-0.217246635522798
2.835,-0.217036701438162
2.84,-0.21694909589386
2.845,-0.216982555537649
2.85,-0.21713605816319
2.855,-0.217408816203861
2.86,-0.217800271233743
2.865,-0.218310089426502
2.87,-0.218938157930028
2.875,-0.219684582121257
2.88,-0.220549683711663
2.885,-0.221533999679719
2.89,-0.222638282011897
2.895,-0.223863498239082
2.9,-0.225210832759968
2.905,-0.22668168894793
2.91,-0.228277692042343
2.915,-0.230000692829859
2.92,-0.231852772125593
2.925,-0.233836246068613
2.93,-0.2359536722505
2.935,-0.238207856700298
2.94,-0.240601861753613
2.945,-0.243139014838395
2.95,-0.245822918214567
2.955,-0.248657459709661
2.96,-0.251646824497766
2.965,-0.254795507974298
2.97,-0.258108329784758
2.975,-0.261590449071305
2.98,-0.265247381007239
2.985,-0.269085014695624
2.99,-0.273109632515134
2.995,-0.277327931003108
3,-0.281747043373146
