"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0284470257547447
2.005,-0.0287552974485417
2.01,-0.0290666869733171
2.015,-0.0293812180007101
2.02,-0.0296989150233156
2.025,-0.0300198033655214
2.03,-0.0303439091946179
2.035,-0.0306712595322276
2.04,-0.0310018822659988
2.045,-0.0313358061616078
2.05,-0.0316730608750683
2.055,-0.0320136769653605
2.06,-0.0323576859073407
2.065,-0.0327051201050245
2.07,-0.0330560129051583
2.075,-0.0334103986111433
2.08,-0.0337683124973105
2.085,-0.03412979082352
2.09,-0.0344948708501551
2.095,-0.0348635908534426
2.1,-0.0352359901411778
2.105,-0.0356121090688089
2.11,-0.035991989055925
2.115,-0.0363756726031307
2.12,-0.036763203309341
2.125,-0.0371546258894765
2.13,-0.0375499861925983
2.135,-0.0379493312204716
2.14,-0.0383527091465703
2.145,-0.0387601693355537
2.15,-0.0391717623631774
2.155,-0.0395875400367289
2.16,-0.0400075554159051
2.165,-0.0404318628342113
2.17,-0.0408605179208898
2.175,-0.0412935776233311
2.18,-0.0417311002300608
2.185,-0.0421731453942652
2.19,-0.0426197741578746
2.195,-0.0430710489762318
2.2,-0.0435270337433592
2.205,-0.0439877938178177
2.21,-0.0444533960492114
2.215,-0.044923908805319
2.22,-0.0453994019998769
2.225,-0.0458799471210574
2.23,-0.0463656172606089
2.235,-0.0468564871437313
2.24,-0.0473526331596626
2.245,-0.0478541333930267
2.25,-0.0483610676559337
2.255,-0.0488735175208859
2.26,-0.049391566354478
2.265,-0.0499152993519392
2.27,-0.0504448035725228
2.275,-0.0509801679757872
2.28,-0.0515214834587654
2.285,-0.0520688428940613
2.29,-0.0526223411689219
2.295,-0.0531820752252606
2.3,-0.0537481441007159
2.305,-0.0543206489707356
2.31,-0.0548996931917229
2.315,-0.0554853823452888
2.32,-0.0560778242836459
2.325,-0.0566771291761348
2.33,-0.0572834095569919
2.335,-0.0578967803742968
2.34,-0.0585173590402445
2.345,-0.0591452654826865
2.35,-0.0597806221980262
2.355,-0.0604235543055263
2.36,-0.0610741896030099
2.365,-0.0617326586240547
2.37,-0.0623990946967171
2.375,-0.0630736340037871
2.38,-0.0637564156446985
2.385,-0.064447581699067
2.39,-0.0651472772919699
2.395,-0.065855650660989
2.4,-0.0665728532250709
2.405,-0.0672990396552863
2.41,-0.0680343679475356
2.415,-0.0687789994972315
2.42,-0.0695330991761109
2.425,-0.0702968354111193
2.43,-0.0710703802655751
2.435,-0.0718539095225548
2.44,-0.0726476027706776
2.445,-0.0734516434923084
2.45,-0.0742662191542795
2.455,-0.0750915213012255
2.46,-0.075927745651594
2.465,-0.0767750921964457
2.47,-0.0776337653011249
2.475,-0.0785039738099072
2.48,-0.0793859311537293
2.485,-0.0802798554610955
2.49,-0.0811859696722641
2.495,-0.0821045016568739
2.5,-0.0830356843350719
2.505,-0.0839797558022974
2.51,-0.0849369594578651
2.515,-0.0859075441374369
2.52,-0.0868917642495793
2.525,-0.0878898799164946
2.53,-0.0889021571191334
2.535,-0.0899288678467951
2.54,-0.0909702902514289
2.545,-0.0920267088067622
2.55,-0.0930984144724622
2.555,-0.0941857048635198
2.56,-0.0952888844250309
2.565,-0.0964082646125796
2.57,-0.0975441640784598
2.575,-0.0986969088639095
2.58,-0.099866832597639
2.585,-0.101054276700842
2.59,-0.102259590598961
2.595,-0.103483131940483
2.6,-0.104725266822996
2.605,-0.105986370026826
2.61,-0.10726682525651
2.615,-0.108567025390463
2.62,-0.109887372739102
2.625,-0.111228279311799
2.63,-0.112590167092994
2.635,-0.113973468327849
2.64,-0.11537862581779
2.645,-0.116806093226371
2.65,-0.118256335395834
2.655,-0.11972982867484
2.66,-0.121227061257767
2.665,-0.122748533536107
2.67,-0.124294758462392
2.675,-0.1258662619272
2.68,-0.127463583149756
2.685,-0.129087275082712
2.69,-0.130737904831636
2.695,-0.132416054089882
2.7,-0.134122319589418
2.705,-0.13585731356832
2.71,-0.137621664255579
2.715,-0.139416016373994
2.72,-0.141241031661849
2.725,-0.143097389414178
2.73,-0.144985787044496
2.735,-0.146906940667713
2.74,-0.148861585705286
2.745,-0.150850477513404
2.75,-0.152874392035249
2.755,-0.154934126478313
2.76,-0.157030500017831
2.765,-0.159164354527423
2.77,-0.161336555338073
2.775,-0.163547992026647
2.78,-0.165799579235172
2.785,-0.168092257522156
2.79,-0.170426994247286
2.795,-0.172804784490885
2.8,-0.175226652009549
2.805,-0.177693650229459
2.81,-0.18020686327893
2.815,-0.182767407061724
2.82,-0.18537643037284
2.825,-0.188035116058441
2.83,-0.190744682221682
2.835,-0.19350638347622
2.84,-0.196321512249296
2.845,-0.199191400136221
2.85,-0.202117419308287
2.855,-0.205100983976007
2.86,-0.208143551909759
2.865,-0.21124662601984
2.87,-0.21441175599801
2.875,-0.217640540022617
2.88,-0.220934626529365
2.885,-0.224295716049808
2.89,-0.227725563119626
2.895,-0.231225978258686
2.9,-0.234798830024824
2.905,-0.238446047143231
2.91,-0.24216962071319
2.915,-0.24597160649376
2.92,-0.249854127269882
2.925,-0.253819375300079
2.93,-0.257869614846736
2.935,-0.262007184789584
2.94,-0.266234501322629
2.945,-0.27055406073436
2.95,-0.274968442270509
2.955,-0.279480311077966
2.96,-0.284092421227844
2.965,-0.288807618814735
2.97,-0.293628845128281
2.975,-0.298559139892045
2.98,-0.303601644563332
2.985,-0.308759605686206
2.99,-0.31403637828808
2.995,-0.319435429308516
3,-0.324960341046403
