"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0243601352652643
2.005,-0.0246906813835871
2.01,-0.025028345744759
2.015,-0.0253732962474647
2.02,-0.0257257066040618
2.025,-0.0260857565800605
2.03,-0.026453632244797
2.035,-0.0268295262339414
2.04,-0.0272136380245269
2.045,-0.0276061742231195
2.05,-0.028007348867921
2.055,-0.0284173837455593
2.06,-0.0288365087233941
2.065,-0.0292649620982113
2.07,-0.0297029909622684
2.075,-0.0301508515876535
2.08,-0.0306088098300524
2.085,-0.0310771415530051
2.09,-0.0315561330739195
2.095,-0.0320460816330774
2.1,-0.0325472958869951
2.105,-0.033060096427666
2.11,-0.0335848163291335
2.115,-0.0341218017231715
2.12,-0.0346714124057935
2.125,-0.0352340224764588
2.13,-0.0358100210121003
2.135,-0.0363998127780669
2.14,-0.0370038189783432
2.145,-0.0376224780475491
2.15,-0.0382562464873735
2.155,-0.0389055997503161
2.16,-0.0395710331738164
2.165,-0.0402530629680783
2.17,-0.0409522272611057
2.175,-0.0416690872047854
2.18,-0.0424042281461118
2.185,-0.0431582608679511
2.19,-0.043931822904079
2.195,-0.0447255799336175
2.2,-0.0455402272603703
2.205,-0.0463764913829777
2.21,-0.0472351316623141
2.215,-0.0481169420930349
2.22,-0.0490227531867451
2.225,-0.0499534339748475
2.23,-0.050909894139839
2.235,-0.0518930862844789
2.24,-0.0529040083491034
2.245,-0.0539437061881438
2.25,-0.0550132763179488
2.255,-0.0561138688489372
2.26,-0.0572466906163129
2.265,-0.0584130085247532
2.27,-0.059614153123905
2.275,-0.0608515224329405
2.28,-0.0621265860340985
2.285,-0.063440889456987
2.29,-0.0647960588772934
2.295,-0.0661938061558395
2.3,-0.0676359342463222
2.305,-0.0691243430026453
2.31,-0.0706610354198433
2.315,-0.0722481243457339
2.32,-0.0738878397041018
2.325,-0.075582536274221
2.33,-0.0773347020758847
2.335,-0.0791469674142042
2.34,-0.0810221146436899
2.345,-0.0829630887174468
2.35,-0.0849730085940116
2.355,-0.08705517958188
2.36,-0.0892131067104482
2.365,-0.0914505092253364
2.37,-0.0937713363168225
2.375,-0.0961797842019926
2.38,-0.0986803146944577
2.385,-0.101277675410645
2.39,-0.103976921778423
2.395,-0.106783441032914
2.4,-0.109702978405778
2.405,-0.112741665738523
2.41,-0.115906052777819
2.415,-0.119203141441926
2.42,-0.122640423382576
2.425,-0.126225921206799
2.43,-0.12996823376887
2.435,-0.133876585994492
2.44,-0.137960883758957
2.445,-0.142231774408852
2.45,-0.146700713594908
2.455,-0.151380039173041
2.46,-0.156283053033387
2.465,-0.161424111835757
2.47,-0.166818727766548
2.475,-0.172483680590411
2.48,-0.178437142453158
2.485,-0.184698817105008
2.49,-0.191290095460966
2.495,-0.198234229703428
2.5,-0.205556528469279
2.505,-0.213284576058453
2.51,-0.22144847906415
2.515,-0.230081144369715
2.52,-0.239218593099876
2.525,-0.248900315873283
2.53,-0.259169675603494
2.535,-0.270074365164585
2.54,-0.281666928511317
2.545,-0.294005355364885
2.55,-0.307153761397374
2.555,-0.321183168036347
2.56,-0.336172398647136
2.565,-0.352209111035475
2.57,-0.369390990072709
2.575,-0.387827128938207
2.58,-0.407639633195806
2.585,-0.428965488922684
2.59,-0.451958744704186
2.595,-0.476793067895846
2.6,-0.503664748641354
2.605,-0.532796241370728
2.61,-0.56444035371624
2.615,-0.598885218043835
2.62,-0.636460212483197
2.625,-0.677543038240024
2.63,-0.722568210417182
2.635,-0.772037283603143
2.64,-0.826531215107378
2.645,-0.886725373217794
2.65,-0.953407832246399
2.655,-1.02750176980846
2.66,-1.11009300741752
2.665,-1.2024640303386
2.67,-1.30613621055722
2.675,-1.42292247113281
2.68,-1.55499331902076
2.685,-1.70496010711547
2.69,-1.87598067171546
2.695,-2.07189429725106
2.7,-2.29739556231478
2.705,-2.55826049330178
2.71,-2.86164444125944
2.715,-3.21648078292828
2.72,-3.63402599160725
2.725,-4.12862600733127
2.73,-4.71883415722406
2.735,-5.42912082680458
2.74,-6.29264691184957
2.745,-7.35609718253922
2.75,-8.6888643113903
2.755,-10.4024764418121
2.76,-12.6980075352762
2.765,-16.009240260032
2.77,-21.6334182903189
2.775,-37.4691751169016
2.78,-22.8209163744035
2.785,-16.7100848184632
2.79,-13.2736869215872
2.795,-10.9466383254614
2.8,-9.23900851540049
2.805,-7.93040548133456
2.81,-6.9000190988923
2.815,-6.07205845170689
2.82,-5.39386660333305
2.825,-4.82629290849738
2.83,-4.33982414885773
2.835,-3.91343777779426
2.84,-3.53388058844113
2.845,-3.19396386891485
2.85,-2.89002500280959
2.855,-2.61965113215505
2.86,-2.38040024074367
2.865,-2.16944837030695
2.87,-1.98371908181034
2.875,-1.82012896908903
2.88,-1.67578045153791
2.885,-1.54806650198433
2.89,-1.43470540899481
2.895,-1.33373304815822
2.9,-1.24347415436487
2.905,-1.16250599311726
2.91,-1.08962166909919
2.915,-1.02379646140813
2.92,-0.964158427956245
2.925,-0.909963430547527
2.93,-0.860574237269666
2.935,-0.815443177991519
2.94,-0.774097802138786
2.945,-0.736129029856916
2.95,-0.701181354421285
2.955,-0.668944724267332
2.96,-0.639147798064722
2.965,-0.61155232255879
2.97,-0.585948429976638
2.975,-0.56215069039243
2.98,-0.539994785740134
2.985,-0.519334697381298
2.99,-0.500040319401877
2.995,-0.481995426088403
3,-0.465095935114765
