"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0178289697203069
2.005,-0.0179875599787946
2.01,-0.0181486938696074
2.015,-0.0183124176501712
2.02,-0.0184787789186168
2.025,-0.018647826657621
2.03,-0.0188196112799454
2.035,-0.0189941846758176
2.04,-0.019171600262219
2.045,-0.0193519130341484
2.05,-0.0195351796179767
2.055,-0.0197214583269801
2.06,-0.0199108092191319
2.065,-0.0201032941573017
2.07,-0.0202989768719338
2.075,-0.020497923026338
2.08,-0.020700200284722
2.085,-0.0209058783830908
2.09,-0.0211150292031357
2.095,-0.0213277268492918
2.1,-0.0215440477290726
2.105,-0.0217640706368914
2.11,-0.0219878768414989
2.115,-0.0222155501772243
2.12,-0.022447177139246
2.125,-0.0226828469830268
2.13,-0.0229226518281967
2.135,-0.0231666867670285
2.14,-0.0234150499778345
2.145,-0.02366784284344
2.15,-0.0239251700750749
2.155,-0.0241871398418961
2.16,-0.02445386390651
2.165,-0.0247254577667426
2.17,-0.0250020408040149
2.175,-0.0252837364386912
2.18,-0.0255706722927503
2.185,-0.0258629803601807
2.19,-0.0261607971855303
2.195,-0.0264642640510334
2.2,-0.0267735271728318
2.205,-0.0270887379067204
2.21,-0.0274100529640367
2.215,-0.0277376346381884
2.22,-0.0280716510424774
2.225,-0.0284122763598172
2.23,-0.0287596911050645
2.235,-0.0291140824006634
2.24,-0.0294756442664044
2.245,-0.0298445779241062
2.25,-0.0302210921180942
2.255,-0.0306054034524478
2.26,-0.0309977367459779
2.265,-0.031398325406043
2.27,-0.0318074118223118
2.275,-0.0322252477817334
2.28,-0.0326520949059836
2.285,-0.0330882251128058
2.29,-0.0335339211027399
2.295,-0.0339894768728449
2.3,-0.0344551982591099
2.305,-0.0349314035094101
2.31,-0.0354184238890007
2.315,-0.0359166043205972
2.32,-0.0364263040613989
2.325,-0.0369478974194153
2.33,-0.0374817745117954
2.335,-0.0380283420678974
2.34,-0.038588024280212
2.345,-0.0391612637063389
2.35,-0.0397485222255966
2.355,-0.0403502820539804
2.36,-0.0409670468216631
2.365,-0.0415993427173428
2.37,-0.0422477197042903
2.375,-0.0429127528131998
2.38,-0.0435950435174345
2.385,-0.0442952211966833
2.39,-0.0450139446955602
2.395,-0.0457519039842204
2.4,-0.046509821928663
2.405,-0.0472884561790074
2.41,-0.0480886011848192
2.415,-0.0489110903472918
2.42,-0.0497567983189224
2.425,-0.0506266434623299
2.43,-0.0515215904808815
2.435,-0.0524426532348493
2.44,-0.053390897758225
2.445,-0.0543674454925361
2.45,-0.0553734767556653
2.455,-0.0564102344652725
2.46,-0.0574790281382714
2.465,-0.0585812381899492
2.47,-0.0597183205584933
2.475,-0.060891811683235
2.48,-0.0621033338677435
2.485,-0.0633546010619721
2.49,-0.0646474251011097
2.495,-0.0659837224425999
2.5,-0.0673655214471253
2.505,-0.0687949702540466
2.51,-0.0702743453071241
2.515,-0.0718060605923365
2.52,-0.0733926776561655
2.525,-0.0750369164802783
2.53,-0.0767416672968447
2.535,-0.0785100034380916
2.54,-0.0803451953243429
2.545,-0.0822507257066411
2.55,-0.0842303062934798
2.555,-0.0862878959063671
2.56,-0.088427720326086
2.565,-0.0906542940109476
2.57,-0.0929724438904
2.575,-0.0953873354623864
2.58,-0.0979045014514442
2.585,-0.100529873316921
2.59,-0.103269815937943
2.595,-0.106131165844131
2.6,-0.109121273409791
2.605,-0.112248049485066
2.61,-0.115520017001829
2.615,-0.118946368166038
2.62,-0.12253702793366
2.625,-0.126302724566069
2.63,-0.130255068175205
2.635,-0.134406638301829
2.64,-0.138771081724707
2.645,-0.14336322187915
2.65,-0.148199181474076
2.655,-0.153296520143951
2.66,-0.158674389262055
2.665,-0.164353706383226
2.67,-0.17035735218732
2.675,-0.17671039327184
2.68,-0.183440334708051
2.685,-0.190577406948424
2.69,-0.198154892476372
2.695,-0.206209498550551
2.7,-0.214781783549082
2.705,-0.223916645807393
2.71,-0.233663885519456
2.715,-0.244078852302592
2.72,-0.255223193493837
2.725,-0.267165721255431
2.73,-0.2799834202506
2.735,-0.293762622175266
2.74,-0.308600379010138
2.745,-0.324606073762416
2.75,-0.341903316046496
2.755,-0.360632180558697
2.76,-0.380951859914373
2.765,-0.403043820194831
2.77,-0.427115568884849
2.775,-0.4534051719685
2.78,-0.482186691502116
2.785,-0.513776759266761
2.79,-0.548542559136592
2.795,-0.586911564621373
2.8,-0.629383474080129
2.805,-0.676544911692667
2.81,-0.729087627380772
2.815,-0.78783114709803
2.82,-0.853751114946143
2.825,-0.928014956256281
2.83,-1.01202701204532
2.835,-1.10748600056196
2.84,-1.21645862249213
2.845,-1.34147444554234
2.85,-1.48564903185317
2.855,-1.65284483329027
2.86,-1.84788302410632
2.865,-2.07682473204487
2.87,-2.34734802890989
2.875,-2.66925928613329
2.88,-3.05519741896135
2.885,-3.52162388413419
2.89,-4.09025442986324
2.895,-4.79021242366688
2.9,-5.66144157862756
2.905,-6.76048276969018
2.91,-8.17101627078574
2.915,-10.0245212451455
2.92,-12.5413321403094
2.925,-16.0763891748644
2.93,-20.4057267405696
2.935,-19.8526484410293
2.94,-15.5171628267265
2.945,-12.1908787992318
2.95,-9.82003820626944
2.955,-8.06693789627076
2.96,-6.7281455341655
2.965,-5.68156074994693
2.97,-4.84902148716576
2.975,-4.17757240702186
2.98,-3.62978613072746
2.985,-3.17839043343223
2.99,-2.80306520068664
2.995,-2.48841286435751
3,-2.22260877514894
