"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0164725283948999
2.005,-0.0166017085000946
2.01,-0.0167304296130665
2.015,-0.0168587579819075
2.02,-0.0169867592028117
2.025,-0.0171144982273194
2.03,-0.0172420393695304
2.035,-0.0173694463132808
2.04,-0.0174967821193008
2.045,-0.0176241092323337
2.05,-0.0177514894882592
2.055,-0.0178789841211935
2.06,-0.0180066537705899
2.065,-0.0181345584883409
2.07,-0.0182627577458676
2.075,-0.018391310441252
2.08,-0.0185202749063645
2.085,-0.0186497089140145
2.09,-0.018779669685136
2.095,-0.0189102138960148
2.1,-0.0190413976855427
2.105,-0.019173276662523
2.11,-0.0193059059130431
2.115,-0.0194393400078863
2.12,-0.0195736330100319
2.125,-0.0197088384822069
2.13,-0.019845009494554
2.135,-0.019982198632339
2.14,-0.0201204580038041
2.145,-0.0202598392480865
2.15,-0.020400393543274
2.155,-0.0205421716145669
2.16,-0.0206852237425678
2.165,-0.0208295997717112
2.17,-0.0209753491188427
2.175,-0.0211225207819283
2.18,-0.0212711633489676
2.185,-0.0214213250070347
2.19,-0.0215730535515326
2.195,-0.0217263963956184
2.2,-0.0218814005798505
2.205,-0.0220381127820323
2.21,-0.0221965793272741
2.215,-0.022356846198318
2.22,-0.0225189590460774
2.225,-0.0226829632004474
2.23,-0.0228489036813998
2.235,-0.0230168252103225
2.24,-0.0231867722217032
2.245,-0.0233587888750797
2.25,-0.0235329190673456
2.255,-0.0237092064453758
2.26,-0.0238876944190039
2.265,-0.0240684261743853
2.27,-0.0242514446877268
2.275,-0.0244367927394161
2.28,-0.0246245129285913
2.285,-0.0248146476881127
2.29,-0.0250072393000219
2.295,-0.0252023299114447
2.3,-0.0253999615509958
2.305,-0.0256001761457175
2.31,-0.0258030155385055
2.315,-0.0260085215061312
2.32,-0.026216735777827
2.325,-0.0264277000544598
2.33,-0.0266414560283497
2.335,-0.0268580454037253
2.34,-0.0270775099178599
2.345,-0.0272998913629021
2.35,-0.0275252316084477
2.355,-0.0277535726248724
2.36,-0.0279849565074288
2.365,-0.0282194255012064
2.37,-0.0284570220268988
2.375,-0.0286977887074935
2.38,-0.0289417683958593
2.385,-0.029189004203303
2.39,-0.029439539529122
2.395,-0.0296934180911674
2.4,-0.0299506839575239
2.405,-0.0302113815792713
2.41,-0.0304755558244013
2.415,-0.0307432520129833
2.42,-0.0310145159535218
2.425,-0.0312893939806789
2.43,-0.0315679329942817
2.435,-0.0318501804998023
2.44,-0.0321361846502425
2.445,-0.0324259942895767
2.45,-0.0327196589977349
2.455,-0.0330172291372666
2.46,-0.0333187559016697
2.465,-0.0336242913655086
2.47,-0.0339338885363857
2.475,-0.0342476014087875
2.48,-0.0345654850199582
2.485,-0.0348875955078289
2.49,-0.0352139901710786
2.495,-0.0355447275314498
2.5,-0.0358798673983924
2.505,-0.0362194709360979
2.51,-0.036563600733073
2.515,-0.036912320874312
2.52,-0.0372656970161913
2.525,-0.0376237964641903
2.53,-0.0379866882535561
2.535,-0.0383544432330171
2.54,-0.0387271341517072
2.545,-0.0391048357493597
2.55,-0.0394876248499895
2.555,-0.0398755804591405
2.56,-0.0402687838648578
2.565,-0.0406673187425797
2.57,-0.0410712712640422
2.575,-0.0414807302104073
2.58,-0.0418957870897753
2.585,-0.0423165362592782
2.59,-0.0427430750518951
2.595,-0.0431755039082591
2.6,-0.0436139265135966
2.605,-0.0440584499400552
2.61,-0.044509184794632
2.615,-0.0449662453729284
2.62,-0.0454297498189912
2.625,-0.0458998202915004
2.63,-0.0463765831365501
2.635,-0.0468601690673318
2.64,-0.0473507133509765
2.645,-0.0478483560029284
2.65,-0.0483532419890702
2.655,-0.0488655214360492
2.66,-0.0493853498500569
2.665,-0.0499128883445204
2.67,-0.0504483038769929
2.675,-0.0509917694957332
2.68,-0.0515434645963629
2.685,-0.0521035751890126
2.69,-0.0526722941764725
2.695,-0.0532498216438032
2.7,-0.0538363651599107
2.705,-0.0544321400916495
2.71,-0.0550373699309532
2.715,-0.0556522866356399
2.72,-0.0562771309844723
2.725,-0.0569121529471159
2.73,-0.0575576120696683
2.735,-0.0582137778764828
2.74,-0.0588809302890135
2.745,-0.0595593600624464
2.75,-0.0602493692409748
2.755,-0.0609512716325269
2.76,-0.0616653933038653
2.765,-0.0623920730970369
2.77,-0.0631316631680752
2.775,-0.0638845295491112
2.78,-0.0646510527348843
2.785,-0.0654316282948643
2.79,-0.0662266675121774
2.795,-0.0670365980505806
2.8,-0.067861864650874
2.805,-0.068702929858076
2.81,-0.0695602747809156
2.815,-0.0704343998851451
2.82,-0.0713258258223091
2.825,-0.0722350942957064
2.83,-0.073162768965344
2.835,-0.0741094363937665
2.84,-0.0750757070348057
2.845,-0.0760622162673042
2.85,-0.0770696254760884
2.855,-0.0780986231824864
2.86,-0.0791499262268875
2.865,-0.0802242810059146
2.87,-0.0813224647669629
2.875,-0.0824452869629881
2.88,-0.0835935906705665
2.885,-0.0847682540744828
2.89,-0.085970192022145
2.895,-0.0872003576515068
2.9,-0.0884597440961441
2.905,-0.089749386271549
2.91,-0.0910703627468013
2.915,-0.0924237977060272
2.92,-0.093810863004348
2.925,-0.0952327803232517
