"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0394518162836185
2.005,-0.0401919595318647
2.01,-0.0409562056553884
2.015,-0.0417452143225166
2.02,-0.0425596774955808
2.025,-0.0434003210950806
2.03,-0.0442679067668536
2.035,-0.0451632337595371
2.04,-0.0460871409200895
2.045,-0.0470405088159021
2.05,-0.048024261992667
2.055,-0.0490393713778211
2.06,-0.0500868568404124
2.065,-0.0511677899188982
2.07,-0.05228329672955
2.075,-0.0534345610690791
2.08,-0.0546228277263491
2.085,-0.0558494060192625
2.09,-0.057115673574369
2.095,-0.0584230803682438
2.1,-0.0597731530513933
2.105,-0.0611674995772981
2.11,-0.0626078141613011
2.115,-0.0640958825961709
2.12,-0.0656335879538709
2.125,-0.0672229167055762
2.13,-0.0688659652951656
2.135,-0.070564947204699
2.14,-0.072322200554103
2.145,-0.074140196281393
2.15,-0.0760215469542875
2.155,-0.0779690162691118
2.16,-0.0799855292985305
2.165,-0.0820741835557948
2.17,-0.0842382609501964
2.175,-0.0864812407161023
2.18,-0.0888068134065587
2.185,-0.091218896052112
2.19,-0.0937216485961646
2.195,-0.0963194917303556
2.2,-0.0990171262668594
2.205,-0.101819554199629
2.21,-0.104732101623745
2.215,-0.10776044370107
2.22,-0.110910631882032
2.225,-0.114189123617698
2.23,-0.117602814823797
2.235,-0.121159075389443
2.24,-0.124865788058551
2.245,-0.128731391051904
2.25,-0.132764924843289
2.255,-0.136976083554739
2.26,-0.14137527149489
2.265,-0.145973665431662
2.27,-0.15078328326739
2.275,-0.155817059872598
2.28,-0.161088930935584
2.285,-0.166613925801199
2.29,-0.172408270405813
2.295,-0.178489501569632
2.3,-0.184876594085888
2.305,-0.191590102252506
2.31,-0.198652317731365
2.315,-0.206087445898444
2.32,-0.21392180317212
2.325,-0.222184038185235
2.33,-0.230905380108925
2.335,-0.240119917954918
2.34,-0.249864915292449
2.345,-0.260181165533615
2.35,-0.27111339378819
2.355,-0.282710712291396
2.36,-0.295027137597242
2.365,-0.308122179144093
2.37,-0.322061510485189
2.375,-0.336917736492038
2.38,-0.352771272254593
2.385,-0.369711352305418
2.39,-0.387837192294883
2.395,-0.407259329474797
2.4,-0.428101173476431
2.405,-0.450500805105306
2.41,-0.474613068481205
2.415,-0.500612011158005
2.42,-0.52869373827989
2.425,-0.559079760894578
2.43,-0.592020935918982
2.435,-0.627802116789313
2.44,-0.666747660614501
2.445,-0.70922797108588
2.45,-0.755667298276168
2.455,-0.806553069115338
2.46,-0.862447088785283
2.465,-0.923999037483863
2.47,-0.991962794170654
2.475,-1.06721625590895
2.48,-1.15078549746669
2.485,-1.24387434337808
2.49,-1.34790072076161
2.495,-1.46454154965621
2.5,-1.59578844246386
2.505,-1.74401717508903
2.51,-1.9120748348863
2.515,-2.10338986258884
2.52,-2.32211207893897
2.525,-2.57329254606404
2.53,-2.86311732736043
2.535,-3.19921591073937
2.54,-3.59107618988035
2.545,-4.05061723069571
2.55,-4.59300619323922
2.555,-5.23787272453457
2.56,-6.01120827841436
2.565,-6.94852278764269
2.57,-8.10048183191426
2.575,-9.54387886283144
2.58,-11.4054300563841
2.585,-13.9214884742213
2.59,-17.6237656241489
2.595,-24.128160977533
2.6,-30.014785304809
2.605,-20.5910738067039
2.61,-15.7766198446471
2.615,-12.7597241792628
2.62,-10.6182149377579
2.625,-8.99736321596166
2.63,-7.72328218586992
2.635,-6.69683372713577
2.64,-5.85546892525733
2.645,-5.15681794650297
2.65,-4.57068036971425
2.655,-4.07471868329646
2.66,-3.65195516333081
2.665,-3.28922001643205
2.67,-2.9761363432059
2.675,-2.70442638392062
2.68,-2.46742021875739
2.685,-2.25969787014124
2.69,-2.07682269958605
2.695,-1.91513927487317
2.7,-1.77161794296083
2.705,-1.64373394220749
2.71,-1.5293724824665
2.715,-1.42675361157152
2.72,-1.3343723244587
2.725,-1.25095052275034
2.73,-1.17539825999007
2.735,-1.10678231280411
2.74,-1.04430056729437
2.745,-0.987261047235636
2.75,-0.935064666529929
2.755,-0.887190984167427
2.76,-0.843186390869171
2.765,-0.802654273680751
2.77,-0.76524679616022
2.775,-0.730658003485209
2.78,-0.698618018314099
2.785,-0.66888813798973
2.79,-0.641256679272154
2.795,-0.615535445219778
2.8,-0.591556711638882
2.805,-0.569170648875845
2.81,-0.548243109556557
2.815,-0.528653724903478
2.82,-0.510294262046795
2.825,-0.493067202736947
2.83,-0.476884510411925
2.835,-0.461666557953288
2.84,-0.447341192900814
2.845,-0.433842920564498
2.85,-0.421112188515937
2.855,-0.409094758472877
2.86,-0.39774115370317
2.865,-0.387006171841496
2.87,-0.376848454494973
2.875,-0.367230106260648
2.88,-0.358116356829719
2.885,-0.349475260742264
2.89,-0.341277430109961
2.895,-0.333495796264334
2.9,-0.326105396833318
2.905,-0.319083185214134
2.91,-0.312407859808487
2.915,-0.306059710727336
2.92,-0.300020481965532
2.925,-0.294273247299023
2.93,-0.288802298374942
2.935,-0.283593043653042
2.94,-0.278631917019919
2.945,-0.273906295038699
2.95,-0.269404421919926
2.955,-0.265115341406176
2.96,-0.261028834856426
2.965,-0.257135364897673
2.97,-0.253426024082751
2.975,-0.249892488055802
2.98,-0.246526972781906
2.985,-0.243322195445691
2.99,-0.240271338666267
2.995,-0.237368017713512
3,-0.234606250443796
