"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0229909299218755
2.005,-0.0232829514921042
2.01,-0.023578126047777
2.015,-0.0238765932388159
2.02,-0.0241784947044613
2.025,-0.0244839741637366
2.03,-0.0247931775093082
2.035,-0.0251062529048883
2.04,-0.0254233508864126
2.045,-0.0257446244670666
2.05,-0.0260702292464695
2.055,-0.0264003235241062
2.06,-0.0267350684173178
2.065,-0.0270746279839627
2.07,-0.0274191693500997
2.075,-0.0277688628428291
2.08,-0.0281238821286116
2.085,-0.0284844043573265
2.09,-0.0288506103123519
2.095,-0.0292226845669455
2.1,-0.0296008156472894
2.105,-0.0299851962024883
2.11,-0.0303760231819258
2.115,-0.0307734980202833
2.12,-0.031177826830697
2.125,-0.0315892206064007
2.13,-0.0320078954313433
2.135,-0.0324340727002219
2.14,-0.0328679793484321
2.145,-0.0333098480924555
2.15,-0.0337599176812325
2.155,-0.0342184331591247
2.16,-0.0346856461410515
2.165,-0.035161815100493
2.17,-0.0356472056710254
2.175,-0.0361420909621539
2.18,-0.0366467518901862
2.185,-0.0371614775250276
2.19,-0.0376865654537328
2.195,-0.0382223221617629
2.2,-0.0387690634329729
2.205,-0.0393271147693206
2.21,-0.039896811831489
2.215,-0.0404785009015643
2.22,-0.0410725393690563
2.225,-0.041679296241644
2.23,-0.0422991526820165
2.235,-0.0429325025724136
2.24,-0.0435797531084571
2.245,-0.0442413254240476
2.25,-0.0449176552491333
2.255,-0.0456091936024093
2.26,-0.046316407520995
2.265,-0.0470397808294091
2.27,-0.0477798149502192
2.275,-0.0485370297589693
2.28,-0.0493119644861576
2.285,-0.0501051786692177
2.29,-0.0509172531576647
2.295,-0.0517487911748205
2.3,-0.0526004194397386
2.305,-0.0534727893532588
2.31,-0.0543665782523373
2.315,-0.0552824907372031
2.32,-0.0562212600761093
2.325,-0.0571836496929431
2.33,-0.0581704547431956
2.335,-0.0591825037843493
2.34,-0.0602206605471467
2.345,-0.0612858258146701
2.35,-0.062378939416761
2.355,-0.0635009823478877
2.36,-0.0646529790171416
2.365,-0.0658359996398527
2.37,-0.0670511627809921
2.375,-0.0682996380613325
2.38,-0.0695826490383744
2.385,-0.0709014762748333
2.39,-0.072257460608772
2.395,-0.0736520066404296
2.4,-0.0750865864522402
2.405,-0.0765627435798593
2.41,-0.0780820972536044
2.415,-0.0796463469313115
2.42,-0.0812572771456296
2.425,-0.0829167626905963
2.43,-0.0846267741747836
2.435,-0.086389383970606
2.44,-0.088206772592157
2.445,-0.0900812355369349
2.45,-0.0920151906300765
2.455,-0.0940111859133608
2.46,-0.0960719081252828
2.465,-0.0982001918228836
2.47,-0.100399029201006
2.475,-0.102671580670015
2.48,-0.105021186259174
2.485,-0.107451377919413
2.49,-0.109965892806878
2.495,-0.112568687636774
2.5,-0.115263954206376
2.505,-0.118056136196344
2.51,-0.12094994737099
2.515,-0.123950391311003
2.52,-0.127062782826583
2.525,-0.13029277121501
2.53,-0.133646365544755
2.535,-0.137129962168667
2.54,-0.140750374691464
2.545,-0.144514866642662
2.55,-0.148431187134915
2.555,-0.152507609820628
2.56,-0.156752975496694
2.565,-0.161176738749079
2.57,-0.1657890190766
2.575,-0.170600656987148
2.58,-0.175623275620971
2.585,-0.180869348525592
2.59,-0.186352274286541
2.595,-0.192086458809241
2.6,-0.198087406151516
2.605,-0.204371818925715
2.61,-0.210957709426424
2.615,-0.217864522797591
2.62,-0.225113273734451
2.625,-0.232726698425422
2.63,-0.240729423681547
2.635,-0.249148155482036
2.64,-0.258011889490468
2.645,-0.267352146475402
2.65,-0.277203236011102
2.655,-0.287602552350042
2.66,-0.298590906962624
2.665,-0.310212902947753
2.67,-0.322517357349893
2.675,-0.335557778398492
2.68,-0.349392905842624
2.685,-0.364087323922959
2.69,-0.379712158146818
2.695,-0.396345868962996
2.7,-0.4140751577338
2.705,-0.432996003151375
2.71,-0.453214849538734
2.715,-0.474849972431488
2.72,-0.498033051599451
2.725,-0.52291098741866
2.73,-0.549648003467645
2.735,-0.578428086676515
2.74,-0.609457826651428
2.745,-0.642969728367452
2.75,-0.679226087818038
2.755,-0.718523539120954
2.76,-0.761198404884015
2.765,-0.807633010440229
2.77,-0.85826315828838
2.775,-0.913587003537076
2.78,-0.974175626686113
2.785,-1.04068566971947
2.79,-1.11387448918845
2.795,-1.19461839094914
2.8,-1.28393465244553
2.805,-1.383008219309
2.81,-1.49322419652822
2.815,-1.61620755872939
2.82,-1.75387190539959
2.825,-1.90847962399142
2.83,-2.08271655601031
2.835,-2.27978528180099
2.84,-2.50352260088618
2.845,-2.75854894188154
2.85,-3.05046073168646
2.855,-3.3860819765711
2.86,-3.77379990492388
2.865,-4.22402422850001
2.87,-4.7498357457748
2.875,-5.36793852693668
2.88,-6.10012407472692
2.885,-6.97564864597672
2.89,-8.03534672374327
2.895,-9.33930824545707
2.9,-10.982622275317
2.905,-13.1319741920565
2.91,-16.1276874678393
2.915,-20.8661094867359
2.92,-31.0755540367477
2.925,-26.0911374664473
2.93,-18.8473056015708
2.935,-14.9663659210482
2.94,-12.3718010563897
2.945,-10.4618288702595
2.95,-8.98067223228621
2.955,-7.79472788584705
2.96,-6.82458512835027
2.965,-6.01867948684335
2.97,-5.34133964004451
2.975,-4.76671821228435
2.98,-4.27543137634869
2.985,-3.85256302681483
2.99,-3.48640789728969
2.995,-3.16763998541319
3,-2.88873913697885
