"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.035703729559148
2.005,-0.0361736490370984
2.01,-0.0366519960226585
2.015,-0.0371388361999554
2.02,-0.0376342387230264
2.025,-0.0381382762930695
2.03,-0.0386510252385007
2.035,-0.0391725655979095
2.04,-0.0397029812059911
2.045,-0.0402423597825952
2.05,-0.0407907930249775
2.055,-0.0413483767033953
2.06,-0.0419152107601338
2.065,-0.0424913994121085
2.07,-0.0430770512571792
2.075,-0.0436722793843124
2.08,-0.0442772014877187
2.085,-0.0448919399851282
2.09,-0.0455166221403709
2.095,-0.046151380190402
2.1,-0.046796351476964
2.105,-0.0474516785830481
2.11,-0.0481175094743652
2.115,-0.0487939976459929
2.12,-0.0494813022744265
2.125,-0.0501795883752378
2.13,-0.0508890269665854
2.135,-0.0516097952387579
2.14,-0.0523420767300813
2.145,-0.053086061509359
2.15,-0.0538419463651849
2.155,-0.0546099350023764
2.16,-0.0553902382458189
2.165,-0.0561830742520688
2.17,-0.0569886687289973
2.175,-0.0578072551638453
2.18,-0.0586390750600407
2.185,-0.0594843781831545
2.19,-0.0603434228163811
2.195,-0.0612164760259803
2.2,-0.0621038139370943
2.205,-0.0630057220203848
2.21,-0.0639224953900336
2.215,-0.0648544391135269
2.22,-0.0658018685338194
2.225,-0.0667651096043918
2.23,-0.0677444992378215
2.235,-0.0687403856684696
2.24,-0.0697531288299287
2.245,-0.0707831007478996
2.25,-0.0718306859492851
2.255,-0.0728962818881561
2.26,-0.0739802993894729
2.265,-0.0750831631113644
2.27,-0.076205312026852
2.275,-0.0773471999259593
2.28,-0.0785092959392195
2.285,-0.0796920850835324
2.29,-0.0808960688316086
2.295,-0.082121765706032
2.3,-0.083369711899207
2.305,-0.0846404619205266
2.31,-0.0859345892720688
2.315,-0.0872526871542873
2.32,-0.0885953692032102
2.325,-0.0899632702608127
2.33,-0.0913570471801883
2.335,-0.0927773796673999
2.34,-0.0942249711618846
2.345,-0.0957005497574707
2.35,-0.0972048691661157
2.355,-0.0987387097266849
2.36,-0.100302879461161
2.365,-0.101898215180864
2.37,-0.103525583645371
2.375,-0.105185882777068
2.38,-0.106880042934353
2.385,-0.108609028246779
2.39,-0.110373838015576
2.395,-0.112175508183256
2.4,-0.114015112876185
2.405,-0.115893766024313
2.41,-0.117812623062476
2.415,-0.119772882718008
2.42,-0.121775788889674
2.425,-0.123822632623295
2.43,-0.125914754189781
2.435,-0.128053545271686
2.44,-0.130240451264736
2.445,-0.132476973701361
2.45,-0.134764672803575
2.455,-0.137105170173195
2.46,-0.139500151627837
2.465,-0.141951370191791
2.47,-0.144460649251469
2.475,-0.147029885885812
2.48,-0.149661054382804
2.485,-0.152356209954048
2.49,-0.155117492660135
2.495,-0.157947131560609
2.5,-0.160847449103215
2.505,-0.163820865768294
2.51,-0.166869904985279
2.515,-0.169997198339632
2.52,-0.173205491089849
2.525,-0.176497648015703
2.53,-0.179876659620551
2.535,-0.183345648712214
2.54,-0.186907877388934
2.545,-0.190566754458976
2.55,-0.194325843324685
2.555,-0.198188870364284
2.56,-0.202159733847417
2.565,-0.206242513423309
2.57,-0.210441480223666
2.575,-0.214761107625845
2.58,-0.219206082725702
2.585,-0.223781318573603
2.59,-0.228491967231682
2.595,-0.233343433715331
2.6,-0.238341390887393
2.605,-0.243491795379444
2.61,-0.248800904621096
2.615,-0.25427529506542
2.62,-0.259921881706403
2.625,-0.265747938993047
2.63,-0.271761123254214
2.635,-0.277969496758715
2.64,-0.284381553546728
2.645,-0.291006247181316
2.65,-0.297853020582762
2.655,-0.304931838123985
2.66,-0.312253220182337
2.665,-0.319828280362002
2.67,-0.327668765622129
2.675,-0.335787099569044
2.68,-0.344196429196582
2.685,-0.352910675387051
2.69,-0.36194458751718
2.695,-0.371313802548488
2.7,-0.381034909020871
2.705,-0.391125516411797
2.71,-0.401604330372352
2.715,-0.412491234405579
2.72,-0.42380737861357
2.725,-0.435575276207438
2.73,-0.447818908550592
2.735,-0.46056383959085
2.74,-0.473837340632533
2.745,-0.487668526507066
2.75,-0.502088504321241
2.755,-0.517130536098068
2.76,-0.532830216777999
2.765,-0.549225669220801
2.77,-0.566357758042865
2.775,-0.584270324344751
2.78,-0.603010443632457
2.785,-0.622628709517683
2.79,-0.643179546101784
2.795,-0.664721552310677
2.8,-0.687317881860014
2.805,-0.711036662998679
2.81,-0.73595146271272
2.815,-0.762141800680736
2.82,-0.789693718967224
2.825,-0.818700414235348
2.83,-0.849262940170965
2.835,-0.881490988853058
2.84,-0.915503761003625
2.845,-0.951430936427171
2.85,-0.989413757535572
2.855,-1.0296062406827
2.86,-1.07217653214586
2.865,-1.11730842803648
2.87,-1.16520308025854
2.875,-1.21608091393029
2.88,-1.27018378552705
2.885,-1.32777741549304
2.89,-1.3891541343344
2.895,-1.45463598740001
2.9,-1.52457825087473
2.905,-1.59937342019797
2.91,-1.67945574249061
2.915,-1.76530637702882
2.92,-1.8574592828722
2.925,-1.95650795112989
2.93,-2.06311312196818
2.935,-2.17801165458772
2.94,-2.3020267537665
2.945,-2.43607980158368
2.95,-2.58120410099794
2.955,-2.73856091385868
2.96,-2.90945827658446
2.965,-3.09537321216931
2.97,-3.29797814207005
2.975,-3.51917255769089
2.98,-3.76112137135132
2.985,-4.02630188060727
2.99,-4.31756202449356
2.995,-4.63819370639808
3,-4.99202659907357
