"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0143090416103711
2.005,-0.0143627494782999
2.01,-0.0144168595082122
2.015,-0.0144713768230016
2.02,-0.0145263065342938
2.025,-0.0145816537428828
2.03,-0.0146374235391427
2.035,-0.014693621003445
2.04,-0.0147502512065951
2.045,-0.0148073192102467
2.05,-0.0148648300673231
2.055,-0.0149227888224445
2.06,-0.0149812005123434
2.065,-0.0150400701663055
2.07,-0.0150994028065756
2.075,-0.0151592034487958
2.08,-0.0152194771024224
2.085,-0.0152802287711633
2.09,-0.0153414634533926
2.095,-0.0154031861425891
2.1,-0.0154654018277584
2.105,-0.015528115493867
2.11,-0.0155913321222731
2.115,-0.0156550566911515
2.12,-0.0157192941759409
2.125,-0.015784049549758
2.13,-0.0158493277838518
2.135,-0.0159151338480304
2.14,-0.015981472711096
2.145,-0.0160483493412891
2.15,-0.0161157687067336
2.155,-0.0161837357758632
2.16,-0.0162522555178764
2.165,-0.0163213329031791
2.17,-0.0163909729038329
2.175,-0.0164611804939954
2.18,-0.0165319606503758
2.185,-0.016603318352684
2.19,-0.0166752585840879
2.195,-0.0167477863316607
2.2,-0.016820906586843
2.205,-0.0168946243458969
2.21,-0.0169689446103796
2.215,-0.0170438723875831
2.22,-0.0171194126910174
2.225,-0.0171955705408739
2.23,-0.0172723509644916
2.235,-0.0173497589968254
2.24,-0.0174277996809267
2.245,-0.0175064780684145
2.25,-0.0175857992199587
2.255,-0.0176657682057479
2.26,-0.0177463901059945
2.265,-0.0178276700113976
2.27,-0.0179096130236448
2.275,-0.0179922242559034
2.28,-0.0180755088333053
2.285,-0.0181594718934543
2.29,-0.018244118586916
2.295,-0.0183294540777237
2.3,-0.0184154835438886
2.305,-0.0185022121778995
2.31,-0.018589645187233
2.315,-0.0186777877948853
2.32,-0.0187666452398619
2.325,-0.0188562227777216
2.33,-0.0189465256810905
2.335,-0.0190375592401836
2.34,-0.0191293287633513
2.345,-0.0192218395775951
2.35,-0.019315097029115
2.355,-0.0194091064838512
2.36,-0.0195038733280254
2.365,-0.0195994029686884
2.37,-0.0196957008342757
2.375,-0.0197927723751554
2.38,-0.0198906230641961
2.385,-0.0199892583973261
2.39,-0.0200886838940976
2.395,-0.0201889050982728
2.4,-0.0202899275783709
2.405,-0.0203917569282746
2.41,-0.0204943987678034
2.415,-0.0205978587432963
2.42,-0.0207021425282123
2.425,-0.0208072558237247
2.43,-0.0209132043593148
2.435,-0.0210199938933895
2.44,-0.0211276302138783
2.445,-0.0212361191388584
2.45,-0.0213454665171651
2.455,-0.0214556782290247
2.46,-0.0215667601866821
2.465,-0.0216787183350164
2.47,-0.0217915586522108
2.475,-0.0219052871503644
2.48,-0.022019909876166
2.485,-0.022135432911531
2.49,-0.0222518623742671
2.495,-0.0223692044187425
2.5,-0.0224874652365429
2.505,-0.0226066510571616
2.51,-0.0227267681486672
2.515,-0.0228478228183969
2.52,-0.0229698214136432
2.525,-0.0230927703223563
2.53,-0.0232166759738468
2.535,-0.0233415448394833
