"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-2.95271815638358
2.005,-3.83871059056975
2.01,-5.03139540358642
2.015,-6.52692980822453
2.02,-8.00506764393238
2.025,-8.56282139088212
2.03,-7.68434464185655
2.035,-6.18042918965476
2.04,-4.79459612296008
2.045,-3.71596680408001
2.05,-2.91545379981493
2.055,-2.32540866133175
2.06,-1.88684177491853
2.065,-1.55621710989223
2.07,-1.3029492338248
2.075,-1.10579893021038
2.08,-0.949962325429932
2.085,-0.825012146654179
2.09,-0.723504494194357
2.095,-0.640047748554785
2.1,-0.570679490719472
2.105,-0.512446193208077
2.11,-0.463116487479443
2.115,-0.420983052939766
2.12,-0.384723914572979
2.125,-0.353304044050569
2.13,-0.325904649107489
2.135,-0.301871727235815
2.14,-0.28067819084184
2.145,-0.261895669594947
2.15,-0.245173293732297
2.155,-0.230221569462192
2.16,-0.216800008088263
2.165,-0.204707550113576
2.17,-0.19377509032325
2.175,-0.183859596449416
2.18,-0.174839446914942
2.185,-0.16661070873145
2.19,-0.159084146020909
2.195,-0.152182800468448
2.2,-0.145840022580119
2.205,-0.139997860606685
2.21,-0.134605735009491
2.215,-0.129619342242124
2.22,-0.124999743734413
2.225,-0.120712605256917
2.23,-0.116727559018577
2.235,-0.113017666424123
2.24,-0.109558963774276
2.245,-0.106330076616103
2.25,-0.103311891157138
2.255,-0.100487273306897
2.26,-0.0978408276261714
2.265,-0.0953586898416998
2.27,-0.0930283476939734
2.275,-0.0908384857846487
2.28,-0.0887788508207682
2.285,-0.0868401342495058
2.29,-0.0850138697661192
2.295,-0.0832923435800565
2.3,-0.0816685156563569
2.305,-0.0801359504247288
2.31,-0.0786887556776343
2.315,-0.0773215285696285
2.32,-0.0760293077900703
2.325,-0.0748075311154198
2.33,-0.0736519976603805
2.335,-0.0725588342425005
2.34,-0.0715244653556418
2.345,-0.0705455863162824
2.35,-0.0696191392050623
2.355,-0.0687422912757556
2.36,-0.0679124155465157
2.365,-0.0671270733247939
2.37,-0.0663839984487659
2.375,-0.065681083055155
2.38,-0.0650163647067437
2.385,-0.0643880147330688
2.39,-0.0637943276553509
2.395,-0.0632337115818906
2.4,-0.0627046794735456
2.405,-0.0622058411902912
2.41,-0.0617358962401305
2.415,-0.0612936271603697
2.42,-0.0608778934690813
2.425,-0.0604876261313167
2.43,-0.0601218224907212
2.435,-0.0597795416224054
2.44,-0.0594599000676161
2.445,-0.059162067914856
2.45,-0.0588852651958003
2.455,-0.0586287585674801
2.46,-0.0583918582552297
2.465,-0.0581739152332809
2.47,-0.0579743186222809
2.475,-0.057792493285024
2.48,-0.0576278976033851
2.485,-0.0574800214212414
2.49,-0.0573483841394404
2.495,-0.0572325329502869
2.5,-0.0571320412001399
2.505,-0.0570465068697469
2.51,-0.0569755511628957
2.515,-0.0569188171948437
2.52,-0.0568759687726609
2.525,-0.0568466892603997
2.53,-0.0568306805225786
2.535,-0.0568276619400414
2.54,-0.0568373694927634
2.545,-0.0568595549046179
2.55,-0.0568939848455686
2.555,-0.056940440187108
2.56,-0.0569987153071131
2.565,-0.0570686174405801
2.57,-0.057149966073066
2.575,-0.0572425923737883
2.58,-0.0573463386657141
2.585,-0.0574610579300933
2.59,-0.0575866133430914
2.595,-0.0577228778424731
2.6,-0.0578697337222238
2.605,-0.0580270722534244
2.61,-0.0581947933296076
2.615,-0.0583728051350792
2.62,-0.0585610238347363
2.625,-0.0587593732841095
2.63,-0.0589677847583047
2.635,-0.0591861966987987
2.64,-0.0594145544769619
2.645,-0.0596528101733548
2.65,-0.0599009223718939
2.655,-0.0601588559680444
2.66,-0.0604265819902055
2.665,-0.0607040774336561
2.67,-0.0609913251062973
2.675,-0.0612883134856096
2.68,-0.0615950365862379
2.685,-0.0619114938376478
2.69,-0.0622376899713663
2.695,-0.0625736349173387
2.7,-0.0629193437089422
2.705,-0.063274836396295
2.71,-0.0636401379674601
2.715,-0.0640152782771798
2.72,-0.0644002919828641
2.725,-0.0647952184874876
2.73,-0.0652001018891474
2.735,-0.0656149909370076
2.74,-0.0660399389933869
2.745,-0.0664750040017955
2.75,-0.0669202484606961
2.755,-0.0673757394027915
2.76,-0.067841548379678
2.765,-0.0683177514517267
2.77,-0.0688044291829979
2.775,-0.0693016666410809
2.78,-0.0698095534017577
2.785,-0.0703281835583296
2.79,-0.0708576557355423
2.795,-0.0713980731080015
2.8,-0.0719495434230248
2.805,-0.0725121790277936
2.81,-0.0730860969008207
2.815,-0.0736714186876118
2.82,-0.0742682707405018
2.825,-0.0748767841626425
2.83,-0.0754970948560456
2.835,-0.0761293435737327
2.84,-0.0767736759758964
2.845,-0.0774302426901269
2.85,-0.0780991993756374
2.855,-0.0787807067915281
2.86,-0.0794749308690509
2.865,-0.0801820427879508
2.87,-0.0809022190568033
2.875,-0.0816356415974655
2.88,-0.0823824978335938
2.885,-0.0831429807832966
2.89,-0.0839172891559397
2.895,-0.0847056274531639
2.9,-0.0855082060741312
2.905,-0.0863252414250732
2.91,-0.0871569560332002
2.915,-0.0880035786650003
2.92,-0.0888653444490251
2.925,-0.0897424950032255
2.93,-0.09063527856688
2.935,-0.0915439501372514
2.94,-0.0924687716110059
2.945,-0.0934100119305002
2.95,-0.0943679472350275
2.955,-0.0953428610171575
2.96,-0.0963350442841774
2.965,-0.0973447957248671
2.97,-0.0983724218816203
2.975,-0.0994182373280782
2.98,-0.100482564852399
2.985,-0.10156573564626
2.99,-0.102668089499774
2.995,-0.103789975002422
3,-0.104931749750139
