"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0246691497673281
2.005,-0.0248365957772554
2.01,-0.0250172069609253
2.015,-0.0252106956980338
2.02,-0.0254167774521758
2.025,-0.0256351708043628
2.03,-0.0258655974886761
2.035,-0.0261077824301007
2.04,-0.0263614537845798
2.045,-0.0266263429813806
2.05,-0.026902184767787
2.055,-0.0271887172561966
2.06,-0.027485681973664
2.065,-0.0277928239139675
2.07,-0.028109891592249
2.075,-0.0284366371022729
2.08,-0.0287728161764097
2.085,-0.0291181882483454
2.09,-0.0294725165186436
2.095,-0.029835568023185
2.1,-0.0302071137045698
2.105,-0.0305869284865389
2.11,-0.0309747913515084
2.115,-0.0313704854212381
2.12,-0.0317737980407872
2.125,-0.0321845208657237
2.13,-0.0326024499527588
2.135,-0.0330273858538229
2.14,-0.0334591337136649
2.145,-0.0338975033710806
2.15,-0.0343423094637924
2.155,-0.0347933715371214
2.16,-0.0352505141564586
2.165,-0.0357135670236735
2.17,-0.0361823650974872
2.175,-0.0366567487179131
2.18,-0.0371365637348463
2.185,-0.0376216616408294
2.19,-0.0381118997081274
2.195,-0.0386071411301427
2.2,-0.0391072551672597
2.205,-0.0396121172971597
2.21,-0.0401216093697266
2.215,-0.040635619766525
2.22,-0.0411540435650077
2.225,-0.0416767827074079
2.23,-0.0422037461744522
2.235,-0.042734850163903
2.24,-0.0432700182739658
2.245,-0.0438091816916287
2.25,-0.0443522793859393
2.255,-0.0448992583062645
2.26,-0.0454500735855335
2.265,-0.0460046887484929
2.27,-0.0465630759249493
2.275,-0.0471252160680252
2.28,-0.0476910991773745
2.285,-0.0482607245273564
2.29,-0.0488341009000964
2.295,-0.049411246823428
2.3,-0.0499921908135664
2.305,-0.0505769716225177
2.31,-0.0511656384900568
2.315,-0.0517582514001904
2.32,-0.0523548813419331
2.325,-0.0529556105742943
2.33,-0.0535605328952227
2.335,-0.054169753914368
2.34,-0.0547833913293924
2.345,-0.0554015752056004
2.35,-0.0560244482585863
2.355,-0.0566521661396005
2.36,-0.0572848977232912
2.365,-0.0579228253974399
2.37,-0.0585661453542792
2.375,-0.0592150678829634
2.38,-0.059869817662686
2.385,-0.0605306340559285
2.39,-0.0611977714012847
2.395,-0.0618714993052253
2.4,-0.0625521029321933
2.405,-0.063239883292265
2.41,-0.0639351575256964
2.415,-0.0646382591835084
2.42,-0.0653495385032709
2.425,-0.0660693626791967
2.43,-0.0667981161255906
2.435,-0.0675362007326072
2.44,-0.0682840361133175
2.445,-0.069042059840895
2.45,-0.0698107276748168
2.455,-0.070590513774792
2.46,-0.0713819109011801
2.465,-0.07218543060056
2.47,-0.0730016033750511
2.475,-0.0738309788339856
2.48,-0.0746741258264648
2.485,-0.0755316325532636
2.49,-0.0764041066565891
2.495,-0.0772921752861132
2.5,-0.0781964851396866
2.505,-0.0791177024771811
2.51,-0.0800565131058354
2.515,-0.0810136223355776
2.52,-0.0819897549027449
2.525,-0.0829856548607238
2.53,-0.0840020854360741
2.535,-0.0850398288487785
2.54,-0.0860996860953545
2.545,-0.0871824766937373
2.55,-0.0882890383889272
2.555,-0.0894202268186497
2.56,-0.0905769151384467
2.565,-0.091759993605889
2.57,-0.0929703691239013
2.575,-0.0942089647435188
2.58,-0.0954767191267481
2.585,-0.0967745859707039
2.59,-0.0981035333946094
2.595,-0.0994645432918392
2.6,-0.100858610649737
2.605,-0.102286742840665
2.61,-0.103749958888448
2.615,-0.105249288715155
2.62,-0.106785772374117
2.625,-0.108360459275958
2.63,-0.109974407415519
2.635,-0.111628682608678
2.64,-0.113324357749209
2.645,-0.115062512097261
2.65,-0.116844230612282
2.655,-0.118670603344787
2.66,-0.120542724902914
2.665,-0.122461694011335
2.67,-0.124428613181889
2.675,-0.126444588517045
2.68,-0.128510729669295
2.685,-0.130628149981458
2.69,-0.132797966834942
2.695,-0.135021302235121
2.7,-0.137299283665056
2.705,-0.139633045240999
2.71,-0.142023729205237
2.715,-0.144472487794083
2.72,-0.146980485520932
2.725,-0.149548901916424
2.73,-0.152178934769883
2.735,-0.154871803918162
2.74,-0.157628755629937
2.745,-0.160451067635295
2.75,-0.163340054852108
2.755,-0.166297075862129
2.76,-0.169323540191103
2.765,-0.172420916448185
2.77,-0.175590741380837
2.775,-0.178834629901972
2.78,-0.182154286146379
2.785,-0.185551515613524
2.79,-0.189028238453463
2.795,-0.192586503952095
2.8,-0.196228506270937
2.805,-0.199956601495446
2.81,-0.203773326044295
2.815,-0.207681416490088
2.82,-0.211683830839886
2.825,-0.215783771321411
2.83,-0.219984708718011
2.835,-0.224290408292664
2.84,-0.22870495733802
2.845,-0.233232794386229
2.85,-0.237878740108977
2.855,-0.242648029934565
2.86,-0.247546348405546
2.865,-0.252579865296816
2.87,-0.25775527351088
2.875,-0.263079828763725
2.88,-0.26856139107161
2.885,-0.274208468046387
2.89,-0.280030260004291
2.895,-0.286036706890811
2.9,-0.292238537022173
2.905,-0.298647317642244
2.91,-0.305275507291954
2.915,-0.312136509987161
2.92,-0.319244731199474
2.925,-0.326615635633576
2.93,-0.334265806793335
2.935,-0.342213008327668
2.94,-0.35047624714556
2.945,-0.359075838287567
2.95,-0.368033471538338
2.955,-0.377372279761257
2.96,-0.387116908931447
2.965,-0.397293589837489
2.97,-0.407930211414424
2.975,-0.419056395661021
2.98,-0.430703574082447
2.985,-0.44290506558495
2.99,-0.455696155731902
2.995,-0.469114177249844
3,-0.483198591648999
