"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0216870754034075
2.005,-0.0219074909549079
2.01,-0.0221308955881487
2.015,-0.0223573252612723
2.02,-0.0225868169317081
2.025,-0.0228194085793492
2.03,-0.0230551392304741
2.035,-0.0232940489824679
2.04,-0.0235361790293058
2.045,-0.0237815716878984
2.05,-0.0240302704252925
2.055,-0.0242823198867305
2.06,-0.0245377659246762
2.065,-0.0247966556287648
2.07,-0.0250590373567442
2.075,-0.0253249607664514
2.08,-0.0255944768488318
2.085,-0.0258676379620855
2.09,-0.0261444978669336
2.095,-0.0264251117630702
2.1,-0.0267095363268518
2.105,-0.0269978297502606
2.11,-0.0272900517811801
2.115,-0.0275862637650599
2.12,-0.0278865286880021
2.125,-0.0281909112213215
2.13,-0.0284994777676653
2.135,-0.0288122965087245
2.14,-0.0291294374546048
2.145,-0.0294509724949487
2.15,-0.0297769754518536
2.155,-0.0301075221346539
2.16,-0.0304426903966804
2.165,-0.0307825601940376
2.17,-0.031127213646511
2.175,-0.0314767351006834
2.18,-0.0318312111953476
2.185,-0.032190730929338
2.19,-0.0325553857318561
2.195,-0.0329252695354176
2.2,-0.0333004788515358
2.205,-0.0336811128492571
2.21,-0.0340672734366775
2.215,-0.0344590653455842
2.22,-0.034856596219353
2.225,-0.0352599767042636
2.23,-0.0356693205443933
2.235,-0.0360847446802455
2.24,-0.0365063693513102
2.245,-0.0369343182027402
2.25,-0.0373687183963325
2.255,-0.0378097007260695
2.26,-0.0382573997383902
2.265,-0.038711953857489
2.27,-0.039173505515882
2.275,-0.0396422012904954
2.28,-0.0401181920446133
2.285,-0.0406016330759835
2.29,-0.041092684271401
2.295,-0.0415915102681637
2.3,-0.0420982806227813
2.305,-0.0426131699873402
2.31,-0.043136358294015
2.315,-0.0436680309481629
2.32,-0.0442083790305766
2.325,-0.0447575995094473
2.33,-0.0453158954626406
2.335,-0.0458834763109959
2.34,-0.0464605580633357
2.345,-0.0470473635740254
2.35,-0.0476441228139217
2.355,-0.0482510731556913
2.36,-0.0488684596745339
2.365,-0.0494965354654519
2.37,-0.0501355619783816
2.375,-0.0507858093725334
2.38,-0.05144755689154
2.385,-0.0521210932611479
2.39,-0.0528067171113314
2.395,-0.0535047374250624
2.4,-0.0542154740160863
2.405,-0.0549392580384395
2.41,-0.0556764325307766
2.415,-0.0564273529989629
2.42,-0.057192388040851
2.425,-0.0579719200177011
2.43,-0.0587663457773561
2.435,-0.0595760774349861
2.44,-0.0604015432181212
2.445,-0.061243188383729
2.45,-0.0621014762162246
2.455,-0.0629768891168838
2.46,-0.0638699297967554
2.465,-0.0647811225872042
2.47,-0.0657110148848518
2.475,-0.0666601787504636
2.48,-0.0676292126851069
2.485,-0.0686187436112037
2.49,-0.0696294290914907
2.495,-0.0706619598254634
2.5,-0.0717170624709265
2.505,-0.0727955028482455
2.51,-0.0738980895972507
2.515,-0.0750256783721856
2.52,-0.0761791766793355
2.525,-0.077359549486302
2.53,-0.0785678257625524
2.535,-0.0798051061499709
2.54,-0.0810725720119247
2.545,-0.0823714961735025
2.55,-0.0837032557482789
2.555,-0.0850693475545133
2.56,-0.0864714067639731
2.565,-0.0879112296111706
2.57,-0.0893908012345067
2.575,-0.0909123300446239
2.58,-0.0924782904483312
2.585,-0.0940914763377941
2.59,-0.0957550685397449
2.595,-0.0974727204834668
2.6,-0.0992486677926069
2.605,-0.101087869474259
2.61,-0.102996191052703
2.615,-0.104980643605224
2.62,-0.107049697463605
2.625,-0.109213695570979
2.63,-0.11148539912193
2.635,-0.113880706434459
2.64,-0.116419592373109
2.645,-0.119127312802887
2.65,-0.122035888505244
2.655,-0.12518578377919
2.66,-0.128627433741832
2.665,-0.132421658676978
2.67,-0.136636677964478
2.675,-0.141336900324275
2.68,-0.146554814334248
2.685,-0.152234718789979
2.69,-0.158146544722591
2.695,-0.16381120874873
2.7,-0.168553725425561
2.705,-0.171790149290905
2.71,-0.173403219722122
2.715,-0.173827255668408
2.72,-0.173744217353306
2.725,-0.173729378320018
2.73,-0.174112930524107
2.735,-0.175019644276456
2.74,-0.176456279963391
2.745,-0.178378913823472
2.75,-0.180730228538987
2.755,-0.18345616586456
2.76,-0.1865116727392
2.765,-0.189861550282382
2.77,-0.193479449715423
2.775,-0.197346379413168
2.78,-0.201449265034422
2.785,-0.20577973757063
2.79,-0.210333174108367
2.795,-0.215107962669872
2.8,-0.220104949322345
2.805,-0.225327027799108
2.81,-0.230778838575351
2.815,-0.236466551524821
2.82,-0.242397712528641
2.825,-0.248581139401088
2.83,-0.255026856334755
2.835,-0.261746058960069
2.84,-0.268751104277282
2.845,-0.276055521335783
2.85,-0.28367403975007
2.855,-0.291622634063163
2.86,-0.299918582677885
2.865,-0.308580540634363
2.87,-0.317628625962509
2.875,-0.327084519713706
2.88,-0.336971580101489
2.885,-0.347314971474908
2.89,-0.35814180912554
2.895,-0.369481321201429
2.9,-0.381365029278638
2.905,-0.393826949432425
2.91,-0.406903815963649
2.915,-0.420635330279725
2.92,-0.435064437812014
2.925,-0.450237636281568
2.93,-0.466205319112419
2.935,-0.48302215834759
2.94,-0.500747532059748
2.945,-0.5194460019809
2.95,-0.53918784792072
2.955,-0.560049666520843
2.96,-0.582115043026313
2.965,-0.605475306073221
2.97,-0.630230377026393
2.975,-0.656489727191931
2.98,-0.684373458323279
2.985,-0.714013524292458
2.99,-0.745555114676604
2.995,-0.779158224394947
3,-0.8149994375193
