"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0810674193876403
2.005,-0.0839347151846835
2.01,-0.0869511594510596
2.015,-0.0901269971639091
2.02,-0.0934733545619695
2.025,-0.0970023310947412
2.03,-0.100727102656353
2.035,-0.104662037703081
2.04,-0.108822828110977
2.045,-0.113226636934351
2.05,-0.117892265586069
2.055,-0.122840343388357
2.06,-0.128093542952076
2.065,-0.133676825450524
2.07,-0.139617720582169
2.075,-0.145946646891599
2.08,-0.152697279172401
2.085,-0.159906970950368
2.09,-0.167617241592049
2.095,-0.175874339466064
2.1,-0.184729894884548
2.105,-0.194241679372313
2.11,-0.204474491282535
2.115,-0.215501192067687
2.12,-0.227403922837046
2.125,-0.240275537464416
2.13,-0.254221296809636
2.135,-0.269360879050724
2.14,-0.285830774299925
2.145,-0.303787148396172
2.15,-0.323409282086992
2.155,-0.344903719137887
2.16,-0.368509292111982
2.165,-0.394503240162966
2.17,-0.423208692576638
2.175,-0.455003869591047
2.18,-0.490333454515825
2.185,-0.52972272699884
2.19,-0.57379522838529
2.195,-0.623294973052355
2.2,-0.679114547529005
2.205,-0.742330884646229
2.21,-0.814251108858496
2.215,-0.896471686558333
2.22,-0.99095527513594
2.225,-1.10013128143972
2.23,-1.22702841016797
2.235,-1.375450694335
2.24,-1.55021308659542
2.245,-1.75745932009471
2.25,-2.00509449343889
2.255,-2.30337951714885
2.26,-2.66575748949159
2.265,-3.11001972919595
2.27,-3.65998512681199
2.275,-4.3479902700236
2.28,-5.21873464611197
2.285,-6.33552998998706
2.29,-7.79095830911813
2.295,-9.72479806967657
2.3,-12.3419929931898
2.305,-15.7719673126001
2.31,-18.3912619650496
2.315,-16.2846944343202
2.32,-12.8270990641928
2.325,-10.1428599230558
2.33,-8.16526300445522
2.335,-6.68195245894304
2.34,-5.54565601641234
2.345,-4.65964228314766
2.35,-3.95851788600648
2.355,-3.39659515891035
2.36,-2.94109944735337
2.365,-2.56803820183339
2.37,-2.25956501809128
2.375,-2.00222840149968
2.38,-1.78577215542505
2.385,-1.60229473610031
2.39,-1.44564988632814
2.395,-1.31101337143029
2.4,-1.1945661392335
2.405,-1.09326024275708
2.41,-1.00464428672546
2.415,-0.926732120603885
2.42,-0.857903241853652
2.425,-0.796826650170074
2.43,-0.74240218583752
2.435,-0.693715005170979
2.44,-0.650000000915842
2.445,-0.610613805694472
2.45,-0.575012618041012
2.455,-0.542734529528939
2.46,-0.513385354166984
2.465,-0.4866272000763
2.47,-0.46216920144144
2.475,-0.439759962229581
2.48,-0.419181363950901
2.485,-0.40024346628279
2.49,-0.382780287876837
2.495,-0.366646299629972
2.5,-0.351713497457287
2.505,-0.337868948618232
2.51,-0.325012726756776
2.515,-0.313056167395468
2.52,-0.301920388710167
2.525,-0.291535032792244
2.53,-0.281837190876266
2.535,-0.272770482632242
2.54,-0.2642842649443
2.545,-0.256332949895275
2.55,-0.2488754151604
2.555,-0.241874492848767
2.56,-0.235296525147419
2.565,-0.22911097702262
2.57,-0.223290097795874
2.575,-0.217808624703105
2.58,-0.212643522615019
2.585,-0.207773754985769
2.59,-0.203180081838397
2.595,-0.198844881215764
2.6,-0.194751991045848
2.605,-0.190886568808094
2.61,-0.187234966756742
2.615,-0.183784620769472
2.62,-0.1805239511547
2.625,-0.177442273976197
2.63,-0.174529721645769
2.635,-0.171777171698883
2.64,-0.169176182808737
2.645,-0.166718937214893
2.65,-0.164398188846518
2.655,-0.162207216509786
2.66,-0.160139781586251
2.665,-0.15819008975616
2.67,-0.156352756318648
2.675,-0.15462277473131
2.68,-0.152995488035671
2.685,-0.151466562873424
2.69,-0.150031965831957
2.695,-0.148687941887053
2.7,-0.147430994736534
2.705,-0.146257868841347
2.71,-0.145165533010761
2.715,-0.144151165386064
2.72,-0.143212139693042
2.725,-0.142346012647738
2.73,-0.141550512412753
2.735,-0.140823528013074
2.74,-0.140163099631144
2.745,-0.139567409711153
2.75,-0.139034774812397
2.755,-0.138563638161397
2.76,-0.13815256286278
2.765,-0.137800225740163
2.77,-0.137505411791037
2.775,-0.137267009254916
2.78,-0.13708400531293
2.785,-0.13695548246142
2.79,-0.136880615634132
2.795,-0.136858670191021
2.8,-0.136889000951296
2.805,-0.136971052531404
2.81,-0.137104361366236
2.815,-0.13728855995976
2.82,-0.137523384154003
2.825,-0.137808684559862
2.83,-0.138144443816848
2.835,-0.138530802130446
2.84,-0.138968094716407
2.845,-0.139456906585473
2.85,-0.13999815289403
2.855,-0.140593197461705
2.86,-0.141244029004554
2.865,-0.141953525807517
2.87,-0.142725857758592
2.875,-0.143567104630458
2.88,-0.144486219217739
2.885,-0.145496546608979
2.89,-0.146618246971299
2.895,-0.147882185645138
2.9,-0.149336167262256
2.905,-0.151054723937492
2.91,-0.153153549756958
2.915,-0.155807273323219
2.92,-0.159258968404934
2.925,-0.163779645676305
2.93,-0.16948385189031
2.935,-0.175939240544753
2.94,-0.18191428239567
2.945,-0.186037387287651
2.95,-0.187967094990032
2.955,-0.188434846703283
2.96,-0.188356272488377
2.965,-0.188311876441545
2.97,-0.188552991378279
2.975,-0.189147860229004
2.98,-0.190087534395124
2.985,-0.19133841783108
2.99,-0.192863889385697
2.995,-0.194631764310124
3,-0.196616024399575
