"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0297795019312603
2.005,-0.0301770022728969
2.01,-0.0305821400471338
2.015,-0.0309950760090449
2.02,-0.0314159758043238
2.025,-0.0318450101354398
2.03,-0.0322823549344823
2.035,-0.0327281915429369
2.04,-0.0331827068987634
2.045,-0.0336460937310552
2.05,-0.0341185507626801
2.055,-0.0346002829212246
2.06,-0.0350915015586546
2.065,-0.0355924246800838
2.07,-0.0361032771820871
2.075,-0.0366242911010036
2.08,-0.037155705871684
2.085,-0.0376977685972056
2.09,-0.0382507343300821
2.095,-0.0388148663654785
2.1,-0.039390436547056
2.105,-0.0399777255860428
2.11,-0.0405770233941654
2.115,-0.0411886294311509
2.12,-0.0418128530674855
2.125,-0.0424500139632062
2.13,-0.0431004424635172
2.135,-0.0437644800120976
2.14,-0.0444424795829451
2.145,-0.0451348061317542
2.15,-0.0458418370677749
2.155,-0.0465639627472399
2.16,-0.047301586989443
2.165,-0.0480551276166783
2.17,-0.0488250170192408
2.175,-0.0496117027468375
2.18,-0.0504156481278109
2.185,-0.0512373329175879
2.19,-0.0520772539779962
2.195,-0.0529359259890444
2.2,-0.0538138821949424
2.205,-0.0547116751862292
2.21,-0.0556298777199333
2.215,-0.056569083579921
2.22,-0.0575299084795948
2.225,-0.0585129910093377
2.23,-0.0595189936311433
2.235,-0.0605486037231568
2.24,-0.0616025346768964
2.245,-0.0626815270501555
2.25,-0.0637863497787854
2.255,-0.0649178014507288
2.26,-0.0660767116459171
2.265,-0.0672639423458451
2.27,-0.068480389416919
2.275,-0.0697269841719052
2.28,-0.0710046950141151
2.285,-0.0723145291692327
2.29,-0.0736575345100663
2.295,-0.0750348014797888
2.3,-0.0764474651196509
2.305,-0.0778967072075232
2.31,-0.0793837585141047
2.315,-0.0809099011839597
2.32,-0.082476471249229
2.325,-0.0840848612842185
2.33,-0.0857365232097307
2.335,-0.0874329712565775
2.34,-0.0891757850983797
2.345,-0.0909666131644463
2.35,-0.0928071761442864
2.355,-0.094699270696126
2.36,-0.0966447733726793
2.365,-0.0986456447782744
2.37,-0.100703933972612
2.375,-0.102821783137344
2.38,-0.105001432522899
2.385,-0.107245225694254
2.39,-0.109555615095661
2.395,-0.111935167955774
2.4,-0.114386572556229
2.405,-0.11691264488836
2.41,-0.119516335724537
2.415,-0.122200738132611
2.42,-0.12496909546391
2.425,-0.127824809847632
2.43,-0.130771451226705
2.435,-0.133812766972983
2.44,-0.136952692122162
2.445,-0.140195360272062
2.45,-0.14354511519086
2.455,-0.147006523185501
2.46,-0.150584386283996
2.465,-0.154283756289382
2.47,-0.158109949767242
2.475,-0.162068564033157
2.48,-0.166165494211274
2.485,-0.17040695144017
2.49,-0.174799482307661
2.495,-0.179349989601803
2.5,-0.184065754471418
2.505,-0.188954460095739
2.51,-0.194024216969383
2.515,-0.199283589915811
2.52,-0.204741626949432
2.525,-0.210407890113994
2.53,-0.216292488432235
2.535,-0.222406113109335
2.54,-0.22876007514014
2.545,-0.235366345477338
2.55,-0.242237597924625
2.555,-0.249387254925077
2.56,-0.256829536420128
2.565,-0.264579511958612
2.57,-0.27265315623736
2.575,-0.281067408254674
2.58,-0.289840234254702
2.585,-0.298990694633483
2.59,-0.308539014965081
2.595,-0.318506661287669
2.6,-0.328916419762667
2.605,-0.339792480783576
2.61,-0.351160527562256
2.615,-0.363047829156411
2.62,-0.375483337819348
2.625,-0.388497790447749
2.63,-0.402123813769898
2.635,-0.416396032749969
2.64,-0.431351181476039
2.645,-0.447028215542528
2.65,-0.463468424621158
2.655,-0.480715543527161
2.66,-0.498815859614971
2.665,-0.517818313764605
2.67,-0.537774591527312
2.675,-0.558739200166442
2.68,-0.580769526332465
2.685,-0.603925867923889
2.69,-0.628271432279161
2.695,-0.65387229118856
2.7,-0.680797281278263
2.705,-0.709117836071387
2.71,-0.738907733447266
2.715,-0.77024273928259
2.72,-0.80320012476279
2.725,-0.83785803121733
2.73,-0.874294652410248
2.735,-0.912587200106152
2.74,-0.952810614598254
2.745,-0.995035977984889
2.75,-1.03932858469045
2.755,-1.08574562157386
2.76,-1.13433340967295
2.765,-1.18512416214268
2.77,-1.23813221946741
2.775,-1.29334973504736
2.78,-1.35074180352623
2.785,-1.41024105269456
2.79,-1.47174175948299
2.795,-1.5350936032751
2.8,-1.60009523675198
2.805,-1.66648793579489
2.81,-1.73394968375834
2.815,-1.80209014698377
2.82,-1.8704470992662
2.825,-1.93848494005766
2.83,-2.00559600660292
2.835,-2.07110538194222
2.84,-2.13427982483483
2.845,-2.19434127232869
2.85,-2.25048507716354
2.855,-2.30190274193193
2.86,-2.34780842347871
2.865,-2.38746795403023
2.87,-2.42022863412066
2.875,-2.44554768574934
2.88,-2.46301709950381
2.885,-2.47238272966942
2.89,-2.47355590484058
2.895,-2.46661648957425
2.9,-2.45180716207894
2.905,-2.42951953449914
2.91,-2.40027349990181
2.915,-2.36469173207578
2.92,-2.32347152738445
2.925,-2.27735615607078
2.93,-2.22710762820491
2.935,-2.17348235439018
2.94,-2.11721068182343
2.945,-2.05898079235572
2.95,-1.99942701997576
2.955,-1.93912231443037
2.96,-1.87857435587272
2.965,-1.81822470523712
2.97,-1.75845033859992
2.975,-1.69956693890605
2.98,-1.64183338328335
2.985,-1.58545695004003
2.99,-1.53059886202072
2.995,-1.47737987240797
3,-1.42588567930965
