"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0211478213640601
2.005,-0.0213530418013057
2.01,-0.0215610032667692
2.015,-0.0217717385196427
2.02,-0.0219852811626147
2.025,-0.0222016656613704
2.03,-0.022420927364719
2.035,-0.0226431025253601
2.04,-0.0228682283213083
2.045,-0.0230963428780149
2.05,-0.0233274852912004
2.055,-0.0235616956504245
2.06,-0.0237990150634083
2.065,-0.0240394856811775
2.07,-0.0242831507240006
2.075,-0.0245300545081779
2.08,-0.0247802424737444
2.085,-0.0250337612130534
2.09,-0.0252906585003285
2.095,-0.0255509833222071
2.1,-0.0258147859092851
2.105,-0.0260821177687757
2.11,-0.0263530317182021
2.115,-0.0266275819203219
2.12,-0.026905823919171
2.125,-0.0271878146774135
2.13,-0.0274736126149441
2.135,-0.027763277648866
2.14,-0.0280568712348397
2.145,-0.0283544564099237
2.15,-0.0286560978369275
2.155,-0.0289618618503369
2.16,-0.0292718165039116
2.165,-0.0295860316199978
2.17,-0.0299045788406463
2.175,-0.0302275316806107
2.18,-0.0305549655823126
2.185,-0.0308869579728374
2.19,-0.031223588323117
2.195,-0.0315649382093077
2.2,-0.0319110913765555
2.205,-0.0322621338051917
2.21,-0.0326181537795146
2.215,-0.0329792419592763
2.22,-0.0333454914539778
2.225,-0.0337169979001379
2.23,-0.0340938595416988
2.235,-0.0344761773136639
2.24,-0.0348640549291993
2.245,-0.0352575989703516
2.25,-0.0356569189825455
2.255,-0.036062127573105
2.26,-0.0364733405139911
2.265,-0.0368906768489819
2.27,-0.0373142590055407
2.275,-0.0377442129116494
2.28,-0.0381806681178694
2.285,-0.0386237579249403
2.29,-0.0390736195172304
2.295,-0.0395303941024047
2.3,-0.0399942270576526
2.305,-0.0404652680829053
2.31,-0.0409436713614646
2.315,-0.0414295957285018
2.32,-0.0419232048479399
2.325,-0.0424246673982703
2.33,-0.0429341572678557
2.335,-0.0434518537604421
2.34,-0.0439779418114687
2.345,-0.0445126122160102
2.35,-0.0450560618691436
2.355,-0.0456084940196498
2.36,-0.0461701185379985
2.365,-0.0467411521997199
2.37,-0.0473218189853225
2.375,-0.0479123503980368
2.38,-0.0485129858008052
2.385,-0.0491239727740518
2.39,-0.0497455674959688
2.395,-0.0503780351471911
2.4,-0.0510216503419369
2.405,-0.0516766975879372
2.41,-0.0523434717777191
2.415,-0.0530222787140637
2.42,-0.0537134356728585
2.425,-0.0544172720068138
2.43,-0.0551341297940336
2.435,-0.0558643645358742
2.44,-0.0566083459089947
2.445,-0.0573664585772407
2.45,-0.0581391030695808
2.455,-0.058926696731216
2.46,-0.0597296747558621
2.465,-0.0605484913082964
2.47,-0.0613836207474651
2.475,-0.0622355589619174
2.48,-0.0631048248309563
2.485,-0.0639919618268551
2.49,-0.0648975397756835
2.495,-0.0658221567969815
2.5,-0.066766441445552
2.505,-0.0677310550822417
2.51,-0.0687166945049198
2.515,-0.0697240948757783
2.52,-0.0707540329871551
2.525,-0.0718073309150495
2.53,-0.0728848601180787
2.535,-0.0739875460495265
2.54,-0.0751163733624566
2.545,-0.0762723918022269
2.55,-0.0774567228984785
2.555,-0.0786705675898762
2.56,-0.0799152149408635
2.565,-0.0811920521412886
2.57,-0.082502576018551
2.575,-0.0838484063395434
2.58,-0.0852313012387237
2.585,-0.0866531751815745
2.59,-0.0881161199639064
2.595,-0.0896224293614968
2.6,-0.0911746281878511
2.605,-0.0927755066992011
2.61,-0.09442816151601
2.615,-0.0961360445240442
2.62,-0.0979030215953202
2.625,-0.0997334434557445
2.63,-0.10163223165805
2.635,-0.10360498344258
2.64,-0.105658100350649
2.645,-0.107798946883688
2.65,-0.110036047398973
2.655,-0.112379331967627
2.66,-0.114840445326539
2.665,-0.117433137655897
2.67,-0.120173762157618
2.675,-0.123081912916375
2.68,-0.126181248144413
2.685,-0.129500559788037
2.69,-0.133075172100342
2.695,-0.13694878098626
2.7,-0.14117588463288
2.705,-0.145825005396867
2.71,-0.150982961525239
2.715,-0.156760505127091
2.72,-0.163299668652316
2.725,-0.170783073249505
2.73,-0.179445046941466
2.735,-0.189583212476193
2.74,-0.201566216050883
2.745,-0.215826435362508
2.75,-0.232812375075671
2.755,-0.252850659791015
2.76,-0.275838697853457
2.765,-0.300705085149837
2.77,-0.324774477290753
2.775,-0.343685204391741
2.78,-0.35285067763247
2.785,-0.35023617913348
2.79,-0.337897648334974
2.795,-0.320440845835664
2.8,-0.302240842337472
2.805,-0.285979517957036
2.81,-0.272730651541503
2.815,-0.262598375588496
2.82,-0.255258684351099
2.825,-0.250267334274094
2.83,-0.247197743213464
2.835,-0.245688292891958
2.84,-0.245449334232501
2.845,-0.246255246760365
2.85,-0.247932713298751
2.855,-0.250349522199825
2.86,-0.253405220383443
2.865,-0.257023756269182
2.87,-0.261147850279427
2.875,-0.265734744819819
2.88,-0.270753013649759
2.885,-0.276180169838016
2.89,-0.282000871043447
2.895,-0.288205570932225
2.9,-0.294789504653229
2.905,-0.30175192576732
2.91,-0.309095533844523
2.915,-0.316826047962861
2.92,-0.324951893076396
2.925,-0.333483974825993
2.93,-0.342435524702579
2.935,-0.351822002165415
2.94,-0.361661043820057
2.945,-0.371972452399184
2.95,-0.382778220300605
2.955,-0.39410258399162
2.96,-0.405972106812195
2.965,-0.418415788692762
2.97,-0.431465202113872
2.975,-0.445154654325179
2.98,-0.459521376449546
2.985,-0.474605740654482
2.99,-0.490451507102396
2.995,-0.5071061029129
3,-0.524620935902728
