"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0576350322663595
2.005,-0.0592667454578975
2.01,-0.0609733473167438
2.015,-0.0627589244453526
2.02,-0.0646278494625737
2.025,-0.0665848046523848
2.03,-0.0686348078834773
2.035,-0.0707832410473828
2.04,-0.0730358812931031
2.045,-0.0753989353703253
2.05,-0.0778790774322548
2.055,-0.0804834906932036
2.06,-0.0832199133863279
2.065,-0.0860966895241811
2.07,-0.08912282503003
2.075,-0.092308049882401
2.08,-0.0956628870005606
2.085,-0.0991987286960908
2.09,-0.102927921627356
2.095,-0.106863861321676
2.1,-0.111021097476854
2.105,-0.115415451422307
2.11,-0.120064147313836
2.115,-0.124985958858855
2.12,-0.130201373625139
2.125,-0.135732777280974
2.13,-0.141604660453778
2.135,-0.147843851284523
2.14,-0.154479777203793
2.145,-0.161544759970545
2.15,-0.169074348605517
2.155,-0.177107695527289
2.16,-0.185687981970618
2.165,-0.194862899643364
2.17,-0.204685196569512
2.175,-0.215213296178058
2.18,-0.226511999933422
2.185,-0.238653285158355
2.19,-0.251717211157901
2.195,-0.265792948278239
2.2,-0.280979946063256
2.205,-0.297389258097019
2.21,-0.315145042270415
2.215,-0.334386255817192
2.22,-0.355268564120804
2.225,-0.377966480387247
2.23,-0.402675748903954
2.235,-0.429615976433213
2.24,-0.459033502391926
2.245,-0.491204476074382
2.25,-0.526438074333301
2.255,-0.565079740287481
2.26,-0.607514245058694
2.265,-0.654168259741871
2.27,-0.705511959803943
2.275,-0.762058950957305
2.28,-0.82436348249687
2.285,-0.893013477096957
2.29,-0.968617333459021
2.295,-1.05178174101561
2.3,-1.14307690829523
2.305,-1.24298474247802
2.31,-1.35182485075824
2.315,-1.46965320504406
2.32,-1.59612968324028
2.325,-1.73035463595457
2.33,-1.87068262161695
2.335,-2.01453488516512
2.34,-2.15825113608152
2.345,-2.29704248225648
2.35,-2.42512196498489
2.355,-2.53608151278664
2.36,-2.62353748907024
2.365,-2.68197720302362
2.37,-2.70763148187487
2.375,-2.69913115914417
2.38,-2.65773612631767
2.385,-2.58706150389439
2.39,-2.49240115113549
2.395,-2.37986910796499
2.4,-2.25559165907943
2.405,-2.12510607228554
2.41,-1.99301739152774
2.415,-1.86288375866162
2.42,-1.73726244834794
2.425,-1.61784563021908
2.43,-1.50563017653902
2.435,-1.4010857493194
2.44,-1.30430242883137
2.445,-1.21511091832993
2.45,-1.13317526270315
2.455,-1.05806138406912
2.46,-0.989285902987886
2.465,-0.926349688814256
2.47,-0.868760017351485
2.475,-0.816044480560518
2.48,-0.767759079826322
2.485,-0.723492320515428
2.49,-0.682866632285693
2.495,-0.645538060084789
2.5,-0.611194887461252
2.505,-0.579555647000659
2.51,-0.550366824369493
2.515,-0.523400457634265
2.52,-0.498451760456073
2.525,-0.475336847509353
2.53,-0.453890606420609
2.535,-0.433964737847372
2.54,-0.415425970555829
2.545,-0.398154449041631
2.55,-0.38204228563452
2.555,-0.366992265915303
2.56,-0.35291669480861
2.565,-0.339736370312901
2.57,-0.327379672091657
2.575,-0.315781752806903
2.58,-0.304883820947793
2.585,-0.294632504874135
2.59,-0.28497928878242
2.595,-0.27588001226213
2.6,-0.267294426016152
2.605,-0.259185797156065
2.61,-0.251520558244857
2.615,-0.244267994946027
2.62,-0.23739996775099
2.625,-0.230890663801497
2.63,-0.224716375305316
2.635,-0.218855301468094
2.64,-0.213287371237468
2.645,-0.207994084483248
2.65,-0.202958369524646
2.655,-0.19816445516716
2.66,-0.193597755631899
2.665,-0.189244766953127
2.67,-0.185092973588407
2.675,-0.181130764133723
2.68,-0.177347355165312
2.685,-0.173732722343557
2.69,-0.170277538013727
2.695,-0.166973114625827
2.7,-0.163811353372455
2.705,-0.160784697511177
2.71,-0.157886089897194
2.715,-0.155108934304439
2.72,-0.152447060159347
2.725,-0.149894690352226
2.73,-0.147446411827147
2.735,-0.145097148683071
2.74,-0.142842137547018
2.745,-0.140676905005213
2.75,-0.138597246900063
2.755,-0.136599209320679
2.76,-0.134679071132039
2.765,-0.132833327903516
2.77,-0.131058677111286
2.775,-0.129352004501614
2.78,-0.127710371512965
2.785,-0.126131003664835
2.79,-0.124611279829986
2.795,-0.123148722314698
2.8,-0.121740987678789
2.805,-0.120385858233429
2.81,-0.119081234160627
2.815,-0.1178251262033
2.82,-0.116615648879506
2.825,-0.115451014178649
2.83,-0.11432952570115
2.835,-0.113249573206497
2.84,-0.112209627537718
2.845,-0.111208235893016
2.85,-0.110244017417857
2.855,-0.109315659093088
2.86,-0.108421911896716
2.865,-0.107561587218843
2.87,-0.106733553510982
2.875,-0.105936733152476
2.88,-0.105170099518242
2.885,-0.104432674233232
2.89,-0.103723524600243
2.895,-0.103041761188793
2.9,-0.102386535573643
2.905,-0.101757038212592
2.91,-0.101152496453832
2.915,-0.100572172664003
2.92,-0.100015362468712
2.925,-0.0994813930979201
2.93,-0.0989696218291574
2.935,-0.0984794345221064
2.94,-0.0980102442384761
2.945,-0.0975614899416303
2.95,-0.0971326352707799
2.955,-0.0967231673849582
2.96,-0.0963325958723034
2.965,-0.0959604517205237
2.97,-0.0956062863447097
2.975,-0.0952696706689133
2.98,-0.0949501942581521
2.985,-0.0946474644977661
2.99,-0.0943611058172594
2.995,-0.0940907589558795
3,-0.0938360802675053
