"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0200805345266469
2.005,-0.0204150882268248
2.01,-0.0207392205918995
2.015,-0.0210532680110608
2.02,-0.0213575660481181
2.025,-0.0216524494216778
2.03,-0.0219382519843984
2.035,-0.0222153067013754
2.04,-0.0224839456275318
2.045,-0.0227444998840706
2.05,-0.0229972996339051
2.055,-0.0232426740560275
2.06,-0.0234809513188402
2.065,-0.0237124585523196
2.07,-0.0239375218190719
2.075,-0.0241564660841706
2.08,-0.024369615183766
2.085,-0.0245772917924231
2.09,-0.0247798173891356
2.095,-0.0249775122219651
2.1,-0.0251706952712916
2.105,-0.0253596842115701
2.11,-0.0255447953715922
2.115,-0.0257263436931783
2.12,-0.0259046426882363
2.125,-0.0260800043941479
2.13,-0.0262527393274066
2.135,-0.0264231564354552
2.14,-0.0265915630466507
2.145,-0.0267582648182974
2.15,-0.0269235656826616
2.155,-0.0270877677909034
2.16,-0.0272511714548715
2.165,-0.0274140750866256
2.17,-0.027576775135668
2.175,-0.0277395660237367
2.18,-0.0279027400771289
2.185,-0.0280665874564067
2.19,-0.0282313960834309
2.195,-0.0283974515655826
2.2,-0.0285650371170967
2.205,-0.0287344334773836
2.21,-0.0289059188262127
2.215,-0.0290797686956644
2.22,-0.0292562558786869
2.225,-0.0294356503341688
2.23,-0.0296182190883582
2.235,-0.0298042261324871
2.24,-0.0299939323164851
2.245,-0.0301875952385859
2.25,-0.0303854691306854
2.255,-0.0305878047392852
2.26,-0.0307948492018385
2.265,-0.03100684591831
2.27,-0.0312240344177852
2.275,-0.0314466502198819
2.28,-0.0316749246908164
2.285,-0.0319090848938602
2.29,-0.0321493534339748
2.295,-0.032395948296404
2.3,-0.0326490826789836
2.305,-0.0329089648178703
2.31,-0.03317579780648
2.315,-0.0334497794073347
2.32,-0.0337311018565264
2.325,-0.0340199516605238
2.33,-0.0343165093849791
2.335,-0.0346209494352576
2.34,-0.03493343982832
2.345,-0.0352541419556125
2.35,-0.0355832103366626
2.355,-0.0359207923629318
2.36,-0.0362670280315834
2.365,-0.0366220496687874
2.37,-0.0369859816420978
2.375,-0.0373589400615389
2.38,-0.0377410324689108
2.385,-0.0381323575149276
2.39,-0.0385330046236467
2.395,-0.0389430536437992
2.4,-0.0393625744864754
2.405,-0.0397916267487013
2.41,-0.040230259322391
2.415,-0.0406785099881546
2.42,-0.0411364049934537
2.425,-0.0416039586145607
2.43,-0.0420811727017999
2.435,-0.0425680362075514
2.44,-0.043064524696426
2.445,-0.0435705998371833
2.45,-0.0440862088757572
2.455,-0.0446112840889864
2.46,-0.0451457422184901
2.465,-0.0456894838842279
2.47,-0.0462423929773434
2.475,-0.0468043360318629
2.48,-0.047375161574869
2.485,-0.0479546994548983
2.49,-0.0485427601482951
2.495,-0.0491391340433573
2.5,-0.0497435907022348
2.505,-0.0503558781005945
2.51,-0.0509757218452525
2.515,-0.0516028243700716
2.52,-0.0522368641106005
2.525,-0.0528774946581745
2.53,-0.0535243438943556
2.535,-0.0541770131068715
2.54,-0.0548350760885518
2.545,-0.0554980782210284
2.55,-0.0561655355453806
2.555,-0.0568369338223313
2.56,-0.0575117275851191
2.565,-0.0581893391886499
2.57,-0.0588691578592501
2.575,-0.0595505387499832
2.58,-0.0602328020072581
2.585,-0.0609152318554369
2.59,-0.0615970757070421
2.595,-0.0622775433073246
2.6,-0.0629558059231609
2.605,-0.0636309955876649
2.61,-0.0643022044133861
2.615,-0.0649684839886925
2.62,-0.0656288448738209
2.625,-0.0662822562151426
2.63,-0.0669276454985309
2.635,-0.0675638984651782
2.64,-0.0681898592160894
2.645,-0.0688043305344143
2.65,-0.0694060744581786
2.655,-0.0699938131395804
2.66,-0.0705662300308969
2.665,-0.071121971441345
2.67,-0.0716596485137547
2.675,-0.0721778396748056
2.68,-0.0726750936177717
2.685,-0.0731499328821967
2.69,-0.0736008581006752
2.695,-0.0740263529889239
2.7,-0.0744248901614516
2.705,-0.0747949378614247
2.71,-0.0751349676995085
2.715,-0.0754434635026689
2.72,-0.0757189313796124
2.725,-0.0759599111149494
2.73,-0.076164989008634
2.735,-0.0763328122808231
2.74,-0.0764621051643045
2.745,-0.0765516868070466
2.75,-0.0766004911052743
2.755,-0.0766075885827245
2.76,-0.0765722104232239
2.765,-0.0764937747513253
2.77,-0.0763719152379694
2.775,-0.0762065120849327
2.78,-0.0759977254116172
2.785,-0.0757460310299521
2.79,-0.0754522585469023
2.795,-0.0751176316781996
2.8,-0.0747438105908086
2.805,-0.0743329360147312
2.81,-0.0738876747763545
2.815,-0.0734112663059456
2.82,-0.0729075695612793
2.825,-0.072381109688605
2.83,-0.071837123613311
2.835,-0.0712816036176112
2.84,-0.0707213378253373
2.845,-0.0701639463787793
2.85,-0.0696179119650515
2.855,-0.0690926032367617
2.86,-0.0685982895814282
2.865,-0.0681461456354041
2.87,-0.0677482439201244
2.875,-0.0674175340116077
2.88,-0.0671678067476807
2.885,-0.0670136421400544
2.89,-0.0669703398973021
2.895,-0.067053831784169
2.9,-0.0672805754434792
2.905,-0.0676674297855059
2.91,-0.0682315125974808
2.915,-0.0689900416286021
2.92,-0.0699601610433704
2.925,-0.0711587557827633
2.93,-0.0726022569987615
2.935,-0.0743064422994801
2.94,-0.0762862350251055
2.945,-0.0785555071354026
2.95,-0.0811268904975591
2.955,-0.0840116013950644
2.96,-0.0872192829186302
2.965,-0.0907578695448252
2.97,-0.0946334776637408
2.975,-0.0988503251031879
2.98,-0.103410681843711
2.985,-0.108314853166064
2.99,-0.113561195466902
2.995,-0.119146163969447
3,-0.125064390593444
