"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0181000023133302
2.005,-0.0182819048488275
2.01,-0.0184693356030054
2.015,-0.0186624559956842
2.02,-0.0188614357524019
2.025,-0.0190664533750673
2.03,-0.0192776966445013
2.035,-0.0194953631573772
2.04,-0.0197196609002306
2.045,-0.0199508088634794
2.05,-0.0201890376986376
2.055,-0.0204345904222202
2.06,-0.0206877231701461
2.065,-0.0209487060067486
2.07,-0.0212178237930184
2.075,-0.0214953771189574
2.08,-0.0217816833055434
2.085,-0.0220770774822638
2.09,-0.0223819137467353
2.095,-0.0226965664136495
2.1,-0.0230214313608817
2.105,-0.0233569274815449
2.11,-0.0237034982514673
2.115,-0.0240616134227606
2.12,-0.0244317708550786
2.125,-0.0248144984974314
2.13,-0.025210356534898
2.135,-0.0256199397159264
2.14,-0.0260438798777688
2.145,-0.0264828486894998
2.15,-0.0269375606341553
2.155,-0.0274087762540711
2.16,-0.0278973056861394
2.165,-0.0284040125168893
2.17,-0.0289298179907289
2.175,-0.0294757056086481
2.18,-0.0300427261591782
2.185,-0.0306320032285108
2.19,-0.0312447392423991
2.195,-0.0318822220990889
2.2,-0.0325458324600516
2.205,-0.0332370517737997
2.21,-0.0339574711179537
2.215,-0.0347088009559412
2.22,-0.0354928819176443
2.225,-0.0363116967281983
2.23,-0.037167383426269
2.235,-0.0380622500330352
2.24,-0.0389987908559358
2.245,-0.0399797046380093
2.25,-0.0410079147945146
2.255,-0.0420865920147106
2.26,-0.0432191795487661
2.265,-0.0444094215492496
2.27,-0.045661394894573
2.275,-0.0469795449900539
2.28,-0.0483687261227711
2.285,-0.0498342470417602
2.29,-0.0513819225481665
2.295,-0.0530181320145776
2.3,-0.0547498859135434
2.305,-0.0565849016276141
2.31,-0.0585316900445142
2.315,-0.0605996547196617
2.32,-0.0627992057253566
2.325,-0.0651418907150074
2.33,-0.0676405462294492
2.335,-0.0703094728820035
2.34,-0.0731646388079309
2.345,-0.0762239166873256
2.35,-0.0795073607945231
2.355,-0.0830375319502021
2.36,-0.0868398800318508
2.365,-0.0909431959333937
2.37,-0.0953801476876942
2.375,-0.100187919049223
2.38,-0.105408973409701
2.385,-0.111091971795355
2.39,-0.117292881287331
2.395,-0.12407632008129
2.4,-0.131517198331607
2.405,-0.139702730975353
2.41,-0.148734921383054
2.415,-0.158733645014982
2.42,-0.169840503214631
2.425,-0.182223673048717
2.43,-0.196084055773454
2.435,-0.211663132925825
2.44,-0.229253088272213
2.445,-0.249209965407325
2.45,-0.271970934182946
2.455,-0.298077179547279
2.46,-0.328204573975372
2.465,-0.363205260068517
2.47,-0.40416473006307
2.475,-0.452481231656072
2.48,-0.509977830487298
2.485,-0.579063019396448
2.49,-0.662964755258551
2.495,-0.766077622654802
2.5,-0.894487741851042
2.505,-1.05678283617332
2.51,-1.26533006606519
2.515,-1.53833973800334
2.52,-1.90328488882401
2.525,-2.40273618009387
2.53,-3.10469491922015
2.535,-4.121942351565
2.54,-5.65205970814332
2.545,-8.07730400254347
2.55,-12.310592147571
2.555,-21.5203261294322
2.56,-17.6364824420017
2.565,-10.7161781623878
2.57,-7.26250576066666
2.575,-5.20438066664068
2.58,-3.87728513699644
2.585,-2.97979805869542
2.59,-2.35073675123729
2.595,-1.89647857116958
2.6,-1.55985945667353
2.605,-1.30467927526592
2.61,-1.10730965864328
2.615,-0.951911573581766
2.62,-0.827609172207127
2.625,-0.7267694831533
2.63,-0.643927586497109
2.635,-0.575098945038619
2.64,-0.517329689464317
2.645,-0.468396482746552
2.65,-0.426602400306825
2.655,-0.390635659434473
2.66,-0.359470245669334
2.665,-0.332294948734607
2.67,-0.30846197131684
2.675,-0.287449224374051
2.68,-0.26883232657784
2.685,-0.252263574043902
2.69,-0.237455977772498
2.695,-0.2241710276204
2.7,-0.212209225901052
2.705,-0.201402700096782
2.71,-0.191609391050279
2.715,-0.182708445596379
2.72,-0.174596537676418
2.725,-0.167184910848399
2.73,-0.160396985468741
2.735,-0.154166410982688
2.74,-0.14843547141603
2.745,-0.143153772909641
2.75,-0.13827715782538
2.755,-0.133766801899312
2.76,-0.129588460080808
2.765,-0.12571183376983
2.77,-0.122110037660458
2.775,-0.118759148694181
2.78,-0.115637823003437
2.785,-0.112726969395111
2.79,-0.110009470044954
2.795,-0.107469940767978
2.8,-0.105094524589555
2.805,-0.102870713438075
2.81,-0.10078719366795
2.815,-0.0988337118437694
2.82,-0.0970009578061697
2.825,-0.0952804625235282
2.83,-0.0936645086316382
2.835,-0.09214605189217
2.84,-0.0907186520734634
2.845,-0.0893764119837623
2.85,-0.0881139235763271
2.855,-0.0869262202043061
2.86,-0.0858087342361648
2.865,-0.0847572593547793
2.87,-0.0837679169577027
2.875,-0.0828371261565452
2.88,-0.0819615769413591
2.885,-0.081138206134038
2.89,-0.0803641758041991
2.895,-0.0796368538634056
2.9,-0.0789537965899905
2.905,-0.0783127328679553
2.91,-0.0777115499503805
2.915,-0.0771482805810721
2.92,-0.0766210913282418
2.925,-0.0761282720015989
2.93,-0.0756682260392518
2.935,-0.0752394617642044
2.94,-0.0748405844215926
2.945,-0.0744702889180135
2.95,-0.0741273531930438
2.955,-0.0738106321607852
2.96,-0.0735190521661179
2.965,-0.0732516059062252
2.97,-0.0730073477733765
2.975,-0.0727853895794047
2.98,-0.0725848966266415
2.985,-0.0724050840935309
2.99,-0.0722452137064975
2.995,-0.0721045906724707
3,-0.0719825608489713
