"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-1.01419033712681
2.005,-0.832208767640546
2.01,-0.694500146304127
2.015,-0.588306197350844
2.02,-0.505004943107045
2.025,-0.438649947126459
2.03,-0.385058573625061
2.035,-0.341233758660421
2.04,-0.304990602932523
2.045,-0.274710711916443
2.05,-0.249177603366963
2.055,-0.22746448291516
2.06,-0.208856447342603
2.065,-0.192795707569695
2.07,-0.178842453730778
2.075,-0.16664651246849
2.08,-0.155926557948074
2.085,-0.146454681660356
2.09,-0.138044812275174
2.095,-0.130543934601404
2.1,-0.123825366365828
2.105,-0.117783563731159
2.11,-0.11233007370944
2.115,-0.107390354984832
2.12,-0.102901262022649
2.125,-0.0988090399614949
2.13,-0.095067715902771
2.135,-0.091637800083799
2.14,-0.0884852309828561
2.145,-0.0855805137020191
2.15,-0.0828980124461034
2.155,-0.0804153665852028
2.16,-0.0781130063867295
2.165,-0.075973749559917
2.17,-0.0739824636567655
2.175,-0.0721257824016139
2.18,-0.070391866386301
2.185,-0.0687702004249519
2.19,-0.0672514213289286
2.195,-0.0658271710265268
2.2,-0.0644899708805297
2.205,-0.0632331138011217
2.21,-0.0620505713509397
2.215,-0.0609369135237981
2.22,-0.0598872392724203
2.225,-0.0588971161815134
2.23,-0.0579625279454275
2.235,-0.0570798285257445
2.24,-0.0562457020422494
2.245,-0.0554571275982925
2.25,-0.0547113483639847
2.255,-0.0540058443427907
2.26,-0.0533383083322741
2.265,-0.0527066246613982
2.27,-0.0521088503467829
2.275,-0.0515431983610977
2.28,-0.0510080227496272
2.285,-0.050501805367352
2.29,-0.0500231440398026
2.295,-0.0495707419772986
2.3,-0.0491433982945898
2.305,-0.048739999507221
2.31,-0.0483595118924752
2.315,-0.0480009746168664
2.32,-0.0476634935445295
2.325,-0.0473462356512768
2.33,-0.0470484239783968
2.335,-0.0467693330680595
2.34,-0.0465082848292039
2.345,-0.0462646447887242
2.35,-0.0460378186879873
2.355,-0.0458272493893661
2.36,-0.0456324140613677
2.365,-0.045452821614532
2.37,-0.0452880103632867
2.375,-0.0451375458917141
2.38,-0.0450010191035057
2.385,-0.0448780444385288
2.39,-0.0447682582402722
2.395,-0.0446713172600856
2.4,-0.0445868972855647
2.405,-0.0445146918817542
2.41,-0.0444544112349676
2.415,-0.0444057810900639
2.42,-0.0443685417728923
2.425,-0.0443424472904719
2.43,-0.0443272645021761
2.435,-0.0443227723558188
2.44,-0.0443287611831767
2.445,-0.0443450320499221
2.45,-0.0443713961554763
2.455,-0.044407674278673
2.46,-0.0444536962655133
2.465,-0.0445093005556208
2.47,-0.0445743337443163
2.475,-0.0446486501775072
2.48,-0.0447321115768537
2.485,-0.0448245866928418
2.49,-0.0449259509836648
2.495,-0.0450360863179634
2.5,-0.0451548806996343
2.505,-0.0452822280130886
2.51,-0.0454180277874813
2.515,-0.045562184978537
2.52,-0.0457146097667198
2.525,-0.0458752173706169
2.53,-0.046043927874489
2.535,-0.0462206660690039
2.54,-0.0464053613043071
2.545,-0.0465979473546062
2.55,-0.046798362293509
2.555,-0.0470065483795074
2.56,-0.0472224519509227
2.565,-0.0474460233297973
2.57,-0.047677216734217
2.575,-0.0479159901986162
2.58,-0.0481623055016398
2.585,-0.0484161281012386
2.59,-0.0486774270766532
2.595,-0.0489461750770333
2.6,-0.0492223482765
2.605,-0.049505926335441
2.61,-0.0497968923679423
2.615,-0.0500952329153153
2.62,-0.0504009379256834
2.625,-0.0507140007397071
2.63,-0.0510344180825832
2.635,-0.0513621900625614
2.64,-0.0516973201762285
2.645,-0.0520398153210345
2.65,-0.0523896858156021
2.655,-0.0527469454284198
2.66,-0.0531116114158855
2.665,-0.0534837045705988
2.67,-0.0538632492812485
2.675,-0.0542502736055075
2.68,-0.0546448093578038
2.685,-0.0550468922139514
2.69,-0.0554565618352457
2.695,-0.0558738620148083
2.7,-0.0562988408496002
2.705,-0.0567315509419127
2.71,-0.0571720496347188
2.715,-0.0576203992858482
2.72,-0.0580766675863407
2.725,-0.0585409279289385
2.73,-0.059013259832874
2.735,-0.0594937494311743
2.74,-0.059982490026429
2.745,-0.0604795827199013
2.75,-0.0609851371171508
2.755,-0.0614992721101656
2.76,-0.0620221167313416
2.765,-0.062553811067629
2.77,-0.0630945072134781
2.775,-0.0636443702279509
2.78,-0.0642035790443252
2.785,-0.0647723272590351
2.79,-0.0653508237016242
2.795,-0.0659392926590308
2.8,-0.0665379735992217
2.805,-0.0671471202147304
2.81,-0.0677669985930226
2.815,-0.0683978843270356
2.82,-0.0690400584161717
2.825,-0.0696938018869986
2.83,-0.0703593891915153
2.835,-0.0710370806198361
2.84,-0.071727114181037
2.845,-0.0724296976321414
2.85,-0.0731450015244442
2.855,-0.0738731542318475
2.86,-0.0746142398736681
2.865,-0.0753682998122457
2.87,-0.076135338002851
2.875,-0.0769153299583748
2.88,-0.077708234564865
2.885,-0.0785140075625757
2.89,-0.0793326152877413
2.895,-0.0801640472982
2.9,-0.0810083267621375
2.905,-0.0818655178995336
2.91,-0.0827357302285242
2.915,-0.0836191197876777
2.92,-0.0845158878129956
2.925,-0.0854262775183889
2.93,-0.0863505696684604
2.935,-0.0872890775739738
2.94,-0.0882421420225131
2.945,-0.0892101265160785
2.95,-0.0901934130508269
2.955,-0.0911923985583396
2.96,-0.0922074920394546
2.965,-0.0932391123611284
2.97,-0.0942876866502436
2.975,-0.0953536492004696
2.98,-0.0964374408036913
2.985,-0.097539508421441
2.99,-0.0986603051206005
2.995,-0.0998002902084404
3,-0.100959929513481
