"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-4.15166966608542
2.005,-3.20923387957483
2.01,-2.51486132408578
2.015,-2.0050797681536
2.02,-1.62704244647126
2.025,-1.34241981732979
2.03,-1.12453526271276
2.035,-0.954971578383465
2.04,-0.820940701000223
2.045,-0.713457835512573
2.05,-0.626119303001738
2.055,-0.554291627793254
2.06,-0.494571556953788
2.065,-0.444423068673839
2.07,-0.401930346386423
2.075,-0.365627394668311
2.08,-0.334378890026311
2.085,-0.307295720061553
2.09,-0.283674318920407
2.095,-0.262952542295618
2.1,-0.244677186179705
2.105,-0.22847980447163
2.11,-0.214058511627837
2.115,-0.201164150424505
2.12,-0.189589677484279
2.125,-0.179161944882766
2.13,-0.169735283122366
2.135,-0.161186450683485
2.14,-0.153410629225398
2.145,-0.146318225389612
2.15,-0.139832299604342
2.155,-0.133886485839753
2.16,-0.128423298447615
2.165,-0.123392746199651
2.17,-0.118751191647931
2.175,-0.114460407557241
2.18,-0.110486792543712
2.185,-0.106800716021584
2.19,-0.103375968713685
2.195,-0.100189299763009
2.2,-0.0972200252213754
2.205,-0.0944496956302163
2.21,-0.0918618127321681
2.215,-0.0894415871985239
2.22,-0.0871757307322137
2.225,-0.0850522770894682
2.23,-0.0830604275172612
2.235,-0.081190416876347
2.24,-0.0794333973478925
2.245,-0.077781337134824
2.25,-0.0762269319896071
2.255,-0.074763527746324
2.26,-0.0733850523207371
2.265,-0.0720859558790657
2.27,-0.0708611580732255
2.275,-0.0697060014047449
2.28,-0.0686162099172411
2.285,-0.0675878525328946
2.29,-0.0666173104457311
2.295,-0.0657012480666991
2.3,-0.0648365870852114
2.305,-0.0640204832708526
2.31,-0.0632503056894081
2.315,-0.0625236180502555
2.32,-0.0618381619389664
2.325,-0.0611918417205105
2.33,-0.060582710925519
2.335,-0.0600089599555082
2.34,-0.0594689049630337
2.345,-0.0589609777802944
2.35,-0.0584837167847817
2.355,-0.0580357586037238
2.36,-0.057615830570571
2.365,-0.0572227438566875
2.37,-0.0568553872101759
2.375,-0.0565127212414109
2.38,-0.0561937732014966
2.385,-0.0558976322058287
2.39,-0.0556234448600295
2.395,-0.0553704112501758
2.4,-0.0551377812631475
2.405,-0.0549248512066504
2.41,-0.0547309607014118
2.415,-0.0545554898210505
2.42,-0.0543978564574384
2.425,-0.0542575138916382
2.43,-0.0541339485525433
2.435,-0.0540266779469149
2.44,-0.0539352487462775
2.445,-0.0538592350173535
2.45,-0.0537982365841265
2.455,-0.053751877510595
2.46,-0.0537198046944112
2.465,-0.0537016865623875
2.47,-0.0536972118597973
2.475,-0.0537060885259645
2.48,-0.0537280426494401
2.485,-0.0537628174966021
2.49,-0.0538101726079894
2.495,-0.0538698829572871
2.5,-0.0539417381682282
2.505,-0.0540255417850733
2.51,-0.0541211105927678
2.515,-0.0542282739830978
2.52,-0.0543468733635445
2.525,-0.0544767616057399
2.53,-0.0546178025307621
2.535,-0.0547698704285932
2.54,-0.0549328496094133
2.545,-0.0551066339844637
2.55,-0.0552911266745001
2.555,-0.0554862396438551
2.56,-0.0556918933584669
2.565,-0.0559080164661863
2.57,-0.056134545497876
2.575,-0.056371424587969
2.58,-0.0566186052131371
2.585,-0.0568760459479811
2.59,-0.057143712236626
2.595,-0.0574215761792771
2.6,-0.0577096163328898
2.605,-0.058007817525248
2.61,-0.0583161706818102
2.615,-0.0586346726649551
2.62,-0.0589633261253692
2.625,-0.0593021393655729
2.63,-0.0596511262159747
2.635,-0.0600103059241415
2.64,-0.0603797030585703
2.645,-0.0607593474289645
2.65,-0.06114927402594
2.655,-0.0615495229843284
2.66,-0.0619601395759844
2.665,-0.0623811742402516
2.67,-0.0628126826633092
2.675,-0.0632547259217484
2.68,-0.0637073707112162
2.685,-0.0641706896885041
2.69,-0.064644761965139
2.695,-0.0651296738039001
2.7,-0.0656255195867142
2.705,-0.0661324031447412
2.71,-0.0666504395696116
2.715,-0.0671797576590731
2.72,-0.0677205031899396
2.725,-0.0682728432519705
2.73,-0.068836971908938
2.735,-0.0694131174576066
2.74,-0.0700015514943818
2.745,-0.0706025998084131
2.75,-0.0712166546961536
2.755,-0.0718441874924705
2.76,-0.0724857587751178
2.765,-0.073142021731628
2.77,-0.0738137117668584
2.775,-0.0745016134004472
2.78,-0.0752064957137164
2.785,-0.0759290129074013
2.79,-0.0766695793961245
2.795,-0.0774282480538157
2.8,-0.0782046370866297
2.805,-0.0789979506202055
2.81,-0.0798071099736437
2.815,-0.0806309653475687
2.82,-0.0814685196586105
2.825,-0.0823190938050287
2.83,-0.0831823956966267
2.835,-0.0840584988675282
2.84,-0.0849477645022153
2.845,-0.0858507451866578
2.85,-0.0867680976755991
2.855,-0.0877005173067607
2.86,-0.0886486956770944
2.865,-0.0896132975337101
2.87,-0.0905949512245707
2.875,-0.0915942475985634
2.88,-0.092611743535707
2.885,-0.0936479675800134
2.89,-0.0947034261604565
2.895,-0.0957786095819743
2.9,-0.0968739974058183
2.905,-0.0979900630921922
2.91,-0.099127277913516
2.915,-0.100286114210161
2.92,-0.101467048083874
2.925,-0.102670561625805
2.93,-0.103897144767916
2.935,-0.105147296834456
2.94,-0.106421527857387
2.945,-0.107720359708045
2.95,-0.109044327087012
2.955,-0.11039397840577
2.96,-0.111769876586724
2.965,-0.113172599802677
2.97,-0.114602742172403
2.975,-0.116060914425527
2.98,-0.117547744547178
2.985,-0.119063878410771
2.99,-0.120609980405643
2.995,-0.122186734064902
3,-0.12379484269797
