"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0414213007521079
2.005,-0.0422787311927986
2.01,-0.0431885106032874
2.015,-0.0441526975763928
2.02,-0.0451734998251879
2.025,-0.046253285863384
2.03,-0.0473945977742672
2.035,-0.0486001651848943
2.04,-0.0498729205765108
2.045,-0.051216016078292
2.05,-0.0526328419098533
2.055,-0.0541270466590395
2.06,-0.0557025596053152
2.065,-0.0573636153266421
2.07,-0.059114780858965
2.075,-0.0609609857136177
2.08,-0.062907555099381
2.085,-0.0649602467437797
2.09,-0.0671252917633617
2.095,-0.069409440096678
2.1,-0.0718200110877264
2.105,-0.0743649498937544
2.11,-0.0770528904915811
2.115,-0.0798932261736218
2.12,-0.0828961885618086
2.125,-0.0860729363280923
2.13,-0.0894356549990332
2.135,-0.092997669444507
2.14,-0.0967735709133929
2.145,-0.10077936079061
2.15,-0.105032613619946
2.155,-0.109552662378003
2.16,-0.114360809511409
2.165,-0.119480567880983
2.17,-0.124937936515719
2.175,-0.13076171699529
2.18,-0.13698387738805
2.185,-0.143639972017574
2.19,-0.150769626971063
2.195,-0.158417103269559
2.2,-0.166631952083786
2.205,-0.175469779416708
2.21,-0.184993141433258
2.215,-0.195272596290764
2.22,-0.206387944157214
2.225,-0.218429694420668
2.23,-0.231500808310449
2.235,-0.245718776821233
2.24,-0.261218108679622
2.245,-0.278153322085195
2.25,-0.29670255837957
2.255,-0.317071967375258
2.26,-0.339501055142846
2.265,-0.364269238778577
2.27,-0.391703923385831
2.275,-0.422190510164119
2.28,-0.456184869360865
2.285,-0.494228979412529
2.29,-0.536970660029778
2.295,-0.585188635082126
2.3,-0.639824583364502
2.305,-0.70202441815351
2.31,-0.773191846901078
2.315,-0.855058397769185
2.32,-0.949775702312273
2.325,-1.06003810335717
2.33,-1.18924692654785
2.335,-1.34173248446267
2.34,-1.52305679752142
2.345,-1.7404302584405
2.35,-2.0032909152068
2.355,-2.32411897767293
2.36,-2.71959773132306
2.365,-3.21229789989609
2.37,-3.83318360298027
2.375,-4.62547984664602
2.38,-5.65095981209628
2.385,-7.00085319295508
2.39,-8.81581893914123
2.395,-11.3195238712585
2.4,-14.8009176197767
2.405,-18.4467275765355
2.41,-17.0565097937598
2.415,-13.1736976555791
2.42,-10.1994399585911
2.425,-8.07150798633673
2.43,-6.51160066873823
2.435,-5.33860983412073
2.44,-4.43838738856165
2.445,-3.73589452691814
2.45,-3.17982210055707
2.455,-2.73403442939938
2.46,-2.37251569790691
2.465,-2.0762104438596
2.47,-1.83095985477419
2.475,-1.62611042270761
2.48,-1.45355401725795
2.485,-1.307053876277
2.49,-1.18176457879799
2.495,-1.07388597354083
2.5,-0.980410929482472
2.505,-0.898939594195424
2.51,-0.827541306451854
2.515,-0.764650994327853
2.52,-0.708990763529547
2.525,-0.659510051073599
2.53,-0.615339579510278
2.535,-0.575755654757954
2.54,-0.540152278424737
2.545,-0.508019209273592
2.55,-0.478924587263364
2.555,-0.452501081670388
2.56,-0.428434779791832
2.565,-0.406456220931398
2.57,-0.386333120274656
2.575,-0.367864431993167
2.58,-0.350875479850243
2.585,-0.335213943460592
2.59,-0.320746534068614
2.595,-0.307356228821871
2.6,-0.294939959643921
2.605,-0.283406673890147
2.61,-0.272675700439821
2.615,-0.262675367813446
2.62,-0.253341831117641
2.625,-0.244618072722179
2.63,-0.236453048033339
2.635,-0.228800952900256
2.64,-0.221620593352121
2.645,-0.214874841725306
2.65,-0.208530165966438
2.655,-0.202556221117882
2.66,-0.196925493808026
2.665,-0.191612992058465
2.67,-0.186595973947446
2.675,-0.181853709683026
2.68,-0.177367272480429
2.685,-0.173119354337838
2.69,-0.169094103388665
2.695,-0.165276979997442
2.7,-0.161654629176746
2.705,-0.158214767248365
2.71,-0.154946080963701
2.715,-0.151838137545582
2.72,-0.148881304323418
2.725,-0.14606667681219
2.73,-0.143386014238123
2.735,-0.140831681644136
2.74,-0.138396597819883
2.745,-0.136074188397142
2.75,-0.133858343533943
2.755,-0.131743379682095
2.76,-0.129724004994512
2.765,-0.127795287982045
2.77,-0.125952629076012
2.775,-0.124191734792898
2.78,-0.122508594232938
2.785,-0.120899457674849
2.79,-0.119360817056027
2.795,-0.117889388150909
2.8,-0.116482094280852
2.805,-0.115136051407155
2.81,-0.113848554474674
2.815,-0.11261706488771
2.82,-0.111439199012193
2.825,-0.110312717609309
2.83,-0.109235516115374
2.835,-0.108205615691454
2.84,-0.107221154973963
2.845,-0.106280382464229
2.85,-0.105381649501197
2.855,-0.104523403766763
2.86,-0.103704183278271
2.865,-0.102922610826812
2.87,-0.10217738882405
2.875,-0.101467294523686
2.88,-0.100791175586794
2.885,-0.100147945963157
2.89,-0.0995365820631002
2.895,-0.0989561191968148
2.9,-0.0984056482599711
2.905,-0.0978843126464998
2.91,-0.0973913053709139
2.915,-0.0969258663841548
2.92,-0.0964872800683038
2.925,-0.0960748728966973
2.93,-0.0956880112471635
2.935,-0.095326099357069
2.94,-0.094988577409849
2.945,-0.0946749197434472
2.95,-0.0943846331720134
2.955,-0.0941172554126921
2.96,-0.0938723536101922
2.965,-0.0936495229522633
2.97,-0.0934483853697814
2.975,-0.0932685883156634
2.98,-0.093109803617203
2.985,-0.0929717263969169
2.99,-0.0928540740572717
2.995,-0.0927565853250875
3,-0.0926790193516762
