"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0249686106094608
2.005,-0.0252349809219172
2.01,-0.0255047032063802
2.015,-0.0257778230392753
2.02,-0.0260543870712481
2.025,-0.0263344430516892
2.03,-0.0266180398540027
2.035,-0.0269052275015842
2.04,-0.0271960571946028
2.045,-0.0274905813375343
2.05,-0.0277888535675313
2.055,-0.0280909287836272
2.06,-0.0283968631767946
2.065,-0.0287067142609226
2.07,-0.029020540904699
2.075,-0.0293384033644524
2.08,-0.0296603633179831
2.085,-0.0299864838994184
2.09,-0.0303168297351011
2.095,-0.030651466980587
2.1,-0.0309904633587587
2.105,-0.0313338881991049
2.11,-0.0316818124781843
2.115,-0.0320343088613687
2.12,-0.0323914517458361
2.125,-0.0327533173049065
2.13,-0.0331199835337594
2.135,-0.0334915302965686
2.14,-0.033868039375112
2.145,-0.0342495945188974
2.15,-0.0346362814968806
2.155,-0.03502818815081
2.16,-0.035425404450258
2.165,-0.035828022549417
2.17,-0.0362361368456947
2.175,-0.0366498440402081
2.18,-0.0370692432002064
2.185,-0.0374944358235282
2.19,-0.0379255259051377
2.195,-0.0383626200058493
2.2,-0.0388058273232715
2.205,-0.0392552597651213
2.21,-0.0397110320249236
2.215,-0.040173261660222
2.22,-0.0406420691734384
2.225,-0.0411175780953513
2.23,-0.0415999150714636
2.235,-0.0420892099512237
2.24,-0.0425855958802824
2.245,-0.043089209395891
2.25,-0.0436001905255547
2.255,-0.0441186828890766
2.26,-0.0446448338040967
2.265,-0.0451787943953059
2.27,-0.0457207197074413
2.275,-0.046270768822233
2.28,-0.0468291049794621
2.285,-0.0473958957022554
2.29,-0.0479713129268578
2.295,-0.0485555331369789
2.3,-0.0491487375029781
2.305,-0.0497511120260071
2.31,-0.0503628476873817
2.315,-0.0509841406033655
2.32,-0.0516151921855568
2.325,-0.0522562093071981
2.33,-0.0529074044755416
2.335,-0.0535689960106318
2.34,-0.0542412082306931
2.345,-0.0549242716444511
2.35,-0.0556184231506509
2.355,-0.0563239062451014
2.36,-0.0570409712355687
2.365,-0.057769875464813
2.37,-0.0585108835421983
2.375,-0.0592642675841799
2.38,-0.0600303074640789
2.385,-0.0608092910715811
2.39,-0.0616015145823389
2.395,-0.0624072827381666
2.4,-0.0632269091382851
2.405,-0.0640607165421017
2.41,-0.0649090371840756
2.415,-0.0657722131011741
2.42,-0.0666505964735436
2.425,-0.0675445499789629
2.43,-0.0684544471617129
2.435,-0.0693806728165683
2.44,-0.0703236233885719
2.445,-0.0712837073893603
2.45,-0.0722613458307956
2.455,-0.073256972676744
2.46,-0.0742710353138707
2.465,-0.075303995042302
2.47,-0.0763563275872108
2.475,-0.0774285236322338
2.48,-0.0785210893758658
2.485,-0.0796345471118866
2.49,-0.0807694358350661
2.495,-0.0819263118733567
2.5,-0.0831057495478781
2.505,-0.0843083418621528
2.51,-0.0855347012219837
2.515,-0.0867854601875714
2.52,-0.0880612722595171
2.525,-0.0893628127003912
2.53,-0.0906907793937894
2.535,-0.0920458937427248
2.54,-0.0934289016094642
2.545,-0.0948405742989653
2.55,-0.0962817095881967
2.555,-0.0977531328038096
2.56,-0.0992556979507057
2.565,-0.100790288894241
2.57,-0.102357820598982
2.575,-0.103959240427056
2.58,-0.105595529499378
2.585,-0.107267704123191
2.59,-0.108976817289603
2.595,-0.110723960245005
2.6,-0.112510264140511
2.605,-0.114336901763839
2.61,-0.116205089358248
2.615,-0.118116088533583
2.62,-0.120071208274628
2.625,-0.122071807052467
2.63,-0.124119295044782
2.635,-0.126215136471505
2.64,-0.128360852052576
2.645,-0.130558021595115
2.65,-0.132808286717611
2.655,-0.135113353719492
2.66,-0.137474996604732
2.665,-0.139895060268967
2.67,-0.142375463860043
2.675,-0.144918204322759
2.68,-0.147525360139152
2.685,-0.150199095276601
2.69,-0.152941663356763
2.695,-0.15575541205931
2.7,-0.158642787775458
2.705,-0.161606340527248
2.71,-0.164648729169765
2.715,-0.167772726894647
2.72,-0.170981227054603
2.725,-0.174277249330071
2.73,-0.177663946260668
2.735,-0.181144610165811
2.74,-0.18472268048061
2.745,-0.188401751535123
2.75,-0.192185580807165
2.755,-0.196078097681139
2.76,-0.20008341274773
2.765,-0.204205827682144
2.77,-0.208449845741227
2.775,-0.212820182923127
2.78,-0.21732177983638
2.785,-0.221959814329066
2.79,-0.226739714932613
2.795,-0.231667175179108
2.8,-0.236748168855716
2.805,-0.241988966264798
2.81,-0.247396151563906
2.815,-0.252976641265695
2.82,-0.258737703984475
2.825,-0.264686981522929
2.83,-0.27083251140045
2.835,-0.277182750932654
2.84,-0.283746602980889
2.845,-0.290533443500194
2.85,-0.297553151025131
2.855,-0.304816138244266
2.86,-0.312333385826996
2.865,-0.320116478680016
2.87,-0.328177644825764
2.875,-0.336529797111452
2.88,-0.3451865779749
2.885,-0.354162407512696
2.89,-0.363472535116981
2.895,-0.373133094969775
2.9,-0.383161165708389
2.905,-0.393574834601873
2.91,-0.404393266607413
2.915,-0.415636778706514
2.92,-0.427326919954438
2.925,-0.439486557712487
2.93,-0.452139970571583
2.935,-0.465312948517255
2.94,-0.479032900930644
2.945,-0.493328973067599
2.95,-0.508232171708251
2.955,-0.523775500722408
2.96,-0.539994107351773
2.965,-0.556925440067707
2.97,-0.574609418922661
2.975,-0.593088619373726
2.98,-0.612408470616862
2.985,-0.632617469528983
2.99,-0.653767411370071
2.995,-0.675913638446733
3,-0.699115307978353
