"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0276070267283533
2.005,-0.0277729270356634
2.01,-0.0279695860037677
2.015,-0.0281964695354626
2.02,-0.028453066076466
2.025,-0.0287388875709486
2.03,-0.0290534703913636
2.035,-0.0293963762461376
2.04,-0.0297671930688951
2.045,-0.0301655358930031
2.05,-0.0305910477152848
2.055,-0.0310434003528453
2.06,-0.0315222952970476
2.065,-0.0320274645688146
2.07,-0.0325586715794583
2.075,-0.0331157120014526
2.08,-0.0336984146536006
2.085,-0.0343066424052596
2.09,-0.0349402931043602
2.095,-0.035599300534191
2.1,-0.0362836354040685
2.105,-0.0369933063791982
2.11,-0.0377283611552762
2.115,-0.0384888875836271
2.12,-0.0392750148529366
2.125,-0.0400869147339166
2.13,-0.0409248028936265
2.135,-0.0417889402864499
2.14,-0.0426796346292668
2.145,-0.0435972419686175
2.15,-0.044542168348342
2.155,-0.0455148715865801
2.16,-0.0465158631716679
2.165,-0.0475457102871366
2.17,-0.0486050379766955
2.175,-0.0496945314609444
2.18,-0.0508149386183603
2.185,-0.0519670726441633
2.19,-0.0531518149016372
2.195,-0.0543701179817314
2.2,-0.0556230089880368
2.205,-0.0569115930656272
2.21,-0.0582370571939057
2.215,-0.0596006742652356
2.22,-0.06100380747316
2.225,-0.062447915036038
2.23,-0.063934555284334
2.235,-0.0654653921423442
2.24,-0.0670422010380452
2.245,-0.0686668752779193
2.25,-0.0703414329270589
2.255,-0.0720680242389205
2.26,-0.0738489396832609
2.265,-0.0756866186257061
2.27,-0.0775836587177545
2.275,-0.0795428260619876
2.28,-0.081567066223874
2.285,-0.0836595161690899
2.29,-0.0858235172134266
2.295,-0.0880626290818047
2.3,-0.0903806451831973
2.305,-0.0927816092199375
2.31,-0.0952698332630285
2.315,-0.0978499174396702
2.32,-0.100526771395867
2.325,-0.103305637715527
2.33,-0.106192117498532
2.335,-0.109192198324028
2.34,-0.112312284851981
2.345,-0.115559232346567
2.35,-0.118940383439497
2.355,-0.122463608490537
2.36,-0.126137349947291
2.365,-0.129970671157112
2.37,-0.133973310142198
2.375,-0.138155738915374
2.38,-0.142529228990234
2.385,-0.14710592382666
2.39,-0.151898919053169
2.395,-0.156922351423251
2.4,-0.162191497596268
2.405,-0.167722883987634
2.41,-0.173534409111867
2.415,-0.179645480049124
2.42,-0.186077164907095
2.425,-0.192852363430942
2.43,-0.199995998241918
2.435,-0.207535229569318
2.44,-0.215499696790515
2.445,-0.223921790623293
2.45,-0.232836960438385
2.455,-0.24228406189707
2.46,-0.252305750991148
2.465,-0.262948931598666
2.47,-0.274265264901692
2.475,-0.286311750484131
2.48,-0.299151390688598
2.485,-0.312853951924809
2.49,-0.327496839165444
2.495,-0.343166102935508
2.5,-0.359957601817955
2.505,-0.377978348011821
2.51,-0.397348068977325
2.515,-0.418201024921392
2.52,-0.440688130115235
2.525,-0.464979436169778
2.53,-0.491267047903765
2.535,-0.519768557933811
2.54,-0.550731105375466
2.545,-0.584436188071104
2.55,-0.621205387844311
2.555,-0.661407206088964
2.56,-0.705465254699658
2.565,-0.753868107760566
2.57,-0.807181196226378
2.575,-0.866061225912638
2.58,-0.93127372489228
2.585,-1.00371448842947
2.59,-1.08443589935288
2.595,-1.17467937482733
2.6,-1.2759155481399
2.605,-1.3898942660455
2.61,-1.51870711054634
2.615,-1.66486600004786
2.62,-1.83140258071774
2.625,-2.0219947278959
2.63,-2.24112877179747
2.635,-2.49430943413635
2.64,-2.78833460495744
2.645,-3.13166027233369
2.65,-3.53489456152499
2.655,-4.01148371979965
2.66,-4.5786967638805
2.665,-5.25910016368957
2.67,-6.08288569504872
2.675,-7.09178297727777
2.68,-8.34613144441232
2.685,-9.93877228316734
2.69,-12.0250310316411
2.695,-14.8936147952753
2.7,-19.1180269047747
2.705,-24.5515847216602
2.71,-21.7769498945378
2.715,-16.7180864266324
2.72,-13.342780428386
2.725,-10.9690280013902
2.73,-9.19673520529874
2.735,-7.82078093738586
2.74,-6.72437424574948
2.745,-5.83452861836884
2.75,-5.1023105764174
2.755,-4.49317496382943
2.76,-3.98179749033309
2.765,-3.5490925699668
2.77,-3.18037649228761
2.775,-2.86417255270149
2.78,-2.59139825750267
2.785,-2.35479233032307
2.79,-2.14849928232329
2.795,-1.96776155931203
2.8,-1.80868746782625
2.805,-1.66807383035372
2.81,-1.54326895681434
2.815,-1.43206578574556
2.82,-1.33261788989612
2.825,-1.24337299099661
2.83,-1.16302000070668
2.835,-1.09044659019904
2.84,-1.02470501029482
2.845,-0.964984416393334
2.85,-0.910588350670966
2.855,-0.860916334696954
2.86,-0.8154487544243
2.865,-0.773734394844376
2.87,-0.735380116775288
2.875,-0.700042273069438
2.88,-0.667419543221988
2.885,-0.637246929351638
2.89,-0.609290706880142
2.895,-0.583344163039891
2.9,-0.559223987935965
2.905,-0.536767208076656
2.91,-0.51582857244523
2.915,-0.4962783173833
2.92,-0.478000249619908
2.925,-0.460890097356113
2.93,-0.444854087907043
2.935,-0.429807717408491
2.94,-0.415674683826157
2.945,-0.402385959209568
2.95,-0.389878981006636
2.955,-0.37809694545482
2.96,-0.366988188716724
2.965,-0.356505643631957
2.97,-0.346606361794418
2.975,-0.337251092199953
2.98,-0.328403908996933
2.985,-0.32003188195459
2.99,-0.312104784176004
2.995,-0.304594832353431
3,-0.297476455516527
