"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0320852659533874
2.005,-0.0323093194314161
2.01,-0.0325433031108616
2.015,-0.0327870101264906
2.02,-0.0330402402253679
2.025,-0.0333027998656893
2.03,-0.0335745023094639
2.035,-0.0338551677091016
2.04,-0.0341446231879288
2.045,-0.0344427029147193
2.05,-0.0347492481722619
2.055,-0.0350641074200703
2.06,-0.0353871363513377
2.065,-0.0357181979441506
2.07,-0.0360571625071797
2.075,-0.0364039077198343
2.08,-0.0367583186671032
2.085,-0.0371202878691464
2.09,-0.0374897153057754
2.095,-0.0378665084360127
2.1,-0.0382505822128093
2.105,-0.038641859093126
2.11,-0.0390402690435236
2.115,-0.0394457495414157
2.12,-0.0398582455721997
2.125,-0.0402777096223877
2.13,-0.0407041016689531
2.135,-0.0411373891651165
2.14,-0.0415775470226801
2.145,-0.0420245575911826
2.15,-0.042478410634061
2.155,-0.0429391033019852
2.16,-0.0434066401036443
2.165,-0.0438810328741359
2.17,-0.0443623007412002
2.175,-0.0448504700895421
2.18,-0.045345574523404
2.185,-0.0458476548276838
2.19,-0.0463567589277626
2.195,-0.0468729418483269
2.2,-0.0473962656713663
2.205,-0.0479267994936097
2.21,-0.0484646193836468
2.215,-0.0490098083389151
2.22,-0.0495624562428685
2.225,-0.0501226598225007
2.23,-0.0506905226064994
2.235,-0.0512661548842668
2.24,-0.0518496736660431
2.245,-0.0524412026443816
2.25,-0.0530408721572383
2.255,-0.0536488191528817
2.26,-0.0542651871569338
2.265,-0.0548901262417185
2.27,-0.0555237929982521
2.275,-0.056166350511056
2.28,-0.0568179683360842
2.285,-0.057478822482042
2.29,-0.0581490953952985
2.295,-0.05882897594872
2.3,-0.0595186594346423
2.305,-0.0602183475622736
2.31,-0.0609282484597928
2.315,-0.0616485766814129
2.32,-0.0623795532197018
2.325,-0.0631214055234283
2.33,-0.0638743675212272
2.335,-0.0646386796513764
2.34,-0.0654145888979757
2.345,-0.0662023488338396
2.35,-0.0670022196704018
2.355,-0.0678144683149633
2.36,-0.0686393684355806
2.365,-0.0694772005339451
2.37,-0.0703282520266046
2.375,-0.0711928173348252
2.38,-0.0720711979834923
2.385,-0.0729637027094254
2.39,-0.0738706475794361
2.395,-0.0747923561185606
2.4,-0.0757291594488725
2.405,-0.0766813964392408
2.41,-0.0776494138665373
2.415,-0.0786335665886705
2.42,-0.0796342177299403
2.425,-0.0806517388792007
2.43,-0.0816865103013036
2.435,-0.082738921162337
2.44,-0.0838093697692404
2.445,-0.0848982638242801
2.45,-0.0860060206950405
2.455,-0.0871330677004903
2.46,-0.0882798424137654
2.465,-0.0894467929823529
2.47,-0.0906343784663216
2.475,-0.091843069195353
2.48,-0.0930733471453192
2.485,-0.0943257063351755
2.49,-0.0956006532450231
2.495,-0.0968987072561733
2.5,-0.0982204011141198
2.505,-0.0995662814154143
2.51,-0.100936909119343
2.515,-0.102332860085546
2.52,-0.103754725638582
2.525,-0.105203113160667
2.53,-0.106678646713696
2.535,-0.108181967691907
2.54,-0.109713735506428
2.545,-0.111274628303157
2.55,-0.112865343715398
2.555,-0.114486599652835
2.56,-0.116139135128413
2.565,-0.117823711124855
2.57,-0.119541111502612
2.575,-0.121292143951096
2.58,-0.12307764098521
2.585,-0.124898460989253
2.59,-0.126755489310362
2.595,-0.128649639403877
2.6,-0.130581854032985
2.605,-0.132553106525261
2.61,-0.134564402088793
2.615,-0.13661677919074
2.62,-0.138711311001353
2.625,-0.140849106906576
2.63,-0.143031314092638
2.635,-0.145259119206092
2.64,-0.14753375009307
2.645,-0.14985647762167
2.65,-0.152228617591584
2.655,-0.154651532735402
2.66,-0.157126634816133
2.665,-0.159655386825901
2.67,-0.162239305290881
2.675,-0.164879962688002
2.68,-0.167578989979097
2.685,-0.170338079268601
2.69,-0.173158986591246
2.695,-0.176043534836497
2.7,-0.178993616816938
2.705,-0.182011198488199
2.71,-0.185098322328452
2.715,-0.188257110885969
2.72,-0.191489770503763
2.725,-0.194798595230798
2.73,-0.198185970929873
2.735,-0.201654379592826
2.74,-0.205206403874382
2.745,-0.208844731856598
2.75,-0.21257216205658
2.755,-0.216391608690924
2.76,-0.220306107211105
2.765,-0.224318820124875
2.77,-0.228433043119737
2.775,-0.232652211505368
2.78,-0.236979906993017
2.785,-0.24141986483096
2.79,-0.245975981316215
2.795,-0.250652321703957
2.8,-0.255453128537471
2.805,-0.260382830422725
2.81,-0.26544605127326
2.815,-0.270647620052568
2.82,-0.275992581042892
2.825,-0.281486204671076
2.83,-0.287133998924051
2.835,-0.292941721388524
2.84,-0.29891539195159
2.845,-0.30506130620124
2.85,-0.31138604956819
2.855,-0.317896512253006
2.86,-0.324599904985206
2.865,-0.331503775663981
2.87,-0.33861602693321
2.875,-0.345944934746696
2.88,-0.353499167983112
2.885,-0.361287809173704
2.89,-0.369320376409811
2.895,-0.37760684650136
2.9,-0.386157679461854
2.905,-0.394983844400074
2.91,-0.404096846903596
2.915,-0.413508758004451
2.92,-0.423232244822706
2.925,-0.43328060298961
2.93,-0.443667790958043
2.935,-0.454408466314425
2.94,-0.465518024213123
2.945,-0.477012638061425
2.95,-0.488909302590751
2.955,-0.501225879457558
2.96,-0.51398114552566
2.965,-0.527194843990287
2.97,-0.540887738513118
2.975,-0.555081670546866
2.98,-0.569799620037711
2.985,-0.58506576970373
2.99,-0.600905573097977
2.995,-0.61734582667521
3,-0.634414746092315
