"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.00236836148831699
2.005,-0.00237437951050249
2.01,-0.00238039187767574
2.015,-0.00238639883209204
2.02,-0.00239240061410422
2.025,-0.00239839746217999
2.03,-0.00240438961293574
2.035,-0.00241037730116347
2.04,-0.00241636075983182
2.045,-0.00242234022014579
2.05,-0.0024283159115362
2.055,-0.00243428806169726
2.06,-0.00244025689661355
2.065,-0.00244622264057068
2.07,-0.00245218551618708
2.075,-0.00245814574442557
2.08,-0.00246410354462713
2.085,-0.0024700591345157
2.09,-0.00247601273023676
2.095,-0.00248196454635926
2.1,-0.00248791479591131
2.105,-0.00249386369039367
2.11,-0.00249981143979325
2.115,-0.00250575825261492
2.12,-0.00251170433588831
2.125,-0.0025176498951928
2.13,-0.00252359513467304
2.135,-0.0025295402570659
2.14,-0.00253548546370045
2.145,-0.00254143095453466
2.15,-0.00254737692816213
2.155,-0.00255332358182847
2.16,-0.00255927111145636
2.165,-0.00256521971165429
2.17,-0.00257116957573482
2.175,-0.00257712089573003
2.18,-0.00258307386241757
2.185,-0.00258902866532163
2.19,-0.00259498549273412
2.195,-0.00260094453173689
2.2,-0.00260690596820265
2.205,-0.00261286998682589
2.21,-0.00261883677112187
2.215,-0.00262480650345941
2.22,-0.00263077936505901
2.225,-0.00263675553601205
2.23,-0.00264273519529342
2.235,-0.00264871852078654
2.24,-0.00265470568928048
2.245,-0.00266069687649021
2.25,-0.00266669225707492
2.255,-0.0026726920046448
2.26,-0.00267869629177257
2.265,-0.00268470529001761
2.27,-0.00269071916991248
2.275,-0.00269673810101399
2.28,-0.00270276225187912
2.285,-0.00270879179009781
2.29,-0.00271482688230163
2.295,-0.00272086769416281
2.3,-0.00272691439042996
2.305,-0.0027329671349145
2.31,-0.00273902609051292
2.315,-0.00274509141922216
2.32,-0.00275116328215023
2.325,-0.00275724183950755
2.33,-0.00276332725065224
2.335,-0.00276941967406315
2.34,-0.00277551926737844
2.345,-0.00278162618739363
2.35,-0.00278774059007509
2.355,-0.00279386263056587
2.36,-0.00279999246319823
2.365,-0.0028061302415042
2.37,-0.00281227611822625
2.375,-0.00281843024531919
2.38,-0.00282459277397234
2.385,-0.00283076385460669
2.39,-0.00283694363688738
2.395,-0.00284313226974011
2.4,-0.00284932990134345
2.405,-0.00285553667916355
2.41,-0.00286175274992905
2.415,-0.00286797825967158
2.42,-0.00287421335371232
2.425,-0.00288045817668314
2.43,-0.00288671287252567
2.435,-0.00289297758450676
2.44,-0.00289925245521844
2.445,-0.00290553762659624
2.45,-0.00291183323991924
2.455,-0.00291813943581872
2.46,-0.00292445635428777
2.465,-0.00293078413467944
2.47,-0.00293712291573852
2.475,-0.00294347283557934
2.48,-0.00294983403170703
2.485,-0.00295620664103199
2.49,-0.00296259079986213
2.495,-0.00296898664391447
2.5,-0.00297539430833254
2.505,-0.00298181392766991
2.51,-0.00298824563592689
2.515,-0.00299468956653028
2.52,-0.00300114585235455
2.525,-0.00300761462572383
2.53,-0.00301409601841956
2.535,-0.00302059016168826
2.54,-0.0030270971862415
2.545,-0.00303361722226846
2.55,-0.00304015039943591
2.555,-0.0030466968469027
2.56,-0.00305325669331781
2.565,-0.00305983006682519
2.57,-0.00306641709508209
2.575,-0.00307301790524844
2.58,-0.00307963262399649
2.585,-0.00308626137753012
2.59,-0.00309290429157036
2.595,-0.00309956149137082
2.6,-0.00310623310172833
2.605,-0.00311291924697615
2.61,-0.00311962005099557
2.615,-0.00312633563721783
2.62,-0.0031330661286357
2.625,-0.00313981164780348
2.63,-0.00314657231683989
2.635,-0.00315334825743773
2.64,-0.00316013959086387
2.645,-0.00316694643797372
2.65,-0.00317376891919676
2.655,-0.00318060715456453
2.66,-0.00318746126369228
2.665,-0.00319433136580984
2.67,-0.00320121757973563
2.675,-0.00320812002390357
2.68,-0.00321503881636125
2.685,-0.0032219740747718
2.69,-0.00322892591641874
2.695,-0.00323589445820789
2.7,-0.00324287981668092
2.705,-0.00324988210800949
2.71,-0.00325690144800014
2.715,-0.00326393795210199
2.72,-0.00327099173541251
2.725,-0.00327806291267561
2.73,-0.00328515159828452
2.735,-0.00329225790629629
2.74,-0.003299381950425
2.745,-0.00330652384404565
2.75,-0.00331368370019994
2.755,-0.00332086163160879
2.76,-0.00332805775065986
2.765,-0.00333527216942385
2.77,-0.00334250499964595
2.775,-0.003349756352765
2.78,-0.00335702633989913
2.785,-0.00336431507186981
2.79,-0.00337162265917873
2.795,-0.00337894921203383
2.8,-0.00338629484034645
2.805,-0.00339365965372739
2.81,-0.00340104376149856
2.815,-0.00340844727268526
2.82,-0.00341587029603447
2.825,-0.00342331294000617
2.83,-0.00343077531278306
2.835,-0.00343825752225888
2.84,-0.00344575967607323
2.845,-0.00345328188157293
2.85,-0.00346082424584483
2.855,-0.00346838687571392
