"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0207836345892692
2.005,-0.0209979329486996
2.01,-0.0212157539369955
2.015,-0.0214371508900182
2.02,-0.0216621789175171
2.025,-0.0218908949519467
2.03,-0.0221233577992104
2.035,-0.0223596281914359
2.04,-0.0225997688418253
2.045,-0.0228438445017171
2.05,-0.0230919220198861
2.055,-0.0233440704042576
2.06,-0.0236003608860588
2.065,-0.0238608669865587
2.07,-0.0241256645864887
2.075,-0.0243948319982756
2.08,-0.0246684500411754
2.085,-0.0249466021194892
2.09,-0.0252293743039296
2.095,-0.0255168554163467
2.1,-0.0258091371178957
2.105,-0.0261063140008569
2.11,-0.026408483684249
2.115,-0.0267157469134028
2.12,-0.0270282076636793
2.125,-0.0273459732485301
2.13,-0.0276691544321199
2.135,-0.0279978655466625
2.14,-0.028332224614769
2.145,-0.0286723534769872
2.15,-0.0290183779248104
2.155,-0.0293704278394035
2.16,-0.0297286373363212
2.165,-0.0300931449165355
2.17,-0.0304640936240271
2.175,-0.0308416312103253
2.18,-0.0312259103062857
2.185,-0.0316170886015252
2.19,-0.0320153290318134
2.195,-0.0324207999749271
2.2,-0.0328336754553005
2.205,-0.0332541353579847
2.21,-0.0336823656523699
2.215,-0.0341185586261746
2.22,-0.0345629131302506
2.225,-0.0350156348347518
2.23,-0.0354769364972827
2.235,-0.0359470382436737
2.24,-0.0364261678620133
2.245,-0.0369145611107077
2.25,-0.0374124620413015
2.255,-0.0379201233368546
2.26,-0.0384378066667636
2.265,-0.0389657830588925
2.27,-0.0395043332900446
2.275,-0.0400537482957249
2.28,-0.0406143296003457
2.285,-0.0411863897690282
2.29,-0.041770252882199
2.295,-0.0423662550343546
2.3,-0.0429747448583716
2.305,-0.0435960840768323
2.31,-0.044230648082029
2.315,-0.0448788265462858
2.32,-0.0455410240644419
2.325,-0.0462176608304348
2.33,-0.0469091733500643
2.335,-0.0476160151921357
2.34,-0.048338657780349
2.345,-0.0490775912284923
2.35,-0.0498333252216259
2.355,-0.0506063899461687
2.36,-0.0513973370720053
2.365,-0.0522067407899462
2.37,-0.0530351989080972
2.375,-0.0538833340110216
2.38,-0.0547517946857611
2.385,-0.0556412568191894
2.39,-0.0565524249714384
2.395,-0.0574860338305093
2.4,-0.05844284975359
2.405,-0.0594236724009871
2.41,-0.0604293364691135
2.415,-0.0614607135293498
2.42,-0.0625187139802614
2.425,-0.0636042891211839
2.43,-0.0647184333558322
2.435,-0.0658621865352875
2.44,-0.0670366364505181
2.445,-0.0682429214853792
2.45,-0.0694822334419531
2.455,-0.0707558205511203
2.46,-0.0720649906822702
2.465,-0.0734111147673638
2.47,-0.0747956304557256
2.475,-0.0762200460174684
2.48,-0.0776859445150313
2.485,-0.0791949882639471
2.49,-0.0807489236059241
2.495,-0.0823495860194141
2.5,-0.083998905595085
2.505,-0.0856989129061669
2.51,-0.0874517453064887
2.515,-0.0892596536919808
2.52,-0.09112500976497
2.525,-0.0930503138442722
2.53,-0.0950382032682796
2.535,-0.0970914614429234
2.54,-0.0992130275914592
2.545,-0.101406007268822
2.55,-0.103673683709591
2.555,-0.106019530085727
2.56,-0.108447222758152
2.565,-0.11096065561501
2.57,-0.113563955599412
2.575,-0.1162614995404
2.58,-0.119057932413295
2.585,-0.121958187169525
2.59,-0.124967506291501
2.595,-0.128091465245878
2.6,-0.131335998028114
2.605,-0.134707425013784
2.61,-0.138212483357215
2.615,-0.141858360206701
2.62,-0.145652729038
2.625,-0.149603789444526
2.63,-0.153720310764752
2.635,-0.158011679974974
2.64,-0.162487954330252
2.645,-0.167159919298632
2.65,-0.172039152405449
2.655,-0.177138093686607
2.66,-0.182470123544251
2.665,-0.188049648907437
2.67,-0.193892198726415
2.675,-0.200014529975174
2.68,-0.206434745506611
2.685,-0.213172425302094
2.69,-0.22024877288765
2.695,-0.227686778958786
2.7,-0.235511404572307
2.705,-0.24374978663608
2.71,-0.252431468867128
2.715,-0.261588661909008
2.72,-0.271256536917557
2.725,-0.281473557660757
2.73,-0.292281857059551
2.735,-0.30372766515361
2.74,-0.315861796749784
2.745,-0.328740208550856
2.75,-0.342424637431659
2.755,-0.356983333807646
2.76,-0.372491906828653
2.765,-0.389034301554403
2.77,-0.406703932491082
2.775,-0.425605003093838
2.78,-0.445854047329345
2.785,-0.467581737471228
2.79,-0.49093501237708
2.795,-0.516079593066369
2.8,-0.543202968072749
2.805,-0.572517950438734
2.81,-0.604266932000654
2.815,-0.638726989218323
2.82,-0.676216028049147
2.825,-0.717100191554193
2.83,-0.761802788089189
2.835,-0.810815018416283
2.84,-0.864708762014599
2.845,-0.924151576236606
2.85,-0.989923770450865
2.855,-1.06293676393814
2.86,-1.14425061538269
2.865,-1.23508614766547
2.87,-1.33682289316609
2.875,-1.45096786646918
2.88,-1.57907337574426
2.885,-1.7225812779375
2.89,-1.8825931257998
2.895,-2.05963741126377
2.9,-2.25363473672417
2.905,-2.46436156742742
2.91,-2.6925612819131
2.915,-2.94133786217899
2.92,-3.2170307133935
2.925,-3.52908715095973
2.93,-3.88932068791903
2.935,-4.31137935377027
2.94,-4.81094077268993
2.945,-5.40670722290848
2.95,-6.12217961035048
2.955,-6.98845352871582
2.96,-8.04885419744842
2.965,-9.36741341035546
2.97,-11.046208991908
2.975,-13.2658697434507
2.98,-16.3987272825804
2.985,-21.4158337589971
2.99,-30.3521059309429
2.995,-23.6129856923793
3,-17.6327726344999
