"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0215815889755626
2.005,-0.0218128706680548
2.01,-0.0220460230695195
2.015,-0.0222811035300952
2.02,-0.0225181702308722
2.025,-0.0227572821955369
2.03,-0.0229984993026878
2.035,-0.0232418822987349
2.04,-0.0234874928115354
2.045,-0.0237353933646328
2.05,-0.023985647392257
2.055,-0.0242383192549972
2.06,-0.0244934742562324
2.065,-0.0247511786593005
2.07,-0.0250114997054537
2.075,-0.0252745056326095
2.08,-0.0255402656949183
2.085,-0.0258088501831817
2.09,-0.0260803304461364
2.095,-0.0263547789126413
2.1,-0.026632269114775
2.105,-0.0269128757119028
2.11,-0.0271966745157174
2.115,-0.0274837425163026
2.12,-0.0277741579092185
2.125,-0.028068000123715
2.13,-0.0283653498520169
2.135,-0.0286662890797864
2.14,-0.0289709011177866
2.145,-0.0292792706347547
2.15,-0.0295914836915789
2.155,-0.0299076277767767
2.16,-0.0302277918433624
2.165,-0.0305520663471081
2.17,-0.0308805432862911
2.175,-0.031213316242957
2.18,-0.0315504804257505
2.185,-0.0318921327143913
2.19,-0.0322383717058319
2.195,-0.032589297762195
2.2,-0.0329450130605008
2.205,-0.0333056216443159
2.21,-0.0336712294773482
2.215,-0.034041944499094
2.22,-0.0344178766825855
2.225,-0.0347991380943541
2.23,-0.0351858429566773
2.235,-0.0355781077121977
2.24,-0.0359760510910032
2.245,-0.0363797941802933
2.25,-0.0367894604967104
2.255,-0.0372051760614387
2.26,-0.037627069478208
2.265,-0.0380552720143053
2.27,-0.0384899176847174
2.275,-0.0389311433395278
2.28,-0.0393790887547218
2.285,-0.0398338967265378
2.29,-0.0402957131694851
2.295,-0.040764687218232
2.3,-0.041240971333479
2.305,-0.0417247214120162
2.31,-0.0422160969011608
2.315,-0.0427152609177014
2.32,-0.043222380371625
2.325,-0.0437376260947602
2.33,-0.0442611729746271
2.335,-0.0447932000936374
2.34,-0.0453338908739752
2.345,-0.0458834332283327
2.35,-0.0464420197168145
2.355,-0.0470098477102587
2.36,-0.0475871195602965
2.365,-0.0481740427764072
2.37,-0.048770830210366
2.375,-0.0493777002483335
2.38,-0.04999487701102
2.385,-0.0506225905622571
2.39,-0.0512610771263797
2.395,-0.0519105793148518
2.4,-0.0525713463625303
2.405,-0.053243634374081
2.41,-0.0539277065809943
2.415,-0.0546238336097102
2.42,-0.0553322937614355
2.425,-0.0560533733041521
2.43,-0.0567873667774808
2.435,-0.0575345773109747
2.44,-0.0582953169565781
2.445,-0.0590699070358708
2.45,-0.0598586785029004
2.455,-0.0606619723233831
2.46,-0.061480139871069
2.465,-0.0623135433421667
2.47,-0.0631625561887651
2.475,-0.0640275635722049
2.48,-0.0649089628374611
2.485,-0.0658071640096013
2.49,-0.0667225903135063
2.495,-0.0676556787180653
2.5,-0.0686068805061627
2.505,-0.0695766618717802
2.51,-0.0705655045457654
2.515,-0.0715739064517086
2.52,-0.0726023823936573
2.525,-0.0736514647773501
2.53,-0.0747217043668278
2.535,-0.0758136710784221
2.54,-0.076927954814132
2.545,-0.0780651663366666
2.55,-0.079225938188454
2.555,-0.080410925657157
2.56,-0.0816208077903172
2.565,-0.0828562884619703
2.57,-0.0841180974942496
2.575,-0.0854069918371645
2.58,-0.0867237568099802
2.585,-0.0880692074078246
2.59,-0.0894441896774115
2.595,-0.0908495821660145
2.6,-0.092286297448075
2.605,-0.093755283734217
2.61,-0.0952575265676117
2.615,-0.0967940506131605
2.62,-0.0983659215451398
2.625,-0.0999742480395327
2.63,-0.101620183877572
2.635,-0.103304930167511
2.64,-0.10502973769221
2.645,-0.106795909390515
2.65,-0.108604802981159
2.655,-0.110457833738377
2.66,-0.112356477429226
2.665,-0.114302273423238
2.67,-0.116296827985922
2.675,-0.118341817768347
2.68,-0.120438993506079
2.685,-0.12259018394172
2.69,-0.124797299986326
2.695,-0.127062339136194
2.7,-0.129387390162797
2.705,-0.131774638094978
2.71,-0.134226369514081
2.715,-0.136744978184249
2.72,-0.139332971041955
2.725,-0.141992974570755
2.73,-0.144727741589299
2.735,-0.147540158483006
2.74,-0.150433252912215
2.745,-0.153410202032462
2.75,-0.156474341265358
2.755,-0.159629173661922
2.76,-0.162878379903681
2.765,-0.166225828990813
2.77,-0.169675589670746
2.775,-0.173231942665371
2.78,-0.17689939376014
2.785,-0.180682687823781
2.79,-0.184586823833688
2.795,-0.188617070988646
2.8,-0.19277898599805
2.805,-0.197078431644896
2.81,-0.201521596728826
2.815,-0.206115017505444
2.82,-0.210865600748944
2.825,-0.215780648577273
2.83,-0.220867885192276
2.835,-0.226135485701989
2.84,-0.231592107208604
2.845,-0.237246922363584
2.85,-0.243109655611421
2.855,-0.249190622365706
2.86,-0.255500771385783
2.865,-0.262051730649599
2.87,-0.268855857048774
2.875,-0.275926290265766
2.88,-0.283277011230766
2.885,-0.290922905597887
2.89,-0.298879832727364
2.895,-0.307164700712664
2.9,-0.315795548050335
2.905,-0.324791632615801
2.91,-0.334173528682053
2.915,-0.343963232800509
2.92,-0.354184279456006
2.925,-0.36486186751179
2.93,-0.376022998577427
2.935,-0.387696628564181
2.94,-0.399913833840796
2.945,-0.412707993570028
2.95,-0.426114989995135
2.955,-0.44017342865917
2.96,-0.454924880781416
2.965,-0.470414150288809
2.97,-0.486689568310301
2.975,-0.503803318293658
2.98,-0.521811795303671
2.985,-0.540776003514668
2.99,-0.56076199642666
2.995,-0.581841364922537
3,-0.60409177895415
