"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-7.93161919625187
2.005,-10.5033131111346
2.01,-11.6449913296944
2.015,-9.64044359185749
2.02,-7.05766378153382
2.025,-5.11917868086792
2.03,-3.78341336839917
2.035,-2.86570593824135
2.04,-2.2246458891996
2.045,-1.7668391114
2.05,-1.43229870088623
2.055,-1.18237468331087
2.06,-0.991803265208514
2.065,-0.843756231464291
2.07,-0.726794697237912
2.075,-0.632984417243595
2.08,-0.556714196059274
2.085,-0.493942574351854
2.09,-0.441708773727127
2.095,-0.397809326446156
2.1,-0.36058039468305
2.105,-0.328748699270605
2.11,-0.301327759400855
2.115,-0.277544556653129
2.12,-0.256786953054571
2.125,-0.238565480051836
2.13,-0.222485219949004
2.135,-0.208224869914925
2.14,-0.195520981881426
2.145,-0.18415597629524
2.15,-0.17394893796509
2.155,-0.164748484238338
2.16,-0.156427191936104
2.165,-0.14887720756028
2.17,-0.142006763539129
2.175,-0.135737393917035
2.18,-0.130001694179666
2.185,-0.124741507488115
2.19,-0.119906447380017
2.195,-0.115452687708884
2.2,-0.111341966157878
2.205,-0.10754075944933
2.21,-0.104019597358724
2.215,-0.100752489542877
2.22,-0.0977164445257546
2.225,-0.0948910643334452
2.23,-0.0922582015150601
2.235,-0.0898016678396564
2.24,-0.0875069859794228
2.245,-0.0853611770955084
2.25,-0.0833525785268724
2.255,-0.0814706868133727
2.26,-0.079706022115961
2.265,-0.0780500107708606
2.27,-0.0764948832628634
2.275,-0.0750335853509996
2.28,-0.0736597004472943
2.285,-0.0723673816519381
2.29,-0.0711512920982518
2.295,-0.0700065524680948
2.3,-0.0689286947109922
2.305,-0.0679136211442366
2.31,-0.0669575682317447
2.315,-0.0660570744408893
2.32,-0.0652089516617465
2.325,-0.0644102597453612
2.33,-0.0636582837786877
2.335,-0.0629505137657565
2.34,-0.0622846264288041
2.345,-0.061658468880799
2.35,-0.0610700439531493
2.355,-0.0605174969899994
2.36,-0.0599991039443763
2.365,-0.0595132606319928
2.37,-0.0590584730161955
2.375,-0.0586333484128813
2.38,-0.0582365875175866
2.385,-0.0578669771683849
2.39,-0.0575233837684333
2.395,-0.0572047473006526
2.4,-0.0569100758747944
2.405,-0.0566384407538343
2.41,-0.0563889718124733
2.415,-0.0561608533857678
2.42,-0.0559533204704553
2.425,-0.0557656552454701
2.43,-0.0555971838817996
2.435,-0.0554472736149068
2.44,-0.0553153300556778
2.445,-0.0552007947183967
2.45,-0.0551031427463865
2.455,-0.0550218808178695
2.46,-0.0549565452163858
2.465,-0.0549067000516605
2.47,-0.0548719356180749
2.475,-0.0548518668793024
2.48,-0.054846132068633
2.485,-0.0548543913955671
2.49,-0.0548763258501683
2.495,-0.054911636097394
2.5,-0.0549600414544366
2.505,-0.055021278944706
2.51,-0.0550951024226882
2.515,-0.0551812817644987
2.52,-0.0552796021193292
2.525,-0.0553898632175925
2.53,-0.0555118787318749
2.535,-0.0556454756871659
2.54,-0.0557904939173201
2.545,-0.0559467855648875
2.55,-0.0561142146218489
2.555,-0.056292656509053
2.56,-0.0564819976924697
2.565,-0.0566821353345868
2.57,-0.0568929769796054
2.575,-0.0571144402713377
2.58,-0.0573464527029936
2.585,-0.0575889513982985
2.59,-0.0578418829237549
2.595,-0.0581052031320682
2.6,-0.0583788770372402
2.605,-0.0586628787221265
2.61,-0.0589571912797371
2.615,-0.0592618067900184
2.62,-0.059576726334519
2.625,-0.0599019600519033
2.63,-0.0602375272381534
2.635,-0.0605834564962366
2.64,-0.060939785941116
2.645,-0.0613065634673894
2.65,-0.0616838470884767
2.655,-0.0620717053583675
2.66,-0.0624702178893439
2.665,-0.0628794759823329
2.67,-0.0632995833902058
2.675,-0.0637306572393094
2.68,-0.0641728291404555
2.685,-0.0646262465281917
2.69,-0.0650910742768741
2.695,-0.0655674966543981
2.7,-0.0660557196901665
2.705,-0.066555974054433
2.71,-0.0670685185725707
2.715,-0.0675936445325492
2.72,-0.0681316809896012
2.725,-0.0686830013324821
2.73,-0.0692480314564762
2.735,-0.0698272599971357
2.74,-0.0704212512256378
2.745,-0.0710306614082762
2.75,-0.0716562597097987
2.755,-0.0722989551063015
2.76,-0.0729598313149748
2.765,-0.0736401925155332
2.77,-0.074341623736548
2.775,-0.0750660713669624
2.78,-0.0758159515698462
2.785,-0.0765942977891985
2.79,-0.0774049636168336
2.795,-0.0782529048931069
2.8,-0.0791445763746063
2.805,-0.0800884955852925
2.81,-0.0810960523642031
2.815,-0.0821826806082672
2.82,-0.0833695615759829
2.825,-0.0846860924866091
2.83,-0.0861734023604811
2.835,-0.0878891225235385
2.84,-0.089913082616664
2.845,-0.0923516408526905
2.85,-0.095332597726099
2.855,-0.0989688736126158
2.86,-0.103247612141519
2.865,-0.107811390767934
2.87,-0.111770853088365
2.875,-0.114009517375273
2.88,-0.114086574799911
2.885,-0.112635932162808
2.89,-0.110676767763406
2.895,-0.108905047891417
2.9,-0.107593241123634
2.905,-0.106768952639362
2.91,-0.106367839422236
2.915,-0.106308131058304
2.92,-0.106517173518257
2.925,-0.106937377872815
2.93,-0.107525106136891
2.935,-0.108247844888098
2.94,-0.109081461493773
2.945,-0.110008000111588
2.95,-0.111014030625703
2.955,-0.112089446347544
2.96,-0.113226597082771
2.965,-0.114419664379815
2.97,-0.11566420935277
2.975,-0.116956843124353
2.98,-0.118294984632196
2.985,-0.119676681042131
2.99,-0.121100473366187
2.995,-0.122565294995945
3,-0.124070394415233
