"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0139887954076092
2.005,-0.0140326694313041
2.01,-0.0140769092075307
2.015,-0.0141215187394261
2.02,-0.0141665020232455
2.025,-0.0142118630485847
2.03,-0.0142576057985927
2.035,-0.0143037342502024
2.04,-0.0143502523743458
2.045,-0.0143971641361795
2.05,-0.0144444734953112
2.055,-0.0144921844060155
2.06,-0.0145403008174666
2.065,-0.0145888266739598
2.07,-0.0146377659151343
2.075,-0.0146871224762132
2.08,-0.0147369002882057
2.085,-0.0147871032781657
2.09,-0.0148377353693981
2.095,-0.0148888004816925
2.1,-0.0149403025315652
2.105,-0.0149922454324765
2.11,-0.01504463309507
2.115,-0.0150974694273965
2.12,-0.0151507583351629
2.125,-0.0152045037219529
2.13,-0.0152587094894646
2.135,-0.0153133795377517
2.14,-0.0153685177654598
2.145,-0.0154241280700543
2.15,-0.0154802143480706
2.155,-0.015536780495351
2.16,-0.0155938304072781
2.165,-0.0156513679790285
2.17,-0.0157093971057964
2.175,-0.0157679216830646
2.18,-0.0158269456068228
2.185,-0.0158864727738272
2.19,-0.015946507081838
2.195,-0.016007052429879
2.2,-0.0160681127184737
2.205,-0.0161296918499009
2.21,-0.0161917937284498
2.215,-0.0162544222606594
2.22,-0.0163175813555829
2.225,-0.016381274925037
2.23,-0.0164455068838563
2.235,-0.0165102811501559
2.24,-0.0165756016455762
2.245,-0.0166414722955583
2.25,-0.0167078970295898
2.255,-0.0167748797814753
2.26,-0.0168424244895939
2.265,-0.0169105350971669
2.27,-0.0169792155525153
2.275,-0.0170484698093415
2.28,-0.0171183018269757
2.285,-0.0171887155706664
2.29,-0.0172597150118407
2.295,-0.0173313041283718
2.3,-0.0174034869048591
2.305,-0.017476267332907
2.31,-0.0175496494113863
2.315,-0.0176236371467324
2.32,-0.0176982345532054
2.325,-0.017773445653182
2.33,-0.0178492744774321
2.335,-0.0179257250654103
2.34,-0.0180028014655313
2.345,-0.0180805077354661
2.35,-0.0181588479424189
2.355,-0.0182378261634319
2.36,-0.0183174464856701
2.365,-0.0183977130067105
2.37,-0.0184786298348395
2.375,-0.018560201089361
2.38,-0.0186424309008744
2.385,-0.0187253234115962
2.39,-0.0188088827756465
2.395,-0.0188931131593598
2.4,-0.0189780187415907
2.405,-0.0190636037140222
2.41,-0.0191498722814676
2.415,-0.0192368286621932
2.42,-0.0193244770882255
2.425,-0.0194128218056669
2.43,-0.0195018670750087
2.435,-0.01959161717146
2.44,-0.0196820763852608
2.445,-0.0197732490220071
2.45,-0.019865139402979
2.455,-0.0199577518654577
2.46,-0.0200510907630711
2.465,-0.020145160466109
2.47,-0.020239965361871
2.475,-0.0203355098549901
2.48,-0.0204317983677765
2.485,-0.0205288353405541
2.49,-0.0206266252320102
2.495,-0.0207251725195317
2.5,-0.0208244816995531
2.505,-0.0209245572879101
2.51,-0.0210254038201893
2.515,-0.0211270258520778
2.52,-0.0212294279597257
2.525,-0.0213326147400983
2.53,-0.0214365908113398
2.535,-0.0215413608131405
2.54,-0.0216469294070914
2.545,-0.0217533012770704
2.55,-0.0218604811295952
2.555,-0.0219684736942032
2.56,-0.0220772837238351
2.565,-0.0221869159952016
2.57,-0.0222973753091714
2.575,-0.0224086664911519
2.58,-0.0225207943914827
2.585,-0.0226337638858135
2.59,-0.0227475798755054
2.595,-0.0228622472880216
2.6,-0.022977771077324
2.605,-0.0230941562242828
2.61,-0.0232114077370641
2.615,-0.0233295306515479
2.62,-0.0234485300317339
2.625,-0.0235684109701568
2.63,-0.0236891785882918
2.635,-0.0238108380369853
2.64,-0.0239333944968641
2.645,-0.0240568531787698
2.65,-0.024181219324176
2.655,-0.0243064982056312
2.66,-0.024432695127181
2.665,-0.0245598154248107
2.67,-0.0246878644668765
2.675,-0.0248168476545721
2.68,-0.0249467704223437
2.685,-0.0250776382383639
2.69,-0.0252094566049723
2.695,-0.0253422310591394
2.7,-0.0254759671729213
2.705,-0.0256106705539278
2.71,-0.0257463468457852
2.715,-0.0258830017286129
2.72,-0.0260206409194871
2.725,-0.0261592701729317
2.73,-0.0262988952813844
2.735,-0.0264395220757047
2.74,-0.0265811564256298
2.745,-0.0267238042403049
2.75,-0.0268674714687461
2.755,-0.027012164100363
2.76,-0.0271578881654461
2.765,-0.0273046497356966
2.77,-0.0274524549247114
