"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0219536630498854
2.005,-0.0219536630498854
2.01,-0.0219536630498854
2.015,-0.0219536630498854
2.02,-0.0219536630498854
2.025,-0.0219536630498854
2.03,-0.0219536630498854
2.035,-0.0219536630498854
2.04,-0.0219536630498854
2.045,-0.0219536630498854
2.05,-0.0219536630498854
2.055,-0.0219536630498854
2.06,-0.0219536630498854
2.065,-0.0219536630498854
2.07,-0.0219536630498854
2.075,-0.0219536630498854
2.08,-0.0219536630498854
2.085,-0.0219536630498854
2.09,-0.0219536630498854
2.095,-0.0219536630498854
2.1,-0.0219536630498854
2.105,-0.0219536630498854
2.11,-0.0219536630498854
2.115,-0.0219536630498854
2.12,-0.0219536630498854
2.125,-0.0219536630498854
2.13,-0.0219536630498854
2.135,-0.0219536630498854
2.14,-0.0219536630498854
2.145,-0.0219536630498854
2.15,-0.0219536630498854
2.155,-0.0219536630498854
2.16,-0.0219536630498854
2.165,-0.0219536630498854
2.17,-0.0219536630498854
2.175,-0.0219536630498854
2.18,-0.0219536630498854
2.185,-0.0219536630498854
2.19,-0.0219536630498854
2.195,-0.0219536630498854
2.2,-0.0219536630498854
2.205,-0.0219536630498854
2.21,-0.0219536630498854
2.215,-0.0219536630498854
2.22,-0.0219536630498854
2.225,-0.0219536630498854
2.23,-0.0219536630498854
2.235,-0.0219536630498854
2.24,-0.0219536630498854
2.245,-0.0219536630498854
2.25,-0.0219536630498854
2.255,-0.0219536630498854
2.26,-0.0219536630498854
2.265,-0.0219536630498854
2.27,-0.0219536630498854
2.275,-0.0219536630498854
2.28,-0.0219536630498854
2.285,-0.0219536630498854
2.29,-0.0219536630498854
2.295,-0.0219536630498854
2.3,-0.0219536630498854
2.305,-0.0219536630498854
2.31,-0.0219536630498854
2.315,-0.0219536630498854
2.32,-0.0219536630498854
2.325,-0.0219536630498854
2.33,-0.0219536630498854
2.335,-0.0219536630498854
2.34,-0.0219536630498854
2.345,-0.0219536630498854
2.35,-0.0219536630498854
2.355,-0.0219536630498854
2.36,-0.0219536630498854
2.365,-0.0219536630498854
2.37,-0.0219536630498854
2.375,-0.0219536630498854
2.38,-0.0219536630498854
2.385,-0.0219536630498854
2.39,-0.0219536630498854
2.395,-0.0219536630498854
2.4,-0.0219536630498854
2.405,-0.0219536630498854
2.41,-0.0219536630498854
2.415,-0.0219536630498854
2.42,-0.0219536630498854
2.425,-0.0219536630498854
2.43,-0.0219536630498854
2.435,-0.0219536630498854
2.44,-0.0219536630498854
2.445,-0.0219536630498854
2.45,-0.0219536630498854
2.455,-0.0219536630498854
2.46,-0.0219536630498854
2.465,-0.0219536630498854
2.47,-0.0219536630498854
2.475,-0.0219536630498854
2.48,-0.0219536630498854
2.485,-0.0219536630498854
2.49,-0.0219536630498854
2.495,-0.0219536630498854
2.5,-0.0219536630498854
2.505,-0.0219536630498854
2.51,-0.0219536630498854
2.515,-0.0219536630498854
2.52,-0.0219536630498854
2.525,-0.0219536630498854
2.53,-0.0219536630498854
2.535,-0.0219536630498854
2.54,-0.0219536630498854
2.545,-0.0219536630498854
2.55,-0.0219536630498854
2.555,-0.0219536630498854
2.56,-0.0219536630498854
2.565,-0.0219536630498854
2.57,-0.0219536630498854
2.575,-0.0219536630498854
2.58,-0.0219536630498854
2.585,-0.0219536630498854
2.59,-0.0219536630498854
2.595,-0.0219536630498854
2.6,-0.0219536630498854
2.605,-0.0219536630498854
2.61,-0.0219536630498854
2.615,-0.0219536630498854
2.62,-0.0219536630498854
2.625,-0.0219536630498854
2.63,-0.0219536630498854
2.635,-0.0219536630498854
2.64,-0.0219536630498854
2.645,-0.0219536630498854
2.65,-0.0219536630498854
2.655,-0.0219536630498854
2.66,-0.0219536630498854
2.665,-0.0219536630498854
2.67,-0.0219536630498854
2.675,-0.0219536630498854
2.68,-0.0219536630498854
2.685,-0.0219536630498854
2.69,-0.0219536630498854
2.695,-0.0219536630498854
2.7,-0.0219536630498854
2.705,-0.0219536630498854
2.71,-0.0219536630498854
2.715,-0.0219536630498854
2.72,-0.0219536630498854
2.725,-0.0219536630498854
2.73,-0.0219536630498854
2.735,-0.0219536630498854
2.74,-0.0219536630498854
2.745,-0.0219536630498854
2.75,-0.0219536630498854
2.755,-0.0219536630498854
2.76,-0.0219536630498854
2.765,-0.0219536630498854
2.77,-0.0219536630498854
2.775,-0.0219536630498854
2.78,-0.0219536630498854
2.785,-0.0219536630498854
2.79,-0.0219536630498854
2.795,-0.0219536630498854
2.8,-0.0219536630498854
2.805,-0.0219536630498854
2.81,-0.0219536630498854
2.815,-0.0219536630498854
2.82,-0.0219536630498854
2.825,-0.0219536630498854
2.83,-0.0219536630498854
2.835,-0.0219536630498854
2.84,-0.0219536630498854
2.845,-0.0219536630498854
2.85,-0.0219536630498854
2.855,-0.0219536630498854
2.86,-0.0219536630498854
2.865,-0.0219536630498854
2.87,-0.0219536630498854
2.875,-0.0219536630498854
2.88,-0.0219536630498854
2.885,-0.0219536630498854
2.89,-0.0219536630498854
2.895,-0.0219536630498854
2.9,-0.0219536630498854
2.905,-0.0219536630498854
2.91,-0.0219536630498854
2.915,-0.0219536630498854
2.92,-0.0219536630498854
2.925,-0.0219536630498854
2.93,-0.0219536630498854
2.935,-0.0219536630498854
2.94,-0.0219536630498854
2.945,-0.0219536630498854
2.95,-0.0219536630498854
2.955,-0.0219536630498854
2.96,-0.0219536630498854
2.965,-0.0219536630498854
2.97,-0.0219536630498854
2.975,-0.0219536630498854
2.98,-0.0219536630498854
2.985,-0.0219536630498854
2.99,-0.0219536630498854
2.995,-0.0219536630498854
3,-0.0219536630498854
