"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.14455320321405
2.005,-0.150849368210035
2.01,-0.157728257314052
2.015,-0.165249915108563
2.02,-0.173482510606193
2.025,-0.182503675177204
2.03,-0.192402101587689
2.035,-0.203279463363252
2.04,-0.215252729061895
2.045,-0.228456965918928
2.05,-0.243048753195246
2.055,-0.259210359437824
2.06,-0.277154882521367
2.065,-0.297132610620323
2.07,-0.319438941513941
2.075,-0.344424304374665
2.08,-0.372506673090011
2.085,-0.404187458447304
2.09,-0.440071840115032
2.095,-0.480894980192072
2.1,-0.527556094984736
2.105,-0.5811631199516
2.11,-0.643091788108
2.115,-0.71506451117832
2.12,-0.799256744314946
2.125,-0.898441897777682
2.13,-1.0161909080281
2.135,-1.15715020785522
2.14,-1.32743351164064
2.145,-1.53518099436118
2.15,-1.79136828507317
2.155,-2.11099486245285
2.16,-2.51486206078349
2.165,-3.03229823367207
2.17,-3.70548488389342
2.175,-4.59671040134078
2.18,-5.80162919614468
2.185,-7.47685988604453
2.19,-9.90877220808738
2.195,-13.7300585770375
2.2,-20.7030697053819
2.205,-22.1533746806813
2.21,-14.5624082441212
2.215,-10.4829990475618
2.22,-7.93859370162194
2.225,-6.20229273930588
2.23,-4.95797866289437
2.235,-4.03772351106321
2.24,-3.34109076803941
2.245,-2.80362895741404
2.25,-2.38211461469671
2.255,-2.04667450243889
2.26,-1.7761887457684
2.265,-1.55544607611895
2.27,-1.37331258522328
2.275,-1.22151948363549
2.28,-1.0938432706616
2.285,-0.985541432056333
2.29,-0.892958009992192
2.295,-0.81324405081068
2.3,-0.744156908897718
2.305,-0.683914417685756
2.31,-0.631087718564633
2.315,-0.58452165005459
2.32,-0.543275005730823
2.325,-0.506575268354416
2.33,-0.473783997946834
2.335,-0.444370136233188
2.34,-0.417889247189691
2.345,-0.393967247595461
2.35,-0.3722875619571
2.355,-0.35258090971677
2.36,-0.334617131092217
2.365,-0.318198603093098
2.37,-0.303154904375414
2.375,-0.289338467247107
2.38,-0.276621014814469
2.385,-0.264890626296011
2.39,-0.254049307754935
2.395,-0.244010971683668
2.4,-0.234699749031573
2.405,-0.226048572881609
2.41,-0.217997985148504
2.415,-0.210495127204776
2.42,-0.203492882852018
2.425,-0.196949148003262
2.43,-0.190826206176571
2.435,-0.185090192686363
2.44,-0.179710633460984
2.445,-0.174660046870109
2.45,-0.169913598935331
2.455,-0.165448803916653
2.46,-0.161245263590718
2.465,-0.157284439621975
2.47,-0.153549454321321
2.475,-0.15002491582509
2.48,-0.146696764339155
2.485,-0.143552136602116
2.49,-0.140579246146296
2.495,-0.137767277290999
2.5,-0.135106291101139
2.505,-0.132587141795749
2.51,-0.130201402303367
2.515,-0.127941297841134
2.52,-0.125799646547081
2.525,-0.123769806325262
2.53,-0.121845627174156
2.535,-0.120021408363846
2.54,-0.118291859908789
2.545,-0.116652067853049
2.55,-0.115097462945013
2.555,-0.113623792330835
2.56,-0.112227093940673
2.565,-0.110903673280997
2.57,-0.109650082380009
2.575,-0.108463100662835
2.58,-0.107339717558818
2.585,-0.106277116665756
2.59,-0.105272661315603
2.595,-0.104323881403399
2.6,-0.103428461356354
2.605,-0.102584229133368
2.61,-0.101789146156951
2.615,-0.101041298089949
2.62,-0.100338886378623
2.625,-0.0996802204917305
2.63,-0.0990637107924347
2.635,-0.0984878619863402
2.64,-0.0979512670945404
2.645,-0.0974526019056458
2.65,-0.0969906198653395
2.655,-0.0965641473658948
2.66,-0.0961720794018485
2.665,-0.0958133755611439
2.67,-0.0954870563239114
2.675,-0.0951921996438034
2.68,-0.0949279377889528
2.685,-0.0946934544217919
2.69,-0.0944879818988888
2.695,-0.0943107987736028
2.7,-0.0941612274858672
2.705,-0.0940386322249231
2.71,-0.0939424169518854
2.715,-0.0938720235703451
2.72,-0.0938269302341039
2.725,-0.0938066497821425
2.73,-0.0938107282917345
2.735,-0.093838743741392
2.74,-0.0938903047760599
2.745,-0.0939650495675556
2.75,-0.0940626447638744
2.755,-0.0941827845214927
2.76,-0.0943251896153164
2.765,-0.0944896066212807
2.77,-0.0946758071671235
2.775,-0.0948835872471501
2.78,-0.0951127665971364
2.785,-0.0953631881259143
2.79,-0.0956347174003539
2.795,-0.095927242180825
2.8,-0.0962406720043937
2.805,-0.096574937813254
2.81,-0.0969299916260988
2.815,-0.09730580625036
2.82,-0.0977023750333262
2.825,-0.0981197116504272
2.83,-0.09855784992905
2.835,-0.0990168437063848
2.84,-0.0994967667200103
2.845,-0.0999977125299133
2.85,-0.100519794470897
2.855,-0.101063145634327
2.86,-0.101627918878301
2.865,-0.102214286865433
2.87,-0.102822442127503
2.875,-0.103452597156308
2.88,-0.104104984520145
2.885,-0.104779857005408
2.89,-0.105477487782817
2.895,-0.106198170597959
2.9,-0.106942219985754
2.905,-0.107709971508617
2.91,-0.108501782018064
2.915,-0.109318029939633
2.92,-0.110159115580989
2.925,-0.111025461463126
2.93,-0.111917512674656
2.935,-0.112835737249208
2.94,-0.113780626565995
2.945,-0.114752695773605
2.95,-0.115752484237213
2.955,-0.116780556009356
2.96,-0.117837500324473
2.965,-0.118923932117473
2.97,-0.120040492566599
2.975,-0.121187849660896
2.98,-0.12236669879267
2.985,-0.123577763375223
2.99,-0.124821795486399
2.995,-0.126099576538277
3,-0.127411917973551
