"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0308586755105956
2.005,-0.031232157986046
2.01,-0.0316108969006501
2.015,-0.0319949386299972
2.02,-0.0323843311844492
2.025,-0.0327791242393109
2.03,-0.0331793691659394
2.035,-0.0335851190638113
2.04,-0.0339964287935813
2.045,-0.0344133550111452
2.05,-0.0348359562027574
2.055,-0.035264292721226
2.06,-0.0356984268232074
2.065,-0.0361384227076461
2.07,-0.0365843465553777
2.075,-0.0370362665699702
2.08,-0.0374942530197743
2.085,-0.037958378281295
2.09,-0.0384287168838647
2.095,-0.0389053455556817
2.1,-0.0393883432712818
2.105,-0.0398777913004303
2.11,-0.0403737732585403
2.115,-0.0408763751586285
2.12,-0.0413856854648649
2.125,-0.0419017951477704
2.13,-0.0424247977411334
2.135,-0.0429547894006659
2.14,-0.04349186896448
2.145,-0.0440361380154565
2.15,-0.044587700945535
2.155,-0.0451466650220085
2.16,-0.0457131404559122
2.165,-0.0462872404725306
2.17,-0.0468690813841318
2.175,-0.0474587826650012
2.18,-0.0480564670288227
2.185,-0.0486622605085479
2.19,-0.0492762925387713
2.195,-0.0498986960407692
2.2,-0.0505296075102237
2.205,-0.0511691671077968
2.21,-0.0518175187526026
2.215,-0.0524748102187246
2.22,-0.0531411932348464
2.225,-0.0538168235871392
2.23,-0.0545018612255278
2.235,-0.0551964703734151
2.24,-0.0559008196410648
2.245,-0.0566150821427078
2.25,-0.057339435617542
2.255,-0.0580740625548141
2.26,-0.0588191503230201
2.265,-0.0595748913035261
2.27,-0.0603414830286547
2.275,-0.0611191283245072
2.28,-0.0619080354586073
2.285,-0.0627084182926367
2.29,-0.0635204964404233
2.295,-0.0643444954313714
2.3,-0.0651806468795925
2.305,-0.0660291886589219
2.31,-0.066890365084066
2.315,-0.0677644270981537
2.32,-0.0686516324668905
2.325,-0.0695522459796542
2.33,-0.0704665396577455
2.335,-0.0713947929701292
2.34,-0.0723372930569694
2.345,-0.0732943349612542
2.35,-0.0742662218688723
2.355,-0.0752532653574962
2.36,-0.0762557856545962
2.365,-0.0772741119050438
2.37,-0.0783085824486386
2.375,-0.0793595451080249
2.38,-0.0804273574874506
2.385,-0.0815123872827677
2.39,-0.0826150126032631
2.395,-0.0837356223057407
2.4,-0.0848746163414534
2.405,-0.0860324061164244
2.41,-0.0872094148657468
2.415,-0.0884060780424903
2.42,-0.089622843721882
2.425,-0.0908601730214271
2.43,-0.0921185405376904
2.435,-0.0933984348005108
2.44,-0.0947003587454494
2.445,-0.0960248302052827
2.45,-0.0973723824214653
2.455,-0.0987435645764133
2.46,-0.100138942347707
2.465,-0.1015590984851
2.47,-0.103004633411536
2.475,-0.104476165849237
2.48,-0.105974333472094
2.485,-0.107499793585623
2.49,-0.109053223835828
2.495,-0.110635322948353
2.5,-0.112246811499428
2.505,-0.113888432720189
2.51,-0.11556095333597
2.515,-0.117265164442375
2.52,-0.119001882419943
2.525,-0.12077194988933
2.53,-0.122576236709118
2.535,-0.12441564101838
2.54,-0.126291090326319
2.545,-0.128203542651394
2.55,-0.130153987712555
2.555,-0.132143448175226
2.56,-0.134172980955022
2.565,-0.136243678582136
2.57,-0.138356670629749
2.575,-0.140513125209796
2.58,-0.142714250539759
2.585,-0.144961296584376
2.59,-0.14725555677627
2.595,-0.14959836981991
2.6,-0.151991121583487
2.605,-0.154435247083582
2.61,-0.156932232567847
2.615,-0.159483617701184
2.62,-0.16209099786136
2.625,-0.16475602655022
2.63,-0.167480417927211
2.635,-0.170265949472269
2.64,-0.173114464785555
2.645,-0.176027876532152
2.65,-0.179008169540191
2.655,-0.182057404061559
2.66,-0.18517771920489
2.665,-0.188371336551236
2.67,-0.191640563963442
2.675,-0.19498779960109
2.68,-0.198415536153618
2.685,-0.201926365305083
2.69,-0.205522982445045
2.695,-0.20920819164096
2.7,-0.212984910888606
2.705,-0.216856177658238
2.71,-0.220825154755386
2.715,-0.224895136516587
2.72,-0.229069555361812
2.725,-0.233351988726907
2.73,-0.237746166401093
2.735,-0.242255978296365
2.74,-0.24688548267771
2.745,-0.251638914885091
2.75,-0.256520696580607
2.755,-0.261535445556634
2.76,-0.266687986143611
2.765,-0.271983360258947
2.77,-0.277426839141922
2.775,-0.28302393582271
2.78,-0.288780418377699
2.785,-0.294702324027098
2.79,-0.30079597413555
2.795,-0.307067990181179
2.8,-0.313525310763736
2.805,-0.32017520972844
2.81,-0.327025315488156
2.815,-0.334083631633525
2.82,-0.34135855892804
2.825,-0.348858918793141
2.83,-0.356593978397357
2.835,-0.364573477473098
2.84,-0.372807656995352
2.845,-0.381307289867998
2.85,-0.390083713776283
2.855,-0.399148866377638
2.86,-0.408515323018381
2.865,-0.418196337180359
2.87,-0.428205883879868
2.875,-0.438558706261278
2.88,-0.449270365649634
2.885,-0.460357295350846
2.89,-0.471836858514462
2.895,-0.483727410403415
2.9,-0.496048365447176
2.905,-0.508820269490258
2.91,-0.522064877687042
2.915,-0.535805238536974
2.92,-0.550065784601709
2.925,-0.564872430498291
2.93,-0.580252678820349
2.935,-0.596235734703521
2.94,-0.612852629822079
2.945,-0.630136356682304
2.95,-0.648122014165012
2.955,-0.666846965365965
2.96,-0.686351008889629
2.965,-0.706676564870294
2.97,-0.727868877125983
2.975,-0.749976232996763
2.98,-0.773050202581277
2.985,-0.797145899266042
2.99,-0.822322263642872
2.995,-0.848642373133547
3,-0.876173779890119
