"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.100654007256731
2.005,-0.104609734546006
2.01,-0.108807801280764
2.015,-0.113266405891071
2.02,-0.118005514170897
2.025,-0.123047065456083
2.03,-0.128415207139083
2.035,-0.134136562017705
2.04,-0.140240533786878
2.045,-0.146759656958913
2.05,-0.153729998675892
2.055,-0.161191621304261
2.06,-0.169189116434284
2.065,-0.177772223019201
2.07,-0.186996544972797
2.075,-0.196924386717186
2.08,-0.207625729083985
2.085,-0.219179372812919
2.09,-0.231674282907625
2.095,-0.245211174615879
2.1,-0.259904391211862
2.105,-0.275884135606531
2.11,-0.293299132800801
2.115,-0.312319819247564
2.12,-0.333142179525054
2.125,-0.355992381969828
2.13,-0.381132405246264
2.135,-0.408866900162813
2.14,-0.439551599334194
2.145,-0.473603676907554
2.15,-0.511514578867652
2.155,-0.553866001524278
2.16,-0.60134990565641
2.165,-0.654793735925946
2.17,-0.715192396869046
2.175,-0.783749056501457
2.18,-0.861927560940641
2.185,-0.951520226541533
2.19,-1.05473614250285
2.195,-1.17431703099254
2.2,-1.31369041660831
2.205,-1.4771737194058
2.21,-1.67024847616142
2.215,-1.89993213641919
2.22,-2.17528735233424
2.225,-2.50812827316387
2.23,-2.91401575879296
2.235,-3.41369070349885
2.24,-4.03520406017356
2.245,-4.81722863570986
2.25,-5.81454346492145
2.255,-7.10788812787234
2.26,-8.82340639119579
2.265,-11.1742496284577
2.27,-14.5429168297635
2.275,-19.2915507803821
2.28,-20.6305245793423
2.285,-15.888437918421
2.29,-12.1628701387262
2.295,-9.60230508571364
2.3,-7.76049389313917
2.305,-6.38430206551165
2.31,-5.32820504856963
2.315,-4.50166728154403
2.32,-3.84466795187887
2.325,-3.31558201433871
2.33,-2.88461481067303
2.335,-2.52994561400955
2.34,-2.23531151283528
2.345,-1.98841886475243
2.35,-1.77986151712301
2.355,-1.60236495991912
2.36,-1.45024789131073
2.365,-1.31903276454969
2.37,-1.20516051213222
2.375,-1.10577927914038
2.38,-1.01858641900551
2.385,-0.941709248068869
2.39,-0.87361428415796
2.395,-0.813037607919609
2.4,-0.758931020546762
2.405,-0.710420109106866
2.41,-0.66677135643548
2.415,-0.627366171070067
2.42,-0.591680248829653
2.425,-0.559267069904589
2.43,-0.529744624451424
2.435,-0.502784674325231
2.44,-0.478104019012921
2.445,-0.455457354541404
2.45,-0.434631405540015
2.455,-0.415440080281239
2.46,-0.397720451906578
2.465,-0.381329410199473
2.47,-0.366140860174165
2.475,-0.35204336862062
2.48,-0.338938179234012
2.485,-0.326737532306148
2.49,-0.315363237103547
2.495,-0.304745454716482
2.5,-0.294821656879881
2.505,-0.285535732458575
2.51,-0.276837218278977
2.515,-0.26868063502664
2.52,-0.261024912209286
2.525,-0.253832888860158
2.53,-0.247070878846624
2.535,-0.240708291448474
2.54,-0.234717299353991
2.545,-0.229072547449511
2.55,-0.223750896796988
2.555,-0.218731199042721
2.56,-0.213994097209111
2.565,-0.20952184941509
2.57,-0.205298172569922
2.575,-0.201308103505476
2.58,-0.197537875367345
2.585,-0.19397480738619
2.59,-0.190607206406342
2.595,-0.187424278766354
2.6,-0.184416051312123
2.605,-0.181573300482135
2.61,-0.178887488540744
2.615,-0.176350706152709
2.62,-0.173955620593078
2.625,-0.171695428973737
2.63,-0.169563815943295
2.635,-0.167554915382421
2.64,-0.165663275673377
2.645,-0.16388382817202
2.65,-0.162211858553504
2.655,-0.160642980740569
2.66,-0.159173113156191
2.665,-0.157798457071213
2.67,-0.156515476842868
2.675,-0.155320881862404
2.68,-0.154211610049624
2.685,-0.153184812749378
2.69,-0.152237840900507
2.695,-0.151368232361028
2.7,-0.150573700285545
2.705,-0.149852122461416
2.71,-0.14920153151962
2.715,-0.148620105944819
2.72,-0.148106161816473
2.725,-0.147658145219637
2.73,-0.147274625270066
2.735,-0.14695428770356
2.74,-0.146695928984294
2.745,-0.146498450891239
2.75,-0.146360855545584
2.755,-0.146282240845574
2.76,-0.14626179627835
2.765,-0.14629879908112
2.77,-0.146392610726707
2.775,-0.146542673710603
2.78,-0.146748508618998
2.785,-0.14700971145897
2.79,-0.147325951233852
2.795,-0.147696967748274
2.8,-0.148122569628948
2.805,-0.148602632548384
2.81,-0.149137097640114
2.815,-0.149725970094903
2.82,-0.15036931792861
2.825,-0.151067270913121
2.83,-0.151820019662743
2.835,-0.152627814869169
2.84,-0.153490966678854
2.845,-0.154409844207341
2.85,-0.155384875185626
2.855,-0.156416545734357
2.86,-0.157505400262023
2.865,-0.158652041484011
2.87,-0.159857130559634
2.875,-0.161121387344934
2.88,-0.162445590759263
2.885,-0.163830579264204
2.89,-0.165277251453676
2.895,-0.16678656675445
2.9,-0.16835954623667
2.905,-0.169997273534288
2.91,-0.171700895875579
2.915,-0.173471625224322
2.92,-0.175310739532403
2.925,-0.177219584104954
2.93,-0.179199573079375
2.935,-0.181252191019868
2.94,-0.183378994629355
2.945,-0.18558161458089
2.95,-0.187861757470948
2.955,-0.190221207897137
2.96,-0.192661830663166
2.965,-0.195185573114086
2.97,-0.197794467604991
2.975,-0.200490634106608
2.98,-0.203276282951325
2.985,-0.206153717723448
2.99,-0.209125338297468
2.995,-0.212193644028481
3,-0.215361237098717
