"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0405632156561795
2.005,-0.0421246904674187
2.01,-0.0437920112475419
2.015,-0.0455754053056206
2.02,-0.0474863305858375
2.025,-0.0495376569133243
2.03,-0.0517438789648113
2.035,-0.0541213674428213
2.04,-0.0566886664534325
2.045,-0.059466847014873
2.05,-0.0624799290795379
2.055,-0.065755387598396
2.06,-0.0693247622133473
2.065,-0.0732243954273191
2.07,-0.0774963309790414
2.075,-0.0821894131983834
2.08,-0.0873606401136752
2.085,-0.0930768391103837
2.09,-0.0994167555354801
2.095,-0.106473673994632
2.1,-0.114358732360866
2.105,-0.12320514431323
2.11,-0.133173624355164
2.115,-0.144459419887332
2.12,-0.157301513411198
2.125,-0.171994787927078
2.13,-0.18890628683697
2.135,-0.208497204353967
2.14,-0.231353007170925
2.145,-0.2582252662704
2.15,-0.290090625164262
2.155,-0.328235283331522
2.16,-0.374378189369198
2.165,-0.430854166664499
2.17,-0.500891894327728
2.175,-0.589045632485527
2.18,-0.701882623045231
2.185,-0.849107551844434
2.19,-1.04545634813205
2.195,-1.31398650918918
2.2,-1.69198452709194
2.205,-2.24194286247376
2.21,-3.07272855047779
2.215,-4.38235363910583
2.22,-6.55105012783831
2.225,-10.3557696443267
2.23,-16.3095102618869
2.235,-13.268443451951
2.24,-8.25576927229548
2.245,-5.43950790165199
2.25,-3.78130847141365
2.255,-2.74777020382622
2.26,-2.07233681413679
2.265,-1.61252279306722
2.27,-1.28816326727304
2.275,-1.05217570231827
2.28,-0.875820015744778
2.285,-0.74092636487509
2.29,-0.635636489366164
2.295,-0.551986232647562
2.3,-0.484487154525199
2.305,-0.429268390117968
2.31,-0.383542537429093
2.315,-0.345264450452157
2.32,-0.312908001768993
2.325,-0.285316802363593
2.33,-0.261602360973263
2.335,-0.241073322528924
2.34,-0.223185467426715
2.345,-0.207505830093389
2.35,-0.19368658039283
2.355,-0.181445759816966
2.36,-0.170552899436494
2.365,-0.160818160597054
2.37,-0.152084049016653
2.375,-0.144219030362782
2.38,-0.137112565880652
2.385,-0.130671219156729
2.39,-0.124815578411557
2.395,-0.119477805175844
2.4,-0.114599668051885
2.405,-0.11013095506092
2.41,-0.106028183627794
2.415,-0.102253546184635
2.42,-0.0987740435205703
2.425,-0.0955607686600038
2.43,-0.092588312139909
2.435,-0.0898342657408326
2.44,-0.0872788064871451
2.445,-0.084904346421688
2.45,-0.0826952365368598
2.455,-0.0806375155012938
2.46,-0.0787186956016478
2.465,-0.0769275797315658
2.47,-0.0752541043858291
2.475,-0.0736892045202975
2.48,-0.0722246968647248
2.485,-0.070853178863149
2.49,-0.0695679408940773
2.495,-0.0683628898120697
2.5,-0.0672324821713002
2.505,-0.0661716657541282
2.51,-0.0651758282440551
2.515,-0.0642407520619238
2.52,-0.0633625745331799
2.525,-0.0625377526784517
2.53,-0.061763032023627
2.535,-0.0610354189130216
2.54,-0.0603521558826569
2.545,-0.0597106997127745
2.55,-0.0591087018312447
2.555,-0.0585439907841394
2.56,-0.0580145565277405
2.565,-0.0575185363285896
2.57,-0.0570542020860507
2.575,-0.0566199489154749
2.58,-0.0562142848506144
2.585,-0.0558358215415223
2.59,-0.055483265839319
2.595,-0.055155412172448
2.6,-0.0548511356303984
2.605,-0.0545693856807987
2.61,-0.0543091804544358
2.615,-0.0540696015401989
2.62,-0.0538497892386869
2.625,-0.0536489382287519
2.63,-0.0534662936065231
2.635,-0.0533011472607232
2.64,-0.0531528345520752
2.645,-0.0530207312680165
2.65,-0.0529042508269894
2.655,-0.0528028417091842
2.66,-0.052715985093134
2.665,-0.0526431926794988
2.67,-0.0525840046853999
2.675,-0.0525379879941832
2.68,-0.0525047344471327
2.685,-0.0524838592648138
2.69,-0.0524749995870473
2.695,-0.0524778131214578
2.7,-0.0524919768915622
2.705,-0.0525171860761635
2.71,-0.0525531529326192
2.715,-0.0525996057971632
2.72,-0.0526562881561612
2.725,-0.0527229577826688
2.73,-0.0527993859331757
2.735,-0.0528853565998821
2.74,-0.0529806658142571
2.745,-0.0530851209979561
2.75,-0.0531985403575994
2.755,-0.0533207523200662
2.76,-0.0534515950054113
2.765,-0.0535909157346249
2.77,-0.0537385705696858
2.775,-0.0538944238837044
2.78,-0.0540583479589219
2.785,-0.0542302226106962
2.79,-0.0544099348356326
2.795,-0.0545973784822611
2.8,-0.054792453942649
2.805,-0.0549950678636288
2.81,-0.055205132876309
2.815,-0.0554225673426482
2.82,-0.0556472951180297
2.825,-0.0558792453287635
2.83,-0.0561183521636277
2.835,-0.0563645546784805
2.84,-0.0566177966132527
2.845,-0.0568780262204345
2.85,-0.0571451961044792
2.855,-0.0574192630713684
2.86,-0.0577001879878172
2.865,-0.0579879356495276
2.87,-0.0582824746579565
2.875,-0.0585837773051364
2.88,-0.0588918194661052
2.885,-0.0592065804984993
2.89,-0.0595280431489541
2.895,-0.0598561934659147
2.9,-0.0601910207185633
2.905,-0.0605325173214936
2.91,-0.060880678764908
2.915,-0.0612355035499971
2.92,-0.0615969931292956
2.925,-0.061965151851755
2.93,-0.0623399869123332
2.935,-0.0627215083058548
2.94,-0.0631097287850099
2.945,-0.0635046638222516
2.95,-0.0639063315754758
2.955,-0.0643147528573076
2.96,-0.0647299511078301
2.965,-0.0651519523706722
2.97,-0.0655807852722754
2.975,-0.0660164810042619
2.98,-0.0664590733087888
2.985,-0.0669085984667606
2.99,-0.0673650952888606
2.995,-0.0678286051092562
3,-0.0682991717819489
