"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.140918453641629
2.005,-0.14771223622641
2.01,-0.155016314188965
2.015,-0.162879586418333
2.02,-0.171356907604309
2.025,-0.180509966004958
2.03,-0.190408313921721
2.035,-0.201130581621298
2.04,-0.212765912491278
2.045,-0.225415666081082
2.05,-0.239195446882573
2.055,-0.254237530930872
2.06,-0.270693780462894
2.065,-0.288739160164916
2.07,-0.308575998584682
2.075,-0.330439177248288
2.08,-0.354602480842603
2.085,-0.381386408494245
2.09,-0.411167834161891
2.095,-0.444392020983488
2.1,-0.48158765050041
2.105,-0.523385737521277
2.11,-0.570543585297691
2.115,-0.623975322247042
2.12,-0.684791091107741
2.125,-0.754347691594368
2.13,-0.834314490266223
2.135,-0.926759823651143
2.14,-1.03426510078726
2.145,-1.16007660078451
2.15,-1.30830890734974
2.155,-1.48421952706447
2.16,-1.69458222999941
2.165,-1.9481981029226
2.17,-2.25659984104563
2.175,-2.63502898912512
2.18,-3.1038019052951
2.185,-3.69023502789145
2.19,-4.43138178169384
2.195,-5.37792975177167
2.2,-6.59952943503168
2.205,-8.19023540309433
2.21,-10.2608950209337
2.215,-12.8273852208119
2.22,-15.1468952813921
2.225,-14.9520685776786
2.23,-12.5385580528543
2.235,-10.0733654006647
2.24,-8.11323964546398
2.245,-6.60998215935709
2.25,-5.45311822100257
2.255,-4.55306999029466
2.26,-3.84443680960329
2.265,-3.28000402175846
2.27,-2.82544058558082
2.275,-2.45551708275288
2.28,-2.15149147381977
2.285,-1.89929531486777
2.29,-1.68826209174842
2.295,-1.51022598823726
2.3,-1.35887679421347
2.305,-1.22929386247727
2.31,-1.11760643225459
2.315,-1.02074392032671
2.32,-0.936250796807972
2.325,-0.862148198354582
2.33,-0.796829632861058
2.335,-0.738981747619901
2.34,-0.687523667646729
2.345,-0.641560199164508
2.35,-0.600345463711037
2.355,-0.563254437245428
2.36,-0.529760523449073
2.365,-0.499417765497616
2.37,-0.471846647674083
2.375,-0.446722693541332
2.38,-0.423767256531598
2.385,-0.402740039852971
2.39,-0.383432988480515
2.395,-0.365665275977295
2.4,-0.349279169687685
2.405,-0.33413660434335
2.41,-0.32011632989469
2.415,-0.307111527058706
2.42,-0.295027805609051
2.425,-0.283781517278322
2.43,-0.273298328387092
2.435,-0.263512007780106
2.44,-0.25436339396046
2.445,-0.245799511942594
2.45,-0.237772815658054
2.455,-0.230240536024584
2.46,-0.223164118245891
2.465,-0.216508734715097
2.47,-0.210242862180911
2.475,-0.204337913705535
2.48,-0.198767917478321
2.485,-0.193509235814203
2.49,-0.188540318711393
2.495,-0.183841487210428
2.5,-0.179394742518557
2.505,-0.175183597466031
2.51,-0.171192927365637
2.515,-0.167408837770648
2.52,-0.163818546983329
2.525,-0.160410281467724
2.53,-0.15717318257571
2.535,-0.154097223212243
2.54,-0.151173133250209
2.545,-0.14839233266278
2.55,-0.145746871475971
2.555,-0.143229375759575
2.56,-0.140832998973882
2.565,-0.13855137807513
2.57,-0.136378593856395
2.575,-0.134309135064432
2.58,-0.132337865888316
2.585,-0.130459996463727
2.59,-0.128671056078496
2.595,-0.126966868801526
2.6,-0.125343531288908
2.605,-0.123797392548973
2.61,-0.122325035472371
2.615,-0.120923259954701
2.62,-0.119589067458059
2.625,-0.118319646874489
2.63,-0.117112361568919
2.635,-0.115964737492247
2.64,-0.114874452266559
2.645,-0.113839325154826
2.65,-0.112857307836355
2.655,-0.111926475917426
2.66,-0.111045021113745
2.665,-0.110211244047828
2.67,-0.109423547610201
2.675,-0.108680430838596
2.68,-0.107980483274044
2.685,-0.10732237975706
2.69,-0.106704875631169
2.695,-0.106126802324492
2.7,-0.105587063283735
2.705,-0.105084630237885
2.71,-0.104618539772198
2.715,-0.10418789019576
2.72,-0.10379183868902
2.725,-0.103429598720509
2.73,-0.103100437724883
2.735,-0.102803675037716
2.74,-0.102538680085691
2.745,-0.102304870834566
2.75,-0.102101712501443
2.755,-0.10192871654253
2.76,-0.101785439933036
2.765,-0.101671484762297
2.77,-0.101586498174882
2.775,-0.10153017269762
2.78,-0.101502247003828
2.785,-0.101502507179735
2.79,-0.10153078857528
2.795,-0.101586978342639
2.8,-0.101671018792591
2.805,-0.101782911732312
2.81,-0.101922723990802
2.815,-0.102090594392277
2.82,-0.102286742507191
2.825,-0.102511479599732
2.83,-0.102765222306031
2.835,-0.103048509727111
2.84,-0.10336202481653
2.845,-0.103706621199594
2.85,-0.104083356900489
2.855,-0.104493536903438
2.86,-0.104938767073932
2.865,-0.105421022769005
2.87,-0.105942736545848
2.875,-0.106506910836053
2.88,-0.107117263427411
2.885,-0.107778416273234
2.89,-0.108496141781603
2.895,-0.109277685649036
2.9,-0.110132191897871
2.905,-0.111071264504183
2.91,-0.112109711251091
2.915,-0.113266529235881
2.92,-0.11456620674145
2.925,-0.11604042918384
2.93,-0.11773027756546
2.935,-0.119688972763887
2.94,-0.121985096646057
2.945,-0.124705906185614
2.95,-0.127959651067786
2.955,-0.131874382722114
2.96,-0.136588215875857
2.965,-0.142222394729359
2.97,-0.148825781979287
2.975,-0.156284430269082
2.98,-0.164215821936678
2.985,-0.171919760924939
2.99,-0.178494531797773
2.995,-0.183148757469914
3,-0.185538983858667
