"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0228704602244299
2.005,-0.0232264437400309
2.01,-0.0235961564925741
2.015,-0.0239801760152936
2.02,-0.0243791153151083
2.025,-0.0247936254124575
2.03,-0.0252243980958823
2.035,-0.0256721689122497
2.04,-0.0261377204157623
2.045,-0.026621885701602
2.05,-0.0271255522528782
2.055,-0.0276496661328724
2.06,-0.0281952365583184
2.065,-0.0287633408935726
2.07,-0.0293551301103637
2.075,-0.0299718347631241
2.08,-0.0306147715360642
2.085,-0.0312853504250733
2.09,-0.0319850826254519
2.095,-0.0327155892055394
2.1,-0.0334786106565716
2.105,-0.034276017420996
2.11,-0.0351098215149438
2.115,-0.0359821893762566
2.12,-0.0368954560872853
2.125,-0.0378521411424811
2.13,-0.0388549659546911
2.135,-0.0399068733217744
2.14,-0.0410110491074005
2.145,-0.0421709464273066
2.15,-0.0433903126759832
2.155,-0.0446732197798049
2.16,-0.0460240981224256
2.165,-0.0474477746586414
2.17,-0.0489495158154927
2.175,-0.0505350758773312
2.18,-0.0522107516670589
2.185,-0.0539834444733745
2.19,-0.0558607303372795
2.195,-0.0578509400067078
2.2,-0.0599632501022062
2.205,-0.0622077873182305
2.21,-0.0645957478240383
2.215,-0.0671395344392963
2.22,-0.0698529146585678
2.225,-0.0727512032076181
2.23,-0.0758514735594433
2.235,-0.0791728037534073
2.24,-0.0827365629908459
2.245,-0.0865667468807903
2.25,-0.0906903709532397
2.255,-0.0951379342386904
2.26,-0.0999439674549797
2.265,-0.105147683807824
2.27,-0.110793754813945
2.275,-0.116933239180219
2.28,-0.12362470000037
2.285,-0.130935554876411
2.29,-0.138943715733933
2.295,-0.147739591033437
2.3,-0.157428544101993
2.305,-0.168133929251734
2.31,-0.18000086478321
2.315,-0.193200952526321
2.32,-0.207938222442416
2.325,-0.224456675488787
2.33,-0.243049929352642
2.335,-0.264073655892661
2.34,-0.287961760180628
2.345,-0.315247625126094
2.35,-0.346592288128028
2.355,-0.382822212708956
2.36,-0.424980503159464
2.365,-0.474397198094634
2.37,-0.532787015901765
2.375,-0.602387180282614
2.38,-0.686154677279219
2.385,-0.788053099243298
2.39,-0.913476904943998
2.395,-1.06989038585259
2.4,-1.26780874693887
2.405,-1.52233596146023
2.41,-1.85563038142025
2.415,-2.30096083262876
2.42,-2.90959749747584
2.425,-3.76307775571128
2.43,-4.99682565280403
2.435,-6.85261302256737
2.44,-9.8281873012057
2.445,-15.3245787051384
2.45,-27.9738668837926
2.455,-15.460816072258
2.46,-9.96043393837905
2.465,-6.99781254175239
2.47,-5.15162834825845
2.475,-3.92175401296428
2.48,-3.06752601629698
2.485,-2.45512483342464
2.49,-2.00432469824175
2.495,-1.66475680970844
2.5,-1.40371831299107
2.505,-1.19938371268522
2.51,-1.03683178676196
2.515,-0.905637629799535
2.52,-0.798372145594629
2.525,-0.709644291768248
2.53,-0.635476365421824
2.535,-0.572888310110555
2.54,-0.519615937576416
2.545,-0.473916601241992
2.55,-0.434433008581881
2.555,-0.400096337063274
2.56,-0.370056340520298
2.565,-0.343630264931162
2.57,-0.320265054326623
2.575,-0.299509069329313
2.58,-0.280990697647079
2.585,-0.264402015039753
2.59,-0.249486187138771
2.595,-0.236027670124203
2.6,-0.223844525405595
2.605,-0.212782345349119
2.61,-0.202709417138531
2.615,-0.193512845773402
2.62,-0.18509542568314
2.625,-0.17737310081491
2.63,-0.170272890439908
2.635,-0.163731185893583
2.64,-0.157692344555553
2.645,-0.152107523394771
2.65,-0.146933706659576
2.655,-0.142132891729006
2.66,-0.137671404455334
2.665,-0.133519321030765
2.67,-0.129649977884066
2.675,-0.126039554640753
2.68,-0.122666717977847
2.685,-0.119512316433477
2.69,-0.116559118017371
2.695,-0.113791583904955
2.7,-0.111195672659213
2.705,-0.108758670367394
2.71,-0.106469042848177
2.715,-0.104316306714164
2.72,-0.102290916591393
2.725,-0.100384166223991
2.73,-0.0985881015448979
2.735,-0.0968954440866363
2.74,-0.0952995233504507
2.745,-0.0937942169561551
2.75,-0.0923738975663895
2.755,-0.0910333857229048
2.76,-0.0897679078541158
2.765,-0.0885730588158059
2.77,-0.0874447684141896
2.775,-0.0863792714346056
2.78,-0.0853730807624122
2.785,-0.0844229632366516
2.79,-0.0835259179234286
2.795,-0.0826791565356845
2.8,-0.0818800857603325
2.805,-0.0811262912832253
2.81,-0.0804155233279844
2.815,-0.0797456835468954
2.82,-0.0791148131211911
2.825,-0.0785210819448499
2.83,-0.0779627787805563
2.835,-0.0774383022891664
2.84,-0.076946152845184
2.845,-0.0764849250605228
2.85,-0.0760533009472512
2.855,-0.0756500436577352
2.86,-0.0752739917470504
2.865,-0.0749240539084634
2.87,-0.0745992041379346
2.875,-0.0742984772881317
2.88,-0.0740209649765363
2.885,-0.0737658118157481
2.89,-0.0735322119373858
2.895,-0.0733194057837074
2.9,-0.0731266771436938
2.905,-0.0729533504125432
2.91,-0.0727987880555858
2.915,-0.0726623882593735
2.92,-0.0725435827543854
2.925,-0.0724418347951583
2.93,-0.0723566372850511
2.935,-0.0722875110339372
2.94,-0.0722340031381786
2.945,-0.0721956854732607
2.95,-0.0721721532902229
2.955,-0.0721630239078558
2.96,-0.072167935493291
2.965,-0.0721865459243111
2.97,-0.0722185317271557
2.975,-0.0722635870842678
2.98,-0.0723214229067515
2.985,-0.0723917659668554
2.99,-0.0724743580861162
2.995,-0.0725689553751334
3,-0.0726753275213653
