"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0140865422916174
2.005,-0.0141314360027337
2.01,-0.014176692951169
2.015,-0.014222318219919
2.02,-0.0142683168674663
2.025,-0.0143146939281361
2.03,-0.0143614544124638
2.035,-0.0144086033075551
2.04,-0.0144561455774496
2.045,-0.0145040861635013
2.05,-0.0145524299847335
2.055,-0.0146011819382164
2.06,-0.0146503468994453
2.065,-0.0146999297227038
2.07,-0.0147499352414441
2.075,-0.0148003682686681
2.08,-0.0148512335973104
2.085,-0.0149025360006024
2.09,-0.0149542802324768
2.095,-0.0150064710279409
2.1,-0.0150591131034697
2.105,-0.0151122111573934
2.11,-0.0151657698702883
2.115,-0.0152197939053703
2.12,-0.0152742879088995
2.125,-0.0153292565105666
2.13,-0.0153847043239057
2.135,-0.0154406359466854
2.14,-0.01549705596133
2.145,-0.0155539689353141
2.15,-0.0156113794215849
2.155,-0.015669291958964
2.16,-0.0157277110725787
2.165,-0.0157866412742726
2.17,-0.0158460870630227
2.175,-0.0159060529253786
2.18,-0.0159665433358837
2.185,-0.0160275627574973
2.19,-0.0160891156420454
2.195,-0.016151206430644
2.2,-0.0162138395541531
2.205,-0.0162770194336046
2.21,-0.0163407504806651
2.215,-0.0164050370980716
2.22,-0.0164698836801001
2.225,-0.0165352946130078
2.23,-0.0166012742755114
2.235,-0.0166678270392336
2.24,-0.0167349572691847
2.245,-0.0168026693242245
2.25,-0.0168709675575543
2.255,-0.0169398563171751
2.26,-0.0170093399463849
2.265,-0.0170794227842657
2.27,-0.0171501091661701
2.275,-0.01722140342422
2.28,-0.017293309887811
2.285,-0.017365832884105
2.29,-0.0174389767385485
2.295,-0.0175127457753895
2.3,-0.0175871443181752
2.305,-0.017662176690303
2.31,-0.0177378472155204
2.315,-0.0178141602184741
2.32,-0.017891120025237
2.325,-0.0179687309638515
2.33,-0.0180469973648779
2.335,-0.0181259235619409
2.34,-0.0182055138922925
2.345,-0.0182857726973603
2.35,-0.0183667043233284
2.355,-0.0184483131216998
2.36,-0.0185306034498739
2.365,-0.0186135796717361
2.37,-0.018697246158231
2.375,-0.0187816072879713
2.38,-0.0188666674478261
2.385,-0.0189524310335357
2.39,-0.0190389024503062
2.395,-0.0191260861134422
2.4,-0.0192139864489635
2.405,-0.0193026078942289
2.41,-0.0193919548985712
2.415,-0.0194820319239505
2.42,-0.0195728434455862
2.425,-0.0196643939526176
2.43,-0.0197566879487598
2.435,-0.0198497299529771
2.44,-0.01994352450015
2.445,-0.0200380761417591
2.45,-0.0201333894465677
2.455,-0.0202294690013209
2.46,-0.0203263194114353
2.465,-0.0204239453017249
2.47,-0.0205223513171001
2.475,-0.0206215421232976
2.48,-0.0207215224076082
2.485,-0.0208222968796091
2.49,-0.0209238702719205
2.495,-0.0210262473409488
2.5,-0.0211294328676445
2.505,-0.0212334316582794
2.51,-0.0213382485452164
2.515,-0.0214438883876917
2.52,-0.0215503560726167
2.525,-0.0216576565153654
2.53,-0.0217657946605909
2.535,-0.0218747754830451
2.54,-0.0219846039884002
2.545,-0.0220952852140804
2.55,-0.0222068242301173
2.555,-0.0223192261399819
2.56,-0.0224324960814706
2.565,-0.0225466392275557
2.57,-0.0226616607872789
2.575,-0.022777566006628
2.58,-0.0228943601694468
2.585,-0.02301204859834
2.59,-0.0231306366555841
2.595,-0.0232501297440655
2.6,-0.0233705333082155
2.605,-0.023491852834946
2.61,-0.0236140938546349
2.615,-0.0237372619420621
2.62,-0.0238613627174145
2.625,-0.0239864018472606
2.63,-0.0241123850455535
2.635,-0.0242393180746465
2.64,-0.0243672067463105
2.645,-0.0244960569227708
2.65,-0.0246258745177491
