"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-1.25794157332713
2.005,-1.49709861821951
2.01,-1.78811902702773
2.015,-2.13498384518997
2.02,-2.53161043164373
2.025,-2.95143564500736
2.03,-3.33693563202707
2.035,-3.60306648444325
2.04,-3.6718991613612
2.045,-3.52430577637922
2.05,-3.21412369367915
2.055,-2.82711986157192
2.06,-2.43430193333156
2.065,-2.07569150993147
2.07,-1.76635175749149
2.075,-1.50722000880606
2.08,-1.29306449689687
2.085,-1.1168458609983
2.09,-0.971700301598905
2.095,-0.851666439378713
2.1,-0.751834019348817
2.105,-0.668261221019115
2.11,-0.597820627549076
2.115,-0.538040875093205
2.12,-0.486968061227012
2.125,-0.443052518313449
2.13,-0.40505937211663
2.135,-0.371999063116719
2.14,-0.343073782630919
2.145,-0.317636270795278
2.15,-0.295158091931582
2.155,-0.275205133995782
2.16,-0.257418606753225
2.165,-0.241500230819311
2.17,-0.227200630394954
2.175,-0.214310185099518
2.18,-0.202651778386254
2.185,-0.192075016289364
2.19,-0.182451592218773
2.195,-0.17367154996005
2.2,-0.165640254518539
2.205,-0.158275923840004
2.21,-0.151507607342839
2.215,-0.145273522264656
2.22,-0.139519678019167
2.225,-0.134198733528977
2.23,-0.129269043923548
2.235,-0.124693861872189
2.24,-0.120440665759767
2.245,-0.116480592360375
2.25,-0.112787955961384
2.255,-0.1093398392968
2.26,-0.106115744361274
2.265,-0.103097293345564
2.27,-0.100267971677231
2.275,-0.0976129065563272
2.28,-0.0951186755147113
2.285,-0.0927731404539384
2.29,-0.0905653033727695
2.295,-0.088485180614984
2.3,-0.086523692977733
2.305,-0.0846725694412628
2.31,-0.0829242626290189
2.315,-0.0812718743965216
2.32,-0.0797090901884945
2.325,-0.0782301210053873
2.33,-0.0768296519894618
2.335,-0.0755027967827825
2.34,-0.0742450569293939
2.345,-0.0730522856953441
2.35,-0.0719206557661867
2.355,-0.0708466303547672
2.36,-0.0698269373142758
2.365,-0.0688585459048905
2.37,-0.0679386459078422
2.375,-0.0670646288198847
2.38,-0.0662340708947939
2.385,-0.0654447178275377
2.39,-0.0646944709018363
2.395,-0.0639813744435237
2.4,-0.0633036044409487
2.405,-0.0626594582100121
2.41,-0.0620473449957075
2.415,-0.0614657774144278
2.42,-0.0609133636521944
2.425,-0.0603888003434902
2.43,-0.059890866063658
2.435,-0.0594184153752455
2.44,-0.0589703733750553
2.445,-0.0585457306943896
2.45,-0.0581435389099516
2.455,-0.0577629063273755
2.46,-0.0574029941032009
2.465,-0.0570630126746551
2.47,-0.0567422184696667
2.475,-0.0564399108723033
2.48,-0.0561554294212524
2.485,-0.0558881512211691
2.49,-0.0556374885486736
2.495,-0.0554028866364831
2.5,-0.0551838216207318
2.505,-0.054979798638002
2.51,-0.0547903500597254
2.515,-0.0546150338528311
2.52,-0.0544534320564885
2.525,-0.0543051493657111
2.53,-0.0541698118134176
2.535,-0.054047065543287
2.54,-0.0539365756663826
2.545,-0.0538380251951843
2.55,-0.0537511140491601
2.555,-0.0536755581265284
2.56,-0.0536110884373268
2.565,-0.0535574502932641
2.57,-0.053514402550272
2.575,-0.0534817168999264
2.58,-0.0534591772063152
2.585,-0.0534465788851085
2.59,-0.0534437283218959
2.595,-0.0534504423271282
2.6,-0.0534665476250782
2.605,-0.0534918803746054
2.61,-0.0535262857195474
2.615,-0.0535696173667895
2.62,-0.0536217371901959
2.625,-0.053682514858732
2.63,-0.0537518274872239
2.635,-0.0538295593083062
2.64,-0.0539156013642582
2.645,-0.0540098512174615
2.65,-0.0541122126783648
2.655,-0.0542225955498657
2.66,-0.0543409153871605
2.665,-0.0544670932721423
2.67,-0.0546010556014412
2.675,-0.0547427338874247
2.68,-0.0548920645713329
2.685,-0.0550489888478969
2.69,-0.0552134525008386
2.695,-0.0553854057486058
2.7,-0.055564803099846
2.705,-0.0557516032180618
2.71,-0.0559457687950271
2.715,-0.0561472664324492
2.72,-0.056356066531548
2.725,-0.0565721431900961
2.73,-0.0567954741066086
2.735,-0.0570260404913299
2.74,-0.0572638269837137
2.745,-0.0575088215761017
2.75,-0.0577610155433532
2.755,-0.0580204033781433
2.76,-0.0582869827317414
2.765,-0.0585607543600014
2.77,-0.0588417220744252
2.775,-0.0591298926980679
2.78,-0.0594252760261273
2.785,-0.0597278847910836
2.79,-0.0600377346321897
2.795,-0.0603548440692566
2.8,-0.0606792344805107
2.805,-0.0610109300845235
2.81,-0.0613499579260041
2.815,-0.0616963478654388
2.82,-0.0620501325724473
2.825,-0.0624113475228028
2.83,-0.0627800309990385
2.835,-0.0631562240945763
2.84,-0.063539970721327
2.845,-0.0639313176207363
2.85,-0.0643303143781865
2.855,-0.064737013440776
2.86,-0.0651514701384164
2.865,-0.0655737427082448
2.87,-0.0660038923223171
2.875,-0.0664419831185867
2.88,-0.0668880822351775
2.885,-0.0673422598479178
2.89,-0.067804589211177
2.895,-0.0682751467020059
2.9,-0.0687540118675866
2.905,-0.069241267476051
2.91,-0.0697369995706309
2.915,-0.0702412975272681
2.92,-0.070754254115616
2.925,-0.0712759655635706
2.93,-0.0718065316253124
2.935,-0.0723460556529475
2.94,-0.0728946446718012
2.945,-0.0734524094594197
2.95,-0.0740194646283525
2.955,-0.0745959287127825
2.96,-0.0751819242591042
2.965,-0.0757775779205091
2.97,-0.0763830205556922
2.975,-0.0769983873317281
2.98,-0.0776238178313021
2.985,-0.078259456164292
2.99,-0.0789054510839319
2.995,-0.0795619561075626
3,-0.0802291296421848
