"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0226555602502669
2.005,-0.0229649549328142
2.01,-0.0232729693114785
2.015,-0.0235798085618499
2.02,-0.0238856770614838
2.025,-0.0241907784255877
2.03,-0.02449531554365
2.035,-0.0247994906169713
2.04,-0.0251035051971822
2.045,-0.0254075602257955
2.05,-0.0257118560747738
2.055,-0.0260165925882107
2.06,-0.0263219691251578
2.065,-0.0266281846035943
2.07,-0.0269354375456575
2.075,-0.0272439261241343
2.08,-0.0275538482102762
2.085,-0.0278654014229867
2.09,-0.028178783179453
2.095,-0.028494190747261
2.1,-0.0288118212980632
2.105,-0.0291318719628531
2.11,-0.029454539888925
2.115,-0.0297800222985804
2.12,-0.0301085165496492
2.125,-0.0304402201979112
2.13,-0.0307753310614824
2.135,-0.0311140472872705
2.14,-0.0314565674195367
2.145,-0.031803090470743
2.15,-0.0321538159946722
2.155,-0.0325089441619879
2.16,-0.0328686758383307
2.165,-0.0332332126650428
2.17,-0.0336027571426216
2.175,-0.0339775127170577
2.18,-0.0343576838691595
2.185,-0.0347434762069857
2.19,-0.0351350965615365
2.195,-0.0355327530858395
2.2,-0.0359366553575964
2.205,-0.0363470144855172
2.21,-0.0367640432195131
2.215,-0.037187956064967
2.22,-0.037618969401191
2.225,-0.0380573016043099
2.23,-0.0385031731747538
2.235,-0.0389568068695794
2.24,-0.0394184278398304
2.245,-0.0398882637731611
2.25,-0.0403665450420004
2.255,-0.0408535048574701
2.26,-0.0413493794293552
2.265,-0.0418544081323939
2.27,-0.0423688336791998
2.275,-0.0428929023001137
2.28,-0.0434268639303346
2.285,-0.0439709724046415
2.29,-0.0445254856601287
2.295,-0.0450906659472724
2.3,-0.0456667800497995
2.305,-0.0462540995137338
2.31,-0.046852900886116
2.315,-0.0474634659638165
2.32,-0.0480860820530217
2.325,-0.0487210422398455
2.33,-0.0493686456726754
2.335,-0.0500291978568156
2.34,-0.0507030109620814
2.345,-0.0513904041439727
2.35,-0.0520917038791277
2.355,-0.0528072443158195
2.36,-0.053537367640247
2.365,-0.0542824244594369
2.37,-0.0550427742016777
2.375,-0.0558187855353234
2.38,-0.0566108368070331
2.385,-0.0574193165004351
2.39,-0.0582446237162867
2.395,-0.0590871686753497
2.4,-0.0599473732451722
2.405,-0.0608256714920877
2.41,-0.0617225102598306
2.415,-0.062638349776231
2.42,-0.06357366428953
2.425,-0.0645289427360143
2.43,-0.0655046894406998
2.435,-0.0665014248529368
2.44,-0.0675196863189473
2.445,-0.0685600288934054
2.45,-0.0696230261922897
2.455,-0.0707092712894389
2.46,-0.0718193776593468
2.465,-0.0729539801689434
2.47,-0.0741137361211891
2.475,-0.0752993263536893
2.48,-0.0765114563955216
2.485,-0.0777508576858518
2.49,-0.0790182888580915
2.495,-0.0803145370935869
2.5,-0.0816404195491405
2.505,-0.0829967848629815
2.51,-0.0843845147440169
2.515,-0.0858045256496567
2.52,-0.0872577705578468
2.525,-0.0887452408392508
2.53,-0.0902679682361045
2.535,-0.0918270269545724
2.54,-0.0934235358780852
2.545,-0.0950586609095378
2.55,-0.0967336174509297
2.555,-0.0984496730295839
2.56,-0.100208150080784
2.565,-0.102010428897462
2.57,-0.103857950758241
2.575,-0.105752221246198
2.58,-0.107694813771453
2.585,-0.109687373311858
2.59,-0.111731620387116
2.595,-0.113829355282846
2.6,-0.11598246254249
2.605,-0.118192915746296
2.61,-0.120462782598262
2.615,-0.122794230343508
2.62,-0.125189531540519
2.625,-0.127651070214583
2.63,-0.130181348421054
2.635,-0.13278299324936
2.64,-0.135458764301455
2.645,-0.138211561681072
2.65,-0.141044434533457
2.655,-0.143960590178628
2.66,-0.146963403884919
2.665,-0.150056429333836
2.67,-0.153243409831605
2.675,-0.156528290327982
2.68,-0.159915230308189
2.685,-0.163408617629996
2.69,-0.16701308338452
2.695,-0.17073351786669
2.7,-0.174575087749383
2.705,-0.17854325456408
2.71,-0.182643794600821
2.715,-0.186882820351041
2.72,-0.191266803628985
2.725,-0.195802600520614
2.73,-0.20049747832384
2.735,-0.205359144660212
2.74,-0.210395778956484
2.745,-0.215616066514647
2.75,-0.221029235411653
2.755,-0.226645096495054
2.76,-0.232474086768832
2.765,-0.238527316494851
2.77,-0.244816620370309
2.775,-0.25135461318046
2.78,-0.258154750369632
2.785,-0.265231394022327
2.79,-0.272599884801175
2.795,-0.280276620449918
2.8,-0.28827914153892
2.805,-0.296626225208439
2.81,-0.305337987752663
2.815,-0.314435996986255
2.82,-0.323943395446831
2.825,-0.333885035612778
2.83,-0.344287628458535
2.835,-0.355179906830833
2.84,-0.36659280531271
2.845,-0.378559658449729
2.85,-0.391116419449215
2.855,-0.404301901731847
2.86,-0.418158046021024
2.865,-0.432730216004306
2.87,-0.448067525999415
2.875,-0.464223204512502
2.88,-0.481254998096971
2.885,-0.49922562051758
2.89,-0.518203252908258
2.895,-0.538262101397079
2.9,-0.559483019573805
2.905,-0.581954204212953
2.91,-0.605771973860493
2.915,-0.63104164126966
2.92,-0.657878492261368
2.925,-0.686408885421167
2.93,-0.71677148916858
2.935,-0.749118675193272
2.94,-0.783618090101542
2.945,-0.820454430421407
2.95,-0.859831449952621
2.955,-0.901974232909988
2.96,-0.947131771502582
2.965,-0.995579892646553
2.97,-1.04762458557912
2.975,-1.10360579041216
2.98,-1.16390171736145
2.985,-1.22893377779148
2.99,-1.29917222167354
2.995,-1.37514259200802
3,-1.45743312578108
