"Freq [GHz]","dB(S(ground_T1,ground_T1)) []"
2,-0.0201470830925861
2.005,-0.0203558079348061
2.01,-0.0205679494176052
2.015,-0.0207835733816635
2.02,-0.0210027475056451
2.025,-0.0212255413659062
2.03,-0.0214520264985238
2.035,-0.0216822764637546
2.04,-0.0219163669130319
2.045,-0.0221543756585953
2.05,-0.0223963827459093
2.055,-0.0226424705289668
2.06,-0.0228927237486184
2.065,-0.0231472296140635
2.07,-0.0234060778876414
2.075,-0.0236693609731114
2.08,-0.0239371740075216
2.085,-0.0242096149569027
2.09,-0.0244867847158985
2.095,-0.0247687872115796
2.1,-0.0250557295116124
2.105,-0.025347721936974
2.11,-0.0256448781794703
2.115,-0.0259473154242689
2.12,-0.0262551544776779
2.125,-0.0265685199004655
2.13,-0.026887540146947
2.135,-0.027212347710167
2.14,-0.0275430792734625
2.145,-0.0278798758687129
2.15,-0.0282228830416477
2.155,-0.0285722510245446
2.16,-0.0289281349166975
2.165,-0.0292906948730806
2.17,-0.0296600963015999
2.175,-0.0300365100693829
2.18,-0.0304201127186229
2.185,-0.0308110866924136
2.19,-0.0312096205711726
2.195,-0.0316159093201754
2.2,-0.0320301545487932
2.205,-0.0324525647821372
2.21,-0.032883355745674
2.215,-0.0333227506636359
2.22,-0.0337709805719117
2.225,-0.0342282846462498
2.23,-0.034694910546644
2.235,-0.0351711147788003
2.24,-0.03565716307364
2.245,-0.0361533307859038
2.25,-0.0366599033129315
2.255,-0.0371771765348006
2.26,-0.0377054572770433
2.265,-0.0382450637973219
2.27,-0.0387963262974221
2.275,-0.0393595874621124
2.28,-0.0399352030264752
2.285,-0.0405235423734272
2.29,-0.0411249891632583
2.295,-0.0417399419971907
2.3,-0.0423688151170155
2.305,-0.0430120391431055
2.31,-0.0436700618531586
2.315,-0.0443433490043052
2.32,-0.0450323852012984
2.325,-0.0457376748137772
2.33,-0.0464597429457663
2.335,-0.0471991364608254
2.34,-0.0479564250665079
2.345,-0.0487322024620648
2.35,-0.0495270875536182
2.355,-0.0503417257413457
2.36,-0.0511767902835741
2.365,-0.0520329837430497
2.37,-0.0529110395210573
2.375,-0.0538117234855098
2.38,-0.0547358356995873
2.385,-0.0556842122580876
2.39,-0.0566577272391406
2.395,-0.0576572947796187
2.4,-0.0586838712832298
2.405,-0.0597384577710186
2.41,-0.0608221023848239
2.415,-0.061935903055055
2.42,-0.0630810103452681
2.425,-0.0642586304868356
2.43,-0.0654700286184058
2.435,-0.0667165322459495
2.44,-0.0679995349406355
2.445,-0.0693205002932696
2.45,-0.0706809661457829
2.455,-0.0720825491219762
2.46,-0.0735269494818199
2.465,-0.0750159563258801
2.47,-0.0765514531787602
2.475,-0.0781354239833364
2.48,-0.0797699595403918
2.485,-0.0814572644316955
2.49,-0.0831996644681716
2.495,-0.0849996147088536
2.5,-0.0868597081008845
2.505,-0.0887826847957583
2.51,-0.09077144220257
2.515,-0.0928290458452403
2.52,-0.0949587410975269
2.525,-0.0971639658773477
2.53,-0.0994483643904094
2.535,-0.101815802022861
2.54,-0.104270381493195
2.545,-0.106816460385766
2.55,-0.109458670201642
2.555,-0.112201937077646
2.56,-0.115051504341348
2.565,-0.118012957088969
2.57,-0.121092248994574
2.575,-0.124295731583297
2.58,-0.127630186228829
2.585,-0.131102859166398
2.59,-0.134721499847886
2.595,-0.13849440300549
2.6,-0.142430454836149
2.605,-0.14653918377047
2.61,-0.150830816349177
2.615,-0.155316338797533
2.62,-0.160007564965458
2.625,-0.164917211389603
2.63,-0.17005898033534
2.635,-0.175447651793535
2.64,-0.181099185541796
2.645,-0.187030834535471
2.65,-0.19326127107359
2.655,-0.19981072739365
2.66,-0.206701152591224
2.665,-0.213956388042336
2.67,-0.221602363835176
2.675,-0.229667319101767
2.68,-0.238182049589998
2.685,-0.247180186344385
2.69,-0.256698509984941
2.695,-0.266777305805973
2.7,-0.277460765782311
2.705,-0.288797444596296
2.71,-0.300840778017476
2.715,-0.313649673418491
2.72,-0.327289183943784
2.725,-0.341831279923227
2.73,-0.35735573361492
2.735,-0.373951136361904
2.74,-0.391716070871412
2.745,-0.410760465714199
2.75,-0.431207164473394
2.755,-0.453193748469868
2.76,-0.476874659933909
2.765,-0.502423682233849
2.77,-0.530036845757426
2.775,-0.559935842837426
2.78,-0.592372053441225
2.785,-0.627631306126073
2.79,-0.666039527182084
2.795,-0.707969466466293
2.8,-0.75384873314449
2.805,-0.804169430961975
2.81,-0.859499754098668
2.815,-0.920497995509245
2.82,-0.987929535686273
2.825,-1.06268752870173
2.83,-1.14581819449228
2.835,-1.23855187564376
2.84,-1.34234134263895
2.845,-1.45890926058784
2.85,-1.59030730138472
2.855,-1.73899015464324
2.86,-1.90790874451144
2.865,-2.1006284325577
2.87,-2.32148009995183
2.875,-2.57575513027267
2.88,-2.86996012071386
2.885,-3.21215485161388
2.89,-3.61240995833105
2.895,-4.08344344383102
2.9,-4.64153700987677
2.905,-5.30791424947067
2.91,-6.1109285533334
2.915,-7.08976996531974
2.92,-8.30125317167039
2.925,-9.83348524009264
2.93,-11.8369863090815
2.935,-14.6091104562885
2.94,-18.8989935251877
2.945,-27.9401235754374
2.95,-28.6288351169798
2.955,-19.1879406053237
2.96,-14.8363205065255
2.965,-12.0534227775517
2.97,-10.0539991006184
2.975,-8.53049813409498
2.98,-7.32847964385454
2.985,-6.35814952004039
2.99,-5.56199570854779
2.995,-4.90062342954334
3,-4.34572841612132
